gitmeyecek	git+Verb+Neg+Fut+A3sg
seyredecek	seyret+Verb+Pos+Fut+A3sg
atmayacak	at+Verb+Neg+Fut+A3sg
bahsetmeyeceğim	bahset+Verb+Neg+Fut+A1sg
bitireceğiz	bit+Verb^DB+Verb+Caus+Pos+Fut+A1pl
çekilmeyecekler	çek+Verb^DB+Verb+Pass+Neg+Fut+A3pl
dönecekler	dön+Verb+Pos+Fut+A3pl
başaracağız	başar+Verb+Pos+Fut+A1pl
hazırlanacağız	hazırla+Verb^DB+Verb+Pass+Pos+Fut+A1pl
kapatacağız	kapa+Verb^DB+Verb+Caus+Pos+Fut+A1pl
kopmayacak	kop+Verb+Neg+Fut+A3sg
karşılaşacak	karşılaş+Verb+Pos+Fut+A3sg
düzelecek	düzel+Verb+Pos+Fut+A3sg
satılacaksa	sat+Verb^DB+Verb+Pass+Pos+Fut+Cond+A3sg
oynanacak	oyna+Verb^DB+Verb+Pass+Pos+Fut+A3sg
imzalanacak	imzala+Verb^DB+Verb+Pass+Pos+Fut+A3sg
sergilenecek	sergile+Verb^DB+Verb+Pass+Pos+Fut+A3sg
katılamayacağım	kat+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A1sg
esirgemeyeceğim	esirge+Verb+Neg+Fut+A1sg
solunmayacak	sol+Verb^DB+Verb+Pass+Neg+Fut+A3sg
başlanılacak	başla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
çalışacağız	çalış+Verb+Pos+Fut+A1pl
diyecekler	de+Verb+Pos+Fut+A3pl
gezineceksiniz	gezin+Verb+Pos+Fut+A2pl
yıkanacaksa	yıka+Verb^DB+Verb+Pass+Pos+Fut+Cond+A3sg
üretebilecek	üre+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Fut+A3sg
etkileyebilecek	etkile+Verb+Pos^DB+Verb+Able+Fut+A3sg
çalışacaksa	çalış+Verb+Pos+Fut+Cond+A3sg
düşüneceksiniz	düşün+Verb+Pos+Fut+A2pl
alkışlayacak	alkışla+Verb+Pos+Fut+A3sg
oynayabilecek	oyna+Verb+Pos^DB+Verb+Able+Fut+A3sg
ağrıyacak	ağrı+Verb+Pos+Fut+A3sg
hissedecek	hisset+Verb+Pos+Fut+A3sg
başlayacaksınız	başla+Verb+Pos+Fut+A2pl
deneyecek	dene+Verb+Pos+Fut+A3sg
çevirecekler	çevir+Verb+Pos+Fut+A3pl
getiremeyecek	getir+Verb^DB+Verb+Able+Neg+Fut+A3sg
zayıflatacaksınız	zayıfla+Verb^DB+Verb+Caus+Pos+Fut+A2pl
bırakacaksınız	bırak+Verb+Pos+Fut+A2pl
uğraşacaklar	uğraş+Verb+Pos+Fut+A3pl
inceleyeceğiz	incele+Verb+Pos+Fut+A1pl
arayacağız	ara+Verb+Pos+Fut+A1pl
açabilecek	aç+Verb+Pos^DB+Verb+Able+Fut+A3sg
alacaksak	al+Verb+Pos+Fut+Cond+A1pl
sürükleyebilecek	sürükle+Verb+Pos^DB+Verb+Able+Fut+A3sg
çelişecek	çeliş+Verb+Pos+Fut+A3sg
yeralacak	yeral+Verb+Pos+Fut+A3sg
anlatılacak	anla+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
kitaplaştıracak	kitap+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos+Fut+A3sg
zorlanacak	zorla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
oluşacak	oluş+Verb+Pos+Fut+A3sg
kesmeyecek	kes+Verb+Neg+Fut+A3sg
gezdireceğim	gez+Verb^DB+Verb+Caus+Pos+Fut+A1sg
beğenecek	beğen+Verb+Pos+Fut+A3sg
çağırmayacağım	çağır+Verb+Neg+Fut+A1sg
tartışacak	tartış+Verb+Pos+Fut+A3sg
kuracaksınız	kur+Verb+Pos+Fut+A2pl
bulunacaklar	bul+Verb^DB+Verb+Pass+Pos+Fut+A3pl
yaşayacaklar	yaşa+Verb+Pos+Fut+A3pl
kapatacağım	kapa+Verb^DB+Verb+Caus+Pos+Fut+A1sg
alınabilecek	alın+Verb+Pos^DB+Verb+Able+Fut+A3sg
gerçekleştireceğiz	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus+Pos+Fut+A1pl
suçlayacaksın	suçla+Verb+Pos+Fut+A2sg
vermeyeceksin	ver+Verb+Neg+Fut+A2sg
olacaksan	ol+Verb+Pos+Fut+Cond+A2sg
kapışacak	kapış+Verb+Pos+Fut+A3sg
diyeceksin	de+Verb+Pos+Fut+A2sg
yapacaksam	yap+Verb+Pos+Fut+Cond+A1sg
varılacak	var+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yapmayacak	yap+Verb+Neg+Fut+A3sg
sunulacak	sun+Verb^DB+Verb+Pass+Pos+Fut+A3sg
değiştireceğiz	değiş+Verb^DB+Verb+Caus+Pos+Fut+A1pl
ekmeyeceğiz	ek+Verb+Neg+Fut+A1pl
kapatacaksanız	kapa+Verb^DB+Verb+Caus+Pos+Fut+Cond+A2pl
kiralayacağım	kirala+Verb+Pos+Fut+A1sg
koruyacak	koru+Verb+Pos+Fut+A3sg
getirilecek	getir+Verb^DB+Verb+Pass+Pos+Fut+A3sg
öldürülecek	öl+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
görüşecek	görüş+Verb+Pos+Fut+A3sg
bulunacağız	bul+Verb^DB+Verb+Pass+Pos+Fut+A1pl
karşılaşılabilecek	karşılaş+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
sağlayacağız	sağla+Verb+Pos+Fut+A1pl
artacak	art+Verb+Pos+Fut+A3sg
ekleyeceğim	ekle+Verb+Pos+Fut+A1sg
tükenecek	tüken+Verb+Pos+Fut+A3sg
edilmeyecek	et+Verb^DB+Verb+Pass+Neg+Fut+A3sg
ayrılmayacağız	ayır+Verb^DB+Verb+Pass+Neg+Fut+A1pl
tamamlayacak	tamamla+Verb+Pos+Fut+A3sg
kullanmayacaksın	kullan+Verb+Neg+Fut+A2sg
yapmayacaksın	yap+Verb+Neg+Fut+A2sg
yetiştireceğim	yetiş+Verb^DB+Verb+Caus+Pos+Fut+A1sg
alabileceğim	al+Verb+Pos^DB+Verb+Able+Fut+A1sg
sorulmayacak	sor+Verb^DB+Verb+Pass+Neg+Fut+A3sg
korkutacak	kork+Verb^DB+Verb+Caus+Pos+Fut+A3sg
üstlenecek	üstlen+Verb+Pos+Fut+A3sg
edeceksin	et+Verb+Pos+Fut+A2sg
çıkarılacak	çık+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
basacaksın	bas+Verb+Pos+Fut+A2sg
içeceksin	iç+Verb+Pos+Fut+A2sg
göreceksin	gör+Verb+Pos+Fut+A2sg
görüntüleyemeyeceğiz	görüntüle+Verb^DB+Verb+Able+Neg+Fut+A1pl
almayacağım	al+Verb+Neg+Fut+A1sg
gecikeceksem	gecik+Verb+Pos+Fut+Cond+A1sg
bitireceğim	bit+Verb^DB+Verb+Caus+Pos+Fut+A1sg
gitmeyeceğim	git+Verb+Neg+Fut+A1sg
yapacaksan	yap+Verb+Pos+Fut+Cond+A2sg
yorulabilecek	yor+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
güvenecek	güven+Verb+Pos+Fut+A3sg
bırakacaksın	bırak+Verb+Pos+Fut+A2sg
koyacaksın	koy+Verb+Pos+Fut+A2sg
konuşacaksa	konuş+Verb+Pos+Fut+Cond+A3sg
çekilecek	çek+Verb^DB+Verb+Pass+Pos+Fut+A3sg
kısalacak	kısal+Verb+Pos+Fut+A3sg
atılmayacak	at+Verb^DB+Verb+Pass+Neg+Fut+A3sg
olamayacak	ol+Verb^DB+Verb+Able+Neg+Fut+A3sg
tanımlayacak	tanımla+Verb+Pos+Fut+A3sg
kalacaklar	kal+Verb+Pos+Fut+A3pl
öğreteceksin	öğret+Verb+Pos+Fut+A2sg
yavaşlayacak	yavaşla+Verb+Pos+Fut+A3sg
kaçacaklar	kaç+Verb+Pos+Fut+A3pl
kutlayacağım	kutla+Verb+Pos+Fut+A1sg
küçülebilecek	küçül+Verb+Pos^DB+Verb+Able+Fut+A3sg
anlayacağız	anla+Verb+Pos+Fut+A1pl
yaratacaklar	yarat+Verb+Pos+Fut+A3pl
inecek	in+Verb+Pos+Fut+A3sg
dayanacak	dayan+Verb+Pos+Fut+A3sg
gerçekleştirebilecek	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Verb+Able+Fut+A3sg
ayıklayacağız	ayıkla+Verb+Pos+Fut+A1pl
gelecekse	gel+Verb+Pos+Fut+Cond+A3sg
özelleştirilebilecek	özel+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
nakledilecekler	naklet+Verb^DB+Verb+Pass+Pos+Fut+A3pl
atılacaklar	at+Verb^DB+Verb+Pass+Pos+Fut+A3pl
yazmayacak	yaz+Verb+Neg+Fut+A3sg
geçemeyeceğiz	geç+Verb^DB+Verb+Able+Neg+Fut+A1pl
kapatılacaklarsa	kapa+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3pl+Cond
kullanılmayacak	kullan+Verb^DB+Verb+Pass+Neg+Fut+A3sg
hissedeceksiniz	hisset+Verb+Pos+Fut+A2pl
önemsenmeyecek	önemse+Verb^DB+Verb+Pass+Neg+Fut+A3sg
okuyacaksa	oku+Verb+Pos+Fut+Cond+A3sg
kullanabilecek	kullan+Verb+Pos^DB+Verb+Able+Fut+A3sg
gidecekler	git+Verb+Pos+Fut+A3pl
sığdırabilecek	sığ+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Fut+A3sg
kalamayacaksa	kal+Verb^DB+Verb+Able+Neg+Fut+Cond+A3sg
başlamayacak	başla+Verb+Neg+Fut+A3sg
yaratacak	yarat+Verb+Pos+Fut+A3sg
duyulmayacak	duy+Verb^DB+Verb+Pass+Neg+Fut+A3sg
sunacak	sun+Verb+Pos+Fut+A3sg
toplanacak	topla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
alabilecek	al+Verb+Pos^DB+Verb+Able+Fut+A3sg
yararlanacaklar	yarar+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Fut+A3pl
kalmayacak	kal+Verb+Neg+Fut+A3sg
aktaracak	aktar+Verb+Pos+Fut+A3sg
saptanacak	sapta+Verb^DB+Verb+Pass+Pos+Fut+A3sg
uyarılacaksınız	uyar+Verb^DB+Verb+Pass+Pos+Fut+A2pl
edebilecekler	et+Verb+Pos^DB+Verb+Able+Fut+A3pl
başlayacaklar	başla+Verb+Pos+Fut+A3pl
gecikmeyecek	gecik+Verb+Neg+Fut+A3sg
yarışacak	yarış+Verb+Pos+Fut+A3sg
tanıtılacak	tanı+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
yolunacak	yol+Verb^DB+Verb+Pass+Pos+Fut+A3sg
doyacak	doy+Verb+Pos+Fut+A3sg
hatırlayacağız	hatırla+Verb+Pos+Fut+A1pl
paylaşacak	paylaş+Verb+Pos+Fut+A3sg
gösterecekler	göster+Verb+Pos+Fut+A3pl
yetineceğim	yetin+Verb+Pos+Fut+A1sg
hüzünlenecek	hüzün+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Fut+A3sg
işleyecek	işle+Verb+Pos+Fut+A3sg
sokacağız	sok+Verb+Pos+Fut+A1pl
yarışacağız	yarış+Verb+Pos+Fut+A1pl
geçilecek	geç+Verb^DB+Verb+Pass+Pos+Fut+A3sg
içeceksiniz	iç+Verb+Pos+Fut+A2pl
uygulayacağız	uygula+Verb+Pos+Fut+A1pl
ağırlayacağız	ağırla+Verb+Pos+Fut+A1pl
getireceksiniz	getir+Verb+Pos+Fut+A2pl
öğreneceğiz	öğren+Verb+Pos+Fut+A1pl
atılacak	at+Verb^DB+Verb+Pass+Pos+Fut+A3sg
hatırlatacak	hatırla+Verb^DB+Verb+Caus+Pos+Fut+A3sg
suçlayacak	suçla+Verb+Pos+Fut+A3sg
kurtaramayacak	kurtar+Verb^DB+Verb+Able+Neg+Fut+A3sg
soruşturacağım	soruştur+Verb+Pos+Fut+A1sg
ulaşacağız	ulaş+Verb+Pos+Fut+A1pl
katılmayacak	kat+Verb^DB+Verb+Pass+Neg+Fut+A3sg
izleyeceğiz	izle+Verb+Pos+Fut+A1pl
diyeceğiz	de+Verb+Pos+Fut+A1pl
kızacak	kız+Verb+Pos+Fut+A3sg
çizeceksek	çiz+Verb+Pos+Fut+Cond+A1pl
eğleneceğiz	eğle+Verb^DB+Verb+Pass+Pos+Fut+A1pl
eleştirileceğim	eleştir+Verb^DB+Verb+Pass+Pos+Fut+A1sg
diyeceksiniz	de+Verb+Pos+Fut+A2pl
başarabilecek	başar+Verb+Pos^DB+Verb+Able+Fut+A3sg
hallolacak	hallol+Verb+Pos+Fut+A3sg
çekeceğiz	çek+Verb+Pos+Fut+A1pl
gireceğiz	gir+Verb+Pos+Fut+A1pl
duyacaklar	duy+Verb+Pos+Fut+A3pl
alacaklar	al+Verb+Pos+Fut+A3pl
uçacaksanız	uç+Verb+Pos+Fut+Cond+A2pl
götürebilecek	götür+Verb+Pos^DB+Verb+Able+Fut+A3sg
gösterilecek	göster+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yenilemeyecek	ye+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
uzanacak	uza+Verb^DB+Verb+Pass+Pos+Fut+A3sg
doldurulamayacak	dol+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
görülemeyecek	gör+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
açıklanacak	açıkla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
kükreyecek	kükre+Verb+Pos+Fut+A3sg
gönderecek	gönder+Verb+Pos+Fut+A3sg
rahatlatacak	rahatla+Verb^DB+Verb+Caus+Pos+Fut+A3sg
çıkabilecek	çık+Verb+Pos^DB+Verb+Able+Fut+A3sg
yaşanacak	yaşa+Verb^DB+Verb+Pass+Pos+Fut+A3sg
doldurmayacak	dol+Verb^DB+Verb+Caus+Neg+Fut+A3sg
tartışılacak	tartış+Verb^DB+Verb+Pass+Pos+Fut+A3sg
güçleşecek	güç+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Fut+A3sg
seslenecek	sesle+Verb^DB+Verb+Pass+Pos+Fut+A3sg
toparlayacağım	toparla+Verb+Pos+Fut+A1sg
şaşıracağım	şaşır+Verb+Pos+Fut+A1sg
savunacağım	savun+Verb+Pos+Fut+A1sg
affetmeyecek	affet+Verb+Neg+Fut+A3sg
kavrayabilecek	kavra+Verb+Pos^DB+Verb+Able+Fut+A3sg
yazacağım	yaz+Verb+Pos+Fut+A1sg
vermeyeceğiz	ver+Verb+Neg+Fut+A1pl
sarılacak	sar+Verb^DB+Verb+Pass+Pos+Fut+A3sg
değişecek	değiş+Verb+Pos+Fut+A3sg
beklemeyecek	bekle+Verb+Neg+Fut+A3sg
azalacak	azal+Verb+Pos+Fut+A3sg
göğüslenecek	göğüsle+Verb^DB+Verb+Pass+Pos+Fut+A3sg
bakılacak	bak+Verb^DB+Verb+Pass+Pos+Fut+A3sg
deneyeceğiz	dene+Verb+Pos+Fut+A1pl
uyulacak	uy+Verb^DB+Verb+Pass+Pos+Fut+A3sg
değiştirilecek	değiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
bulunduracaklar	bulun+Verb^DB+Verb+Caus+Pos+Fut+A3pl
çalışılacak	çalış+Verb^DB+Verb+Pass+Pos+Fut+A3sg
faydalanılacak	fayda+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Pass+Pos+Fut+A3sg
durulmayacak	dur+Verb^DB+Verb+Pass+Neg+Fut+A3sg
hazırlanacak	hazırla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
gönderecekler	gönder+Verb+Pos+Fut+A3pl
gönderilecek	gönder+Verb^DB+Verb+Pass+Pos+Fut+A3sg
keseceğiz	kes+Verb+Pos+Fut+A1pl
atacaksınız	at+Verb+Pos+Fut+A2pl
soruşturulacak	soruştur+Verb^DB+Verb+Pass+Pos+Fut+A3sg
arayacak	ara+Verb+Pos+Fut+A3sg
sabredeceksiniz	sabret+Verb+Pos+Fut+A2pl
kazanacaksınız	kazan+Verb+Pos+Fut+A2pl
kutlanacaksınız	kutla+Verb^DB+Verb+Pass+Pos+Fut+A2pl
ayarlayacaksınız	ayarla+Verb+Pos+Fut+A2pl
anlayacaksın	anla+Verb+Pos+Fut+A2sg
yaşayacağız	yaşa+Verb+Pos+Fut+A1pl
çözülecek	çöz+Verb^DB+Verb+Pass+Pos+Fut+A3sg
inanılacak	inan+Verb^DB+Verb+Pass+Pos+Fut+A3sg
kurtaracağım	kurtar+Verb+Pos+Fut+A1sg
başvuramayacak	başvur+Verb^DB+Verb+Able+Neg+Fut+A3sg
anlaşılacak	anlaş+Verb^DB+Verb+Pass+Pos+Fut+A3sg
kıyaslayacak	kıyasla+Verb+Pos+Fut+A3sg
vereceğiz	ver+Verb+Pos+Fut+A1pl
gözeteceğiz	göze+Verb^DB+Verb+Caus+Pos+Fut+A1pl
söylenebilecekler	söyle+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3pl
yayınlayacak	yayınla+Verb+Pos+Fut+A3sg
giyecekler	giy+Verb+Pos+Fut+A3pl
götürülecek	götür+Verb^DB+Verb+Pass+Pos+Fut+A3sg
selamlanacak	selamla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
konulacak	kon+Verb^DB+Verb+Pass+Pos+Fut+A3sg
defnedilecek	defnet+Verb^DB+Verb+Pass+Pos+Fut+A3sg
uğurlanacak	uğurla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
yönetecek	yönet+Verb+Pos+Fut+A3sg
almayacaklar	al+Verb+Neg+Fut+A3pl
koyacaklar	koy+Verb+Pos+Fut+A3pl
ağlaşacaklar	ağla+Verb^DB+Verb+Recip+Pos+Fut+A3pl
ısıtacak	ısıt+Verb+Pos+Fut+A3sg
sevileceğim	sev+Verb^DB+Verb+Pass+Pos+Fut+A1sg
bilecek	bil+Verb+Pos+Fut+A3sg
esirgemeyecek	esirge+Verb+Neg+Fut+A3sg
dönüşecek	dönüş+Verb+Pos+Fut+A3sg
zannedilebilecek	zannet+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
bırakacağım	bırak+Verb+Pos+Fut+A1sg
doğuracak	doğ+Verb^DB+Verb+Caus+Pos+Fut+A3sg
alınacaksa	al+Verb^DB+Verb+Pass+Pos+Fut+Cond+A3sg
kalamayacak	kal+Verb^DB+Verb+Able+Neg+Fut+A3sg
bırakılacaklar	bırak+Verb^DB+Verb+Pass+Pos+Fut+A3pl
dönüştürülecek	dönüş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
donatılacak	dona+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
karşılanacak	karşıla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
değerlendirilecek	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
ödenecek	öde+Verb^DB+Verb+Pass+Pos+Fut+A3sg
edilemeyecek	et+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
alınmayacak	alın+Verb+Neg+Fut+A3sg
desteklenecek	destekle+Verb^DB+Verb+Pass+Pos+Fut+A3sg
bekleyeceğim	bekle+Verb+Pos+Fut+A1sg
boşanacağım	boşa+Verb^DB+Verb+Pass+Pos+Fut+A1sg
susacaksın	sus+Verb+Pos+Fut+A2sg
ispatlayacağım	ispatla+Verb+Pos+Fut+A1sg
sosyalleşecek	sosyal+Adj^DB+Verb+Become+Pos+Fut+A3sg
yaşamayacaksınız	yaşa+Verb+Neg+Fut+A2pl
sökülecek	sök+Verb^DB+Verb+Pass+Pos+Fut+A3sg
alışacak	alış+Verb+Pos+Fut+A3sg
dinleyebilecek	dinle+Verb+Pos^DB+Verb+Able+Fut+A3sg
çıkaracağım	çık+Verb^DB+Verb+Caus+Pos+Fut+A1sg
gireceksiniz	gir+Verb+Pos+Fut+A2pl
halledebileceğim	hallet+Verb+Pos^DB+Verb+Able+Fut+A1sg
bakacağız	bak+Verb+Pos+Fut+A1pl
çaldıracak	çal+Verb^DB+Verb+Caus+Pos+Fut+A3sg
çalışabilecek	çalış+Verb+Pos^DB+Verb+Able+Fut+A3sg
karşılayabilecek	karşıla+Verb+Pos^DB+Verb+Able+Fut+A3sg
girecekseniz	gir+Verb+Pos+Fut+Cond+A2pl
ettireceğiz	et+Verb^DB+Verb+Caus+Pos+Fut+A1pl
duyacak	duy+Verb+Pos+Fut+A3sg
yorumlayacağım	yorumla+Verb+Pos+Fut+A1sg
düzelecekse	düzel+Verb+Pos+Fut+Cond+A3sg
delecek	del+Verb+Pos+Fut+A3sg
çıkartacak	çık+Verb^DB+Verb+Caus^DB+Verb+Caus+Pos+Fut+A3sg
işitecek	işit+Verb+Pos+Fut+A3sg
uzaklaşacak	uzak+Adj^DB+Verb+Become+Pos+Fut+A3sg
binecek	bin+Verb+Pos+Fut+A3sg
götürecekler	götür+Verb+Pos+Fut+A3pl
yatacak	yat+Verb+Pos+Fut+A3sg
hatırlayacak	hatırla+Verb+Pos+Fut+A3sg
arzulayacak	arzula+Verb+Pos+Fut+A3sg
atılabilecek	at+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
azaltabilecek	azal+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Fut+A3sg
yatırılacak	yat+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
dağıtılacak	dağıt+Verb^DB+Verb+Pass+Pos+Fut+A3sg
beklenecek	bekle+Verb^DB+Verb+Pass+Pos+Fut+A3sg
konumlanacak	konumla+Verb^DB+Verb+Pass+Pos+Fut+A3sg
sunacağız	sun+Verb+Pos+Fut+A1pl
edilebilecek	et+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
değineceğiz	değin+Verb+Pos+Fut+A1pl
etkilemeyecek	etkile+Verb+Neg+Fut+A3sg
artırmayacak	art+Verb^DB+Verb+Caus+Neg+Fut+A3sg
boşalacak	boşal+Verb+Pos+Fut+A3sg
yağacak	yağ+Verb+Pos+Fut+A3sg
uygulanabilecek	uygula+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
indirilemeyecek	in+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
kazanılacaksa	kazan+Verb^DB+Verb+Pass+Pos+Fut+Cond+A3sg
düşülebilecek	düş+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
vazgeçilmeyecek	vazgeç+Verb^DB+Verb+Pass+Neg+Fut+A3sg
hissedilecek	hisset+Verb^DB+Verb+Pass+Pos+Fut+A3sg
gözleyeceğiz	gözle+Verb+Pos+Fut+A1pl
çıkacağız	çık+Verb+Pos+Fut+A1pl
taşıyamayacak	taşı+Verb^DB+Verb+Able+Neg+Fut+A3sg
kullandırılmayacak	kullan+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Fut+A3sg
yanacak	yan+Verb+Pos+Fut+A3sg
süsleyecek	süsle+Verb+Pos+Fut+A3sg
yetmeyecek	yet+Verb+Neg+Fut+A3sg
kullanacaksanız	kullan+Verb+Pos+Fut+Cond+A2pl
edebileceksek	et+Verb+Pos^DB+Verb+Able+Fut+Cond+A1pl
azımsanacak	azımsa+Verb^DB+Verb+Pass+Pos+Fut+A3sg
