değildir	değil+Verb+Neg+Pres+A3sg+Cop
geçirmelidir	geç+Verb^DB+Verb+Caus+Pos+Neces+A3sg+Cop
normaldir	normal+Adj^DB+Verb+Zero+Pres+A3sg+Cop
yinelenmesidir	yinele+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hizmettir	hizmet+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
özelliğidir	özellik+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kullanılamayacaktır	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg+Cop
sağlamalıdır	sağla+Verb+Pos+Neces+A3sg+Cop
alınacaktır	al+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
miktardır	miktar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sayıdır	sayı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hücredir	hücre+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
başvurudur	başvuru+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olasılıktır	olası+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilgisidir	bilgi+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aralığıdır	aralık+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
altkümesidir	altküme+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
farklıdır	fark+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
aralıktır	aralık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
açıdır	açı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kaydettirilmemiştir	kaydet+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+A3sg+Cop
okuyacaktır	oku+Verb+Pos+Fut+A3sg+Cop
kullanışlıdır	kullan+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
çalışmalıdır	çalış+Verb+Pos+Neces+A3sg+Cop
sorumludur	sorumlu+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sıralardır	sıra+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
belirtilmelidir	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Neces+A3sg+Cop
gizlenmiştir	gizle+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
anlatılmaktadır	anla+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
kimliğidir	kimlik+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kimliktir	kimlik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kümesidir	küme+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sağlamaktır	sağla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
istektir	istek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilgisayardır	bilgisayar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aygıtlardır	aygıt+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
kaldırılabilmesidir	kal+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yapılandırmadır	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
varsayılandır	varsay+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Verb+Zero+Pres+A3sg+Cop
tutmasıdır	tut+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
anlamlıdır	anlam+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
erişimdir	erişim+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tanımlanmıştır	tanımla+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
birleştirilmiştir	birleş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg+Cop
yapılandırılmalıdır	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Neces+A3sg+Cop
adıdır	ad+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
işlemdir	işlem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
değiştir	değ+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
katılacaktır	kat+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
yoludur	yol+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bileşenidir	bileş+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yapılandırılmayacaktır	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Neg+Fut+A3sg+Cop
aynıdır	aynı+Adj^DB+Verb+Zero+Pres+A3sg+Cop
kaldıracaktır	kaldır+Verb+Pos+Fut+A3sg+Cop
açmaktır	aç+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gitmesidir	git+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
seçenektir	seçenek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
görüntülemektir	görüntüle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
araçtır	araç+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
seçilidir	seçi+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
etkindir	etki+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yararlıdır	yarar+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
dışıdır	dış+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gizlenecektir	gizle+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
modundadır	mod+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
verilmektedir	ver+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
gerekliliktir	gerek+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gösterilmektedir	göster+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
yapmaktadır	yap+Verb+Pos+Prog2+A3sg+Cop
alanındadır	al+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
başvurusudur	başvuru+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olasılığıdır	olası+Adj^DB+Noun+Ness+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilgidir	bilgi+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
değerdir	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
süresidir	süre+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dönemdir	dönem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
seçilecektir	seç+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
dinamiktirler	dinamik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
çalıştırılmalıdır	çalış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Neces+A3sg+Cop
almaktır	al+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yapılmaktadır	yap+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
üretmelidir	üre+Verb^DB+Verb+Caus+Pos+Neces+A3sg+Cop
yapılmamalıdır	yap+Verb^DB+Verb+Pass+Neg+Neces+A3sg+Cop
yetkilidir	yetkili+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
silinecektir	sil+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
deposudur	depo+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
halidir	hal+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
basamaklardır	basamak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
ödemedir	öde+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
güvenlidir	güven+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
yapılanlardır	yap+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
değeridir	değer+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
miktarıdır	miktar+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
oranıdır	oran+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kopyalayacaktır	kopyala+Verb+Pos+Fut+A3sg+Cop
edecektir	et+Verb+Pos+Fut+A3sg+Cop
içermemelidir	içer+Verb+Neg+Neces+A3sg+Cop
dosyalardır	dosya+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
istenecektir	iste+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
ayrılmalıdır	ayır+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
konumudur	konum+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dosyadır	dosya+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yöntemidir	yöntem+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
parçasıdır	parça+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kodudur	kod+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kaybolacaktır	kaybol+Verb+Pos+Fut+A3sg+Cop
dolmuştur	dol+Verb+Pos+Narr+A3sg+Cop
eylemlerdir	eylem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
gruptur	grup+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ağlardır	ağ+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
kapanmalıdır	kapa+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
gönderilecektir	gönder+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
ayarlarıdır	ayar+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kurallardır	kural+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
edilmemektedir	et+Verb^DB+Verb+Pass+Neg+Prog2+A3sg+Cop
desteklenmektedir	destekle+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
bozuktur	bozuk+Adj^DB+Verb+Zero+Pres+A3sg+Cop
okuyamıyordur	oku+Verb^DB+Verb+Able+Neg+Prog1+A3sg+Cop
klasörüdür	klasör+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
değişecektir	değiş+Verb+Pos+Fut+A3sg+Cop
önemlidir	önem+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
parçadır	parça+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
öğesidir	öğe+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
zordur	zor+Adj^DB+Verb+Zero+Pres+A3sg+Cop
düzenlenmiştir	düzenle+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
sıralanmıştır	sırala+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
simgelerdir	simge+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
dağıtılmıştır	dağıt+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
saattir	saat+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
formülleridir	formül+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
teknolojidir	teknoloji+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hesaptır	hesap+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yöneliktir	yönelik+Postp+PCDat^DB+Verb+Zero+Pres+A3sg+Cop
çözümdür	çözüm+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
eklenmemiştir	ekle+Verb^DB+Verb+Pass+Neg+Narr+A3sg+Cop
açıktır	açık+Adj^DB+Verb+Zero+Pres+A3sg+Cop
göremeyecektir	gör+Verb^DB+Verb+Able+Neg+Fut+A3sg+Cop
görüntülenecektir	görüntüle+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
sunulmaktadır	sun+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
sırasıdır	sıra+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
görüntülenmektedir	görüntüle+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
ilişkilidir	ilişki+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
olanlardır	ol+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
solundadır	sol+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
alanıdır	alan+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
biçimidir	biçim+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kuruluşlardır	kur+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
yapılandırılmıştır	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg+Cop
şeklidir	şekil+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
numarasıdır	numara+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
durumudur	durum+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
takılıdır	takı+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
olmamaktadır	ol+Verb+Neg+Prog2+A3sg+Cop
kullanılmaktadır	kullan+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
faydalıdır	fayda+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
çalıştırabilmenizdir	çalış+Verb^DB+Verb+Caus+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P2pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hızlıdır	hız+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
açıklamaktadır	açıkla+Verb+Pos+Prog2+A3sg+Cop
oktur	ok+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
güncelleştirilecektir	güncel+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg+Cop
taşınmıştır	taşı+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
bağımsızdırlar	bağımsız+Adj^DB+Verb+Zero+Pres+A3pl+Cop
boştur	boş+Adj^DB+Verb+Zero+Pres+A3sg+Cop
renktir	renk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gösterecektir	göster+Verb+Pos+Fut+A3sg+Cop
sıralamıştır	sırala+Verb+Pos+Narr+A3sg+Cop
eylemdir	eylem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
belirlenmiştir	belirle+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
kartıdır	kart+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yönlüdür	yön+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
taşıdır	taş+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kutusundadır	kutu+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
yığınlarıdır	yığın+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
özelleştirmiştir	özel+Adj^DB+Verb+Become^DB+Verb+Caus+Pos+Narr+A3sg+Cop
çizilidir	çizi+Adj^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
birkaçıdır	birkaçı+Pron+Quant+A3pl+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
verilerdir	veri+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
örnektir	örnek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ölçüsüdür	ölçü+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hızdır	hız+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gizlenmektedir	gizle+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
gruplardır	grup+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
görüntülenmemiştir	görüntüle+Verb^DB+Verb+Pass+Neg+Narr+A3sg+Cop
noktasıdır	nokta+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
serileridir	seri+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
resimlerdir	resim+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
anahtardır	anahtar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
başlıktır	başlık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çizgileridir	çizgi+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
alandır	alan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etikettir	etiket+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ilgilidir	ilgili+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
büyüktür	büyük+Adj^DB+Verb+Zero+Pres+A3sg+Cop
depolamaktır	depola+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çubuğundadır	çubuk+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
özelliklerdir	özellik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
gelmektedir	gel+Verb+Pos+Prog2+A3sg+Cop
engellemiştir	engelle+Verb+Pos+Narr+A3sg+Cop
kullanmalıdır	kullan+Verb+Pos+Neces+A3sg+Cop
formüldür	formül+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bulmaktır	bul+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olunmaktadır	ol+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
kullanmaktır	kullan+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gruplanmıştır	grupla+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
ucuzdur	uç+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl+Cop
zamanlamaktır	zamanla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
oluşacaktır	oluş+Verb+Pos+Fut+A3sg+Cop
kaydedilmelidir	kaydet+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
yüklenmelidir	yükle+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
aracıdır	araç+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
anlamındadır	anlam+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
sertifikasıdır	sertifika+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
azdır	az+Adj^DB+Verb+Zero+Pres+A3sg+Cop
gönderebilmesidir	gönder+Verb+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sıradır	sıra+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kesridir	kesir+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
atanmaktadır	ata+Verb^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
gelmesidir	gel+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
edebilmelidir	et+Verb+Pos^DB+Verb+Able+Neces+A3sg+Cop
açıklamadır	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tarihtir	tarih+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ayarlanmalıdır	ayarla+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
sınırlandırılmıştır	sınır+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg+Cop
vermektir	ver+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
depolananlardır	depola+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
kategorisidir	kategori+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
konudur	konu+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
disktir	disk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tamamlanmamıştır	tamamla+Verb^DB+Verb+Pass+Neg+Narr+A3sg+Cop
çıkarılacaktır	çık+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg+Cop
değiştirilmelidir	değiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Neces+A3sg+Cop
hazırlamıştır	hazırla+Verb+Pos+Narr+A3sg+Cop
gerçekleştirilmelidir	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Neces+A3sg+Cop
türüdür	tür+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
belirtilmektedir	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog2+A3sg+Cop
aittir	ait+Postp+PCDat^DB+Verb+Zero+Pres+A3sg+Cop
görünecektir	görün+Verb+Pos+Fut+A3sg+Cop
aynısıdır	aynı+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olmamasıdır	ol+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kopyalamalıdır	kopyala+Verb+Pos+Neces+A3sg+Cop
artmaktadır	art+Verb+Pos+Prog2+A3sg+Cop
seçiktir	seçik+Dup^DB+Verb+Zero+Pres+A3sg+Cop
çözülmelidir	çöz+Verb^DB+Verb+Pass+Pos+Neces+A3sg+Cop
görevdir	görev+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
öğedir	öğe+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
doğrulayabilmelidir	doğrula+Verb+Pos^DB+Verb+Able+Neces+A3sg+Cop
isteyeceklerdir	iste+Verb+Pos+Fut+A3pl+Cop
belgedir	belge+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kalkmasıdır	kalk+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etmemektedir	et+Verb+Neg+Prog2+A3sg+Cop
gelmelidir	gel+Verb+Pos+Neces+A3sg+Cop
adlandırılmalıdır	ad+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Neces+A3sg+Cop
kullanılmamalıdır	kullan+Verb^DB+Verb+Pass+Neg+Neces+A3sg+Cop
moddur	mod+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
açıklamasıdır	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sürecidir	süreç+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
protokoldür	protokol+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yönüdür	yön+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kaydedilecektir	kaydet+Verb^DB+Verb+Pass+Pos+Fut+A3sg+Cop
devralınmıştır	devral+Verb^DB+Verb+Pass+Pos+Narr+A3sg+Cop
görünmelidir	görün+Verb+Pos+Neces+A3sg+Cop
kurgusaldır	kurgusal+Adj^DB+Verb+Zero+Pres+A3sg+Cop
çıkarılmamalıdır	çık+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Neces+A3sg+Cop
şeklindedir	şekil+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
ekleridir	ek+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
