bulunuyor	bulun+Verb+Pos+Prog1+A3sg
geçiriyorsunuz	geç+Verb^DB+Verb+Caus+Pos+Prog1+A2pl
kapılıyor	kap+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
basıyor	bas+Verb+Pos+Prog1+A3sg
seviyoruz	sev+Verb+Pos+Prog1+A1pl
yanıyor	yan+Verb+Pos+Prog1+A3sg
kızamıyorum	kız+Verb^DB+Verb+Able+Neg+Prog1+A1sg
anlatmıyorsunuz	anla+Verb^DB+Verb+Caus+Neg+Prog1+A2pl
değiştiriyor	değiş+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
uymuyor	uy+Verb+Neg+Prog1+A3sg
vuruyor	vur+Verb+Pos+Prog1+A3sg
karşılaştırıyorum	karşılaştır+Verb+Pos+Prog1+A1sg
varıyorum	var+Verb+Pos+Prog1+A1sg
olmuyorlar	ol+Verb+Neg+Prog1+A3pl
saklıyor	sakla+Verb+Pos+Prog1+A3sg
yapıyoruz	yap+Verb+Pos+Prog1+A1pl
aktarmıyoruz	aktar+Verb+Neg+Prog1+A1pl
çabalıyoruz	çabala+Verb+Pos+Prog1+A1pl
çalışıyorlar	çalış+Verb+Pos+Prog1+A3pl
kapılıyorlar	kap+Verb^DB+Verb+Pass+Pos+Prog1+A3pl
katlanıyorsunuz	katla+Verb^DB+Verb+Pass+Pos+Prog1+A2pl
kurtulabiliyorsunuz	kurtul+Verb+Pos^DB+Verb+Able+Prog1+A2pl
dilemiyorum	dil+Verb^DB+Verb+Able+Neg+Prog1+A1sg
istemiyorsa	iste+Verb+Neg+Prog1+Cond+A3sg
kahroluyorum	kahrol+Verb+Pos+Prog1+A1sg
sıkılıyor	sık+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
yanılıyorsunuz	yan+Verb^DB+Verb+Pass+Pos+Prog1+A2pl
davranabiliyor	davran+Verb+Pos^DB+Verb+Able+Prog1+A3sg
sevmiyorum	sev+Verb+Neg+Prog1+A1sg
kahrediyorsunuz	kahret+Verb+Pos+Prog1+A2pl
eriyorum	er+Verb+Pos+Prog1+A1sg
yetmiyor	yet+Verb+Neg+Prog1+A3sg
anlatıyorsunuz	anla+Verb^DB+Verb+Caus+Pos+Prog1+A2pl
saçmalıyorum	saçmala+Verb+Pos+Prog1+A1sg
akıyor	ak+Verb+Pos+Prog1+A3sg
kovmuyorsunuz	kov+Verb+Neg+Prog1+A2pl
beslenmiyor	besle+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
ilgileniyor	ilgilen+Verb+Pos+Prog1+A3sg
topluyor	topla+Verb+Pos+Prog1+A3sg
dikiyor	dik+Verb+Pos+Prog1+A3sg
parlatıyor	parla+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
harcıyor	harca+Verb+Pos+Prog1+A3sg
tiksiniyor	tiksin+Verb+Pos+Prog1+A3sg
işletiyor	işle+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
geçiniyor	geçin+Verb+Pos+Prog1+A3sg
zannediyor	zannet+Verb+Pos+Prog1+A3sg
uyuyorlar	uy+Verb+Pos+Prog1+A3pl
kalkıyorlar	kalk+Verb+Pos+Prog1+A3pl
sürüyorlar	sür+Verb+Pos+Prog1+A3pl
inceliyorlar	incele+Verb+Pos+Prog1+A3pl
giyiyorlar	giy+Verb+Pos+Prog1+A3pl
ilerleyemiyor	ilerle+Verb^DB+Verb+Able+Neg+Prog1+A3sg
biliyorlar	bile+Verb+Pos+Prog1+A3pl
koyamıyorsanız	koy+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
umuyorum	um+Verb+Pos+Prog1+A1sg
bırakıyorum	bırak+Verb+Pos+Prog1+A1sg
reddediyorum	reddet+Verb+Pos+Prog1+A1sg
öldürüyor	öl+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
üflüyor	üfle+Verb+Pos+Prog1+A3sg
yolluyorum	yolla+Verb+Pos+Prog1+A1sg
küçümsüyorum	küçümse+Verb+Pos+Prog1+A1sg
erişilemiyor	eriş+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
çalıştırıyorsa	çalış+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A3sg
açıyorsanız	aç+Verb+Pos+Prog1+Cond+A2pl
göremiyorum	gör+Verb^DB+Verb+Able+Neg+Prog1+A1sg
katılamıyorum	kat+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A1sg
bağlanamıyorum	bağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A1sg
bağlanamıyor	bağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
kullanıyorsanız	kullan+Verb+Pos+Prog1+Cond+A2pl
engelliyor	engelle+Verb+Pos+Prog1+A3sg
kaybediyorum	kaybet+Verb+Pos+Prog1+A1sg
alıyorlarsa	al+Verb+Pos+Prog1+A3pl+Cond
istemiyorsanız	iste+Verb+Neg+Prog1+Cond+A2pl
kullanılabiliyorsa	kullan+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Prog1+Cond+A3sg
özetliyorsa	özetle+Verb+Pos+Prog1+Cond+A3sg
içeriyorsa	içer+Verb+Pos+Prog1+Cond+A3sg
oluşuyorsa	oluş+Verb+Pos+Prog1+Cond+A3sg
görüntülenmiyorsa	görüntüle+Verb^DB+Verb+Pass+Neg+Prog1+Cond+A3sg
sağlamıyorsa	sağla+Verb+Neg+Prog1+Cond+A3sg
karşılamıyorsa	karşıla+Verb+Neg+Prog1+Cond+A3sg
görüntüleniyorsa	görüntüle+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
alıyorsa	al+Verb+Pos+Prog1+Cond+A3sg
yaşıyorsanız	yaşa+Verb+Pos+Prog1+Cond+A2pl
kullanılamıyor	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
bağlanabiliyor	bağla+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Prog1+A3sg
karşılaşıyorsanız	karşılaş+Verb+Pos+Prog1+Cond+A2pl
kullanılamıyorsa	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+Cond+A3sg
çiziliyorsa	çiz+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
özetleniyorsa	özetle+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
erişemiyorum	eriş+Verb^DB+Verb+Able+Neg+Prog1+A1sg
taşıyorsanız	taş+Verb+Pos+Prog1+Cond+A2pl
yükseltilebiliyorsa	yüksel+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Verb+Able+Prog1+Cond+A3sg
içermiyorsa	içer+Verb+Neg+Prog1+Cond+A3sg
duymuyorsanız	duy+Verb+Neg+Prog1+Cond+A2pl
kullanamıyorsa	kullan+Verb^DB+Verb+Able+Neg+Prog1+Cond+A3sg
bulunuyorsa	bul+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
kaydolamıyorum	kaydol+Verb^DB+Verb+Able+Neg+Prog1+A1sg
kullanamıyorum	kullan+Verb^DB+Verb+Able+Neg+Prog1+A1sg
getiriyorsanız	getir+Verb+Pos+Prog1+Cond+A2pl
gizliyorsa	gizle+Verb+Pos+Prog1+Cond+A3sg
görüntülenmiyor	görüntüle+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
destekliyorsa	destekle+Verb+Pos+Prog1+Cond+A3sg
görmüyorsanız	gör+Verb+Neg+Prog1+Cond+A2pl
açılmıyorsa	aç+Verb^DB+Verb+Pass+Neg+Prog1+Cond+A3sg
yazıyorsanız	yaz+Verb+Pos+Prog1+Cond+A2pl
ekleyemiyorum	ekle+Verb^DB+Verb+Able+Neg+Prog1+A1sg
yazdırabiliyorsa	yaz+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Prog1+Cond+A3sg
edemiyorsanız	et+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
çalışıyorsunuz	çalış+Verb+Pos+Prog1+A2pl
çalışıyorsanız	çalış+Verb+Pos+Prog1+Cond+A2pl
bulunmuyorsa	bulun+Verb+Neg+Prog1+Cond+A3sg
kaldırıyorum	kal+Verb^DB+Verb+Caus+Pos+Prog1+A1sg
yükleniyor	yükle+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
görüntülüyor	görüntüle+Verb+Pos+Prog1+A3sg
gösteriyorsa	göster+Verb+Pos+Prog1+Cond+A3sg
kullanıyorsa	kullan+Verb+Pos+Prog1+Cond+A3sg
kullanılıyorsa	kullan+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
bulunmuyor	bulun+Verb+Neg+Prog1+A3sg
çalışmıyor	çalış+Verb+Neg+Prog1+A3sg
algılayamıyor	algıla+Verb^DB+Verb+Able+Neg+Prog1+A3sg
ayarlayamıyor	ayarla+Verb^DB+Verb+Able+Neg+Prog1+A3sg
değiştiremiyorsunuz	değiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A2pl
erişemiyorsunuz	eriş+Verb^DB+Verb+Able+Neg+Prog1+A2pl
kalıyorsa	kal+Verb+Pos+Prog1+Cond+A3sg
gönderilemiyor	gönder+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
bulunamıyor	bulun+Verb^DB+Verb+Able+Neg+Prog1+A3sg
görülemiyor	gör+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
göremiyorsanız	gör+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
göstermiyor	göster+Verb+Neg+Prog1+A3sg
gerçekleştiriyor	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos+Prog1+A3sg
kaydedemiyorsanız	kaydet+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
azalıyor	azal+Verb+Pos+Prog1+A3sg
desteklemiyor	destekle+Verb+Neg+Prog1+A3sg
değiştiriyorsa	değiş+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A3sg
paylaşıyorum	paylaş+Verb+Pos+Prog1+A1sg
açamıyorsanız	aç+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
gerekmiyorsa	gerek+Verb+Neg+Prog1+Cond+A3sg
bulamıyor	bul+Verb^DB+Verb+Able+Neg+Prog1+A3sg
görünmüyorsa	görün+Verb+Neg+Prog1+Cond+A3sg
geliyorsa	gel+Verb+Pos+Prog1+Cond+A3sg
oluşturuyorsanız	oluş+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A2pl
yapılandırıyorsanız	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Prog1+Cond+A2pl
yönetmiyorsanız	yönet+Verb+Neg+Prog1+Cond+A2pl
güncelleştiriyorsanız	güncel+Adj^DB+Verb+Become^DB+Verb+Caus+Pos+Prog1+Cond+A2pl
yönetilemiyor	yönet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
yapmıyorsa	yap+Verb+Neg+Prog1+Cond+A3sg
yapıyorsanız	yap+Verb+Pos+Prog1+Cond+A2pl
desteklemiyorsa	destekle+Verb+Neg+Prog1+Cond+A3sg
sürüklüyorsunuz	sürükle+Verb+Pos+Prog1+A2pl
düzenleyemiyorum	düzenle+Verb^DB+Verb+Able+Neg+Prog1+A1sg
seçemiyorum	seç+Verb^DB+Verb+Able+Neg+Prog1+A1sg
yapıştıramıyorum	yapış+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A1sg
eklemiyor	ekle+Verb+Neg+Prog1+A3sg
görmüyorum	gör+Verb+Neg+Prog1+A1sg
görüyorum	gör+Verb+Pos+Prog1+A1sg
yenilenemiyor	yenile+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
kaydedemiyorum	kaydet+Verb^DB+Verb+Able+Neg+Prog1+A1sg
ediyorsanız	et+Verb+Pos+Prog1+Cond+A2pl
erişemiyor	eriş+Verb^DB+Verb+Able+Neg+Prog1+A3sg
barındırılıyorsa	barın+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
sürüyorsa	sür+Verb+Pos+Prog1+Cond+A3sg
sıralıyorsanız	sırala+Verb+Pos+Prog1+Cond+A2pl
başlatıyorsa	başla+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A3sg
almıyor	al+Verb+Neg+Prog1+A3sg
güveniyorsanız	güven+Verb+Pos+Prog1+Cond+A2pl
değerlendiremiyorsa	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+Cond+A3sg
kopyalayamıyorum	kopyala+Verb^DB+Verb+Able+Neg+Prog1+A1sg
değiştiremiyorum	değiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A1sg
çalıştırabiliyorsanız	çalış+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Prog1+Cond+A2pl
kaplıyorsa	kapla+Verb+Pos+Prog1+Cond+A3sg
çalışmıyorsa	çalış+Verb+Neg+Prog1+Cond+A3sg
düşünüyorsanız	düşün+Verb+Pos+Prog1+Cond+A2pl
çalışıyorsa	çalış+Verb+Pos+Prog1+Cond+A3sg
kullanmıyorsanız	kullan+Verb+Neg+Prog1+Cond+A2pl
olmuyorsa	ol+Verb+Neg+Prog1+Cond+A3sg
taşıyamıyorum	taşı+Verb^DB+Verb+Able+Neg+Prog1+A1sg
bağlanabiliyorsa	bağla+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Prog1+Cond+A3sg
koyamıyorum	koy+Verb^DB+Verb+Able+Neg+Prog1+A1sg
amaçlamıyorsanız	amaçla+Verb+Neg+Prog1+Cond+A2pl
atlanıyor	atla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
başlayamıyorsanız	başla+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
desteklenmiyor	destekle+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
giriyorsa	gir+Verb+Pos+Prog1+Cond+A3sg
görüntüleniyor	görüntüle+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
gönderemiyorum	gönder+Verb^DB+Verb+Able+Neg+Prog1+A1sg
karşılamıyor	karşıla+Verb+Neg+Prog1+A3sg
içeriyor	içer+Verb+Pos+Prog1+A3sg
kaydedilemiyorsa	kaydet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+Cond+A3sg
bilmiyorsanız	bil+Verb+Neg+Prog1+Cond+A2pl
hatırlamıyorsanız	hatırla+Verb+Neg+Prog1+Cond+A2pl
çalıştırıyorsanız	çalış+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A2pl
tanımıyorsanız	tanı+Verb+Neg+Prog1+Cond+A2pl
açıyorsa	aç+Verb+Pos+Prog1+Cond+A3sg
yönetiliyor	yönet+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
vermiyorsa	ver+Verb+Neg+Prog1+Cond+A3sg
gideriyorsanız	gider+Verb+Pos+Prog1+Cond+A2pl
ekliyorsanız	ekle+Verb+Pos+Prog1+Cond+A2pl
bildiriyorsa	bil+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A3sg
bildiriliyorsa	bil+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
kesiliyorsa	kes+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
ediyorsa	et+Verb+Pos+Prog1+Cond+A3sg
çözümleyemiyor	çözümle+Verb^DB+Verb+Able+Neg+Prog1+A3sg
oluşturuluyorlar	oluş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3pl
değiştiriliyor	değiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
iletilemiyor	ilet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
işliyorsa	işle+Verb+Pos+Prog1+Cond+A3sg
uyguluyorsa	uygula+Verb+Pos+Prog1+Cond+A3sg
sağlıyorsa	sağla+Verb+Pos+Prog1+Cond+A3sg
depolanıyorsa	depola+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
gönderiliyorsa	gönder+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
kullanılıyorlarsa	kullan+Verb^DB+Verb+Pass+Pos+Prog1+A3pl+Cond
isteniyor	iste+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
çözemiyorum	çöz+Verb^DB+Verb+Able+Neg+Prog1+A1sg
görüntülüyorsa	görüntüle+Verb+Pos+Prog1+Cond+A3sg
öldürülüyor	öl+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
araştırıyor	araştır+Verb+Pos+Prog1+A3sg
bakamıyoruz	bak+Verb^DB+Verb+Able+Neg+Prog1+A1pl
tanıştırıyor	tanış+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
kuruyorlar	kur+Verb+Pos+Prog1+A3pl
uğraşıyorlar	uğraş+Verb+Pos+Prog1+A3pl
düşünüyorlar	düşün+Verb+Pos+Prog1+A3pl
yaşanıyor	yaşa+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
katlediliyor	katlet+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
uğraşmıyor	uğraş+Verb+Neg+Prog1+A3sg
bırakılıyor	bırak+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
kurtarıyorlar	kurtar+Verb+Pos+Prog1+A3pl
tutuklanıyor	tutukla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
saldırıyor	sal+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
vazgeçiyor	vazgeç+Verb+Pos+Prog1+A3sg
topluyorlar	topla+Verb+Pos+Prog1+A3pl
tüketiyor	tüket+Verb+Pos+Prog1+A3sg
alınıyorlar	al+Verb^DB+Verb+Pass+Pos+Prog1+A3pl
düşünmüyor	düşün+Verb+Neg+Prog1+A3sg
oluşturuyor	oluş+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
katılıyor	kat+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
püskürüyor	püskür+Verb+Pos+Prog1+A3sg
takılıyor	takıl+Verb+Pos+Prog1+A3sg
suçlanıyor	suçla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
bozuyor	boz+Verb+Pos+Prog1+A3sg
başarıyor	başar+Verb+Pos+Prog1+A3sg
kazanıyor	kazan+Verb+Pos+Prog1+A3sg
adıyor	ada+Verb+Pos+Prog1+A3sg
taslamıyor	tasla+Verb+Neg+Prog1+A3sg
haşlanıyor	haşla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
dökülüyor	dök+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
diziliyor	diz+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
kapatılıyor	kapa+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
pişiriliyor	piş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
bırakmıyor	bırak+Verb+Neg+Prog1+A3sg
azaltıyor	azal+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
kazanıyorum	kazan+Verb+Pos+Prog1+A1sg
kazanılıyor	kazan+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
inanmıyorum	inan+Verb+Neg+Prog1+A1sg
gösterebiliyorum	göster+Verb+Pos^DB+Verb+Able+Prog1+A1sg
durabiliyor	dur+Verb+Pos^DB+Verb+Able+Prog1+A3sg
geçiştiriyorsun	geçiş+Verb^DB+Verb+Caus+Pos+Prog1+A2sg
almıyorlar	al+Verb+Neg+Prog1+A3pl
benzetiyorlar	benze+Verb^DB+Verb+Caus+Pos+Prog1+A3pl
taşıyorum	taş+Verb+Pos+Prog1+A1sg
tanınıyorsun	tanı+Verb^DB+Verb+Pass+Pos+Prog1+A2sg
kesiyor	kes+Verb+Pos+Prog1+A3sg
bağırıyorlar	bağır+Verb+Pos+Prog1+A3pl
şaşırıyorum	şaşır+Verb+Pos+Prog1+A1sg
bağlıyorsun	bağla+Verb+Pos+Prog1+A2sg
batıyor	bat+Verb+Pos+Prog1+A3sg
öğreniyorum	öğren+Verb+Pos+Prog1+A1sg
oynuyor	oyna+Verb+Pos+Prog1+A3sg
beğeniyorum	beğen+Verb+Pos+Prog1+A1sg
bekleniyor	bekle+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
kalmıyor	kal+Verb+Neg+Prog1+A3sg
tıklatıyorlar	tıkla+Verb^DB+Verb+Caus+Pos+Prog1+A3pl
düşünebiliyor	düşün+Verb+Pos^DB+Verb+Able+Prog1+A3sg
gönderebiliyoruz	gönder+Verb+Pos^DB+Verb+Able+Prog1+A1pl
dayanıyor	dayan+Verb+Pos+Prog1+A3sg
tekliyoruz	tekle+Verb+Pos+Prog1+A1pl
uyandırıyor	uyan+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
yöneliyorlar	yönel+Verb+Pos+Prog1+A3pl
değerlendiremiyoruz	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A1pl
sunuyoruz	sun+Verb+Pos+Prog1+A1pl
bırakılabiliyor	bırak+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Prog1+A3sg
uyguluyor	uygula+Verb+Pos+Prog1+A3sg
hazırlıyor	hazırla+Verb+Pos+Prog1+A3sg
bulmuyor	bul+Verb+Neg+Prog1+A3sg
çekiyor	çek+Verb+Pos+Prog1+A3sg
değişebiliyor	değiş+Verb+Pos^DB+Verb+Able+Prog1+A3sg
yükseliyor	yüksel+Verb+Pos+Prog1+A3sg
ödeniyor	öde+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
yapılamıyor	yap+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
aktarıyorum	aktar+Verb+Pos+Prog1+A1sg
imzalanıyor	imzala+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
bildiriyor	bil+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
tutmuyor	tut+Verb+Neg+Prog1+A3sg
buluşuyor	buluş+Verb+Pos+Prog1+A3sg
sunuyor	sun+Verb+Pos+Prog1+A3sg
görülüyor	gör+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
nitelendiriyor	nitelen+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
yürüyoruz	yürü+Verb+Pos+Prog1+A1pl
dinlenmiyor	dinle+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
hatırlıyoruz	hatırla+Verb+Pos+Prog1+A1pl
sorgulanıyorlar	sorgula+Verb^DB+Verb+Pass+Pos+Prog1+A3pl
biliniyor	bil+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
sorulmuyor	sor+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
sığıyor	sığa+Verb+Pos+Prog1+A3sg
kınıyorum	kına+Verb+Pos+Prog1+A1sg
gidiyoruz	git+Verb+Pos+Prog1+A1pl
algılanıyor	algıla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
yayınlanıyor	yayınla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
karşılıyorum	karşıla+Verb+Pos+Prog1+A1sg
çıkartıyoruz	çık+Verb^DB+Verb+Caus^DB+Verb+Caus+Pos+Prog1+A1pl
özetliyor	özetle+Verb+Pos+Prog1+A3sg
kullanılıyor	kullan+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
yükseltiyor	yüksel+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
hissediyorsunuz	hisset+Verb+Pos+Prog1+A2pl
seyrediliyor	seyret+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
dolmuyor	dol+Verb+Neg+Prog1+A3sg
buluyorlar	bula+Verb+Pos+Prog1+A3pl
işletiliyor	işle+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
getiriyorlar	getir+Verb+Pos+Prog1+A3pl
kaybediyorsunuz	kaybet+Verb+Pos+Prog1+A2pl
yaratıyorsa	yara+Verb^DB+Verb+Caus+Pos+Prog1+Cond+A3sg
ediyoruz	et+Verb+Pos+Prog1+A1pl
savunuyorlar	savun+Verb+Pos+Prog1+A3pl
anlatıyor	anlat+Verb+Pos+Prog1+A3sg
görüyoruz	gör+Verb+Pos+Prog1+A1pl
beklemiyorum	bekle+Verb+Neg+Prog1+A1sg
öneriyorum	öner+Verb+Pos+Prog1+A1sg
veriyorlar	ver+Verb+Pos+Prog1+A3pl
yapmıyorlar	yap+Verb+Neg+Prog1+A3pl
demiyor	de+Verb+Neg+Prog1+A3sg
veriliyorsa	ver+Verb^DB+Verb+Pass+Pos+Prog1+Cond+A3sg
gidiliyor	git+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
geçiriyoruz	geç+Verb^DB+Verb+Caus+Pos+Prog1+A1pl
bakılıyor	bak+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
gösteriyoruz	göster+Verb+Pos+Prog1+A1pl
amaçlıyoruz	amaçla+Verb+Pos+Prog1+A1pl
kazandırılıyor	kazan+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
kullanıyorum	kullan+Verb+Pos+Prog1+A1sg
yargılanıyor	yargıla+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
soruyoruz	sor+Verb+Pos+Prog1+A1pl
anlaşılıyor	anlaş+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
sayılıyor	say+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
çalışabiliyor	çalış+Verb+Pos^DB+Verb+Able+Prog1+A3sg
yapmıyoruz	yap+Verb+Neg+Prog1+A1pl
hedefleniyor	hedefle+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
sokabiliyorlar	sok+Verb+Pos^DB+Verb+Able+Prog1+A3pl
edilmiyor	et+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
belirtiyorsunuz	belir+Verb^DB+Verb+Caus+Pos+Prog1+A2pl
kestiremiyor	kes+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A3sg
arıyor	ara+Verb+Pos+Prog1+A3sg
görüşüyor	görüş+Verb+Pos+Prog1+A3sg
sürdürüyor	sür+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
etkileniyor	etkile+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
özetliyorlar	özetle+Verb+Pos+Prog1+A3pl
yaklaşıyor	yaklaş+Verb+Pos+Prog1+A3sg
reddetmiyor	reddet+Verb+Neg+Prog1+A3sg
yitirmiyor	yit+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
gönderiyor	gönder+Verb+Pos+Prog1+A3sg
söyleniyor	söyle+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
yıkılıyor	yık+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
savuruyor	savur+Verb+Pos+Prog1+A3sg
götürülüyor	götür+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
coşuyor	coş+Verb+Pos+Prog1+A3sg
andırıyor	andır+Verb+Pos+Prog1+A3sg
yetiştiremiyoruz	yetiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A1pl
sakinleştiriyor	sakin+Adj^DB+Verb+Become^DB+Verb+Caus+Pos+Prog1+A3sg
tanımıyor	tanı+Verb+Neg+Prog1+A3sg
kapışılıyor	kapış+Verb^DB+Verb+Pass+Pos+Prog1+A3sg
üretiliyor	üre+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Prog1+A3sg
sürmüyor	sür+Verb+Neg+Prog1+A3sg
bekliyoruz	bekle+Verb+Pos+Prog1+A1pl
dönebiliyorlar	dön+Verb+Pos^DB+Verb+Able+Prog1+A3pl
vermiyor	ver+Verb+Neg+Prog1+A3sg
