imzalanmamış	imzala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
özdeşleşmiş	özdeş+Adj^DB+Verb+Become+Pos+Narr+A3sg
benimsemiş	benimse+Verb+Pos+Narr+A3sg
dinlemiş	dinle+Verb+Pos+Narr+A3sg
dirilmiş	diril+Verb+Pos+Narr+A3sg
toplanmış	topla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
örtmüş	ört+Verb+Pos+Narr+A3sg
boşvermiş	boşver+Verb+Pos+Narr+A3sg
yufkalaşmış	yufka+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
aşmış	aş+Verb+Pos+Narr+A3sg
terlemiş	terle+Verb+Pos+Narr+A3sg
ısmarlayabilecekmiş	ısmarla+Verb+Pos^DB+Verb+Able+Fut+Narr+A3sg
giyebilecekmiş	giy+Verb+Pos^DB+Verb+Able+Fut+Narr+A3sg
cilalanmış	cilala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
konulmuş	kon+Verb^DB+Verb+Pass+Pos+Narr+A3sg
göndermişler	gönder+Verb+Pos+Narr+A3pl
erişmiş	eriş+Verb+Pos+Narr+A3sg
koyamamış	koy+Verb^DB+Verb+Able+Neg+Narr+A3sg
sevindirmiş	sevin+Verb^DB+Verb+Caus+Pos+Narr+A3sg
bitmemiş	bit+Verb+Neg+Narr+A3sg
yanmış	yan+Verb+Pos+Narr+A3sg
sevmiş	sev+Verb+Pos+Narr+A3sg
lekelenmiş	lekele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
fısıldamış	fısılda+Verb+Pos+Narr+A3sg
göçmüş	göç+Verb+Pos+Narr+A3sg
arıtmış	arıt+Verb+Pos+Narr+A3sg
kapatılmış	kapa+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
bölünmüş	böl+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çerçevelenmiş	çerçevele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
açmış	aç+Verb+Pos+Narr+A3sg
yükseltilmiş	yüksel+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
seçmiş	seç+Verb+Pos+Narr+A3sg
kapatmış	kapa+Verb^DB+Verb+Caus+Pos+Narr+A3sg
özetlenmiş	özetle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
gizlenmiş	gizle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sıralanmış	sırala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
görüntülenmiş	görüntüle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bağlanmamış	bağla+Verb^DB+Verb+Pass+Neg+Narr+A3sg
uygulanmış	uygula+Verb^DB+Verb+Pass+Pos+Narr+A3sg
dışlamış	dışla+Verb+Pos+Narr+A3sg
sınırlandırılmış	sınır+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
tanımlanmış	tanımla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
oluşmuş	oluş+Verb+Pos+Narr+A3sg
düzenlenmiş	düzenle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
katılmışsa	kat+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
dağıtılmış	dağıt+Verb^DB+Verb+Pass+Pos+Narr+A3sg
ilişkilendirilmiş	ilişki+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
yetkilendirilmiş	yetki+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
şifrelenmiş	şifrele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yenilenmiş	yenile+Verb^DB+Verb+Pass+Pos+Narr+A3sg
arşivlenmiş	arşivle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
imzalanmış	imzala+Verb^DB+Verb+Pass+Pos+Narr+A3sg
devralmış	devral+Verb+Pos+Narr+A3sg
kaydedilmiş	kaydet+Verb^DB+Verb+Pass+Pos+Narr+A3sg
etkinleştirilmemiş	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+A3sg
güncelleştirilmiş	güncel+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
silinmemiş	sil+Verb^DB+Verb+Pass+Neg+Narr+A3sg
kullanılmış	kullan+Verb^DB+Verb+Pass+Pos+Narr+A3sg
paylaşılmış	paylaş+Verb^DB+Verb+Pass+Pos+Narr+A3sg
reddedilmiş	reddet+Verb^DB+Verb+Pass+Pos+Narr+A3sg
devralınmış	devral+Verb^DB+Verb+Pass+Pos+Narr+A3sg
eklenmiş	ekle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
seçilmişse	seç+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
gönderilmemiş	gönder+Verb^DB+Verb+Pass+Neg+Narr+A3sg
denetlenmiş	denetle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
göndermiş	gönder+Verb+Pos+Narr+A3sg
depolanmış	depola+Verb^DB+Verb+Pass+Pos+Narr+A3sg
eşleştirilmiş	eş+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
sağlamış	sağla+Verb+Pos+Narr+A3sg
eklemiş	ekle+Verb+Pos+Narr+A3sg
yazdırılmış	yaz+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
biçimlendirilmiş	biçim+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
yuvarlanmış	yuvarla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
başlatılmış	başla+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
gerçekleşmişse	gerçek+Adj^DB+Verb+Become+Pos+Narr+Cond+A3sg
olmamışsa	ol+Verb+Neg+Narr+Cond+A3sg
sağlamışsa	sağla+Verb+Pos+Narr+Cond+A3sg
kilitlenmiş	kilitle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kapatılmışsa	kapa+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+Cond+A3sg
çoğaltılmış	çoğal+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
zamanlanmış	zamanla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sınırlanmış	sınır+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
sınırlanmışsa	sınırla+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
sınırlanmamışsa	sınırla+Verb^DB+Verb+Pass+Neg+Narr+Cond+A3sg
ölçülmüş	ölç+Verb^DB+Verb+Pass+Pos+Narr+A3sg
seçmişseniz	seç+Verb+Pos+Narr+Cond+A2pl
listelenmiş	listele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bozulmuşsa	boz+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
sıkıştırılmış	sıkış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
dengelenmiş	dengele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sağlanmamış	sağla+Verb^DB+Verb+Pass+Neg+Narr+A3sg
numaralandırılmış	numara+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
aşılmış	aş+Verb^DB+Verb+Pass+Pos+Narr+A3sg
azaltmış	azal+Verb^DB+Verb+Caus+Pos+Narr+A3sg
ayarlanmışsa	ayarla+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
yapılandırılmamış	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+A3sg
kopyalanmamışsa	kopyala+Verb^DB+Verb+Pass+Neg+Narr+Cond+A3sg
dönüştürülmüş	dönüş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
aktarılmış	aktar+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çözülmüş	çöz+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yayımlanmış	yayımla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
belirtilmemişse	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+Cond+A3sg
uygulanmışsa	uygula+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
dolmuşsa	dol+Verb+Pos+Narr+Cond+A3sg
dolmamışsa	dol+Verb+Neg+Narr+Cond+A3sg
ayarlanmış	ayarla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
belirtilmiş	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
reddedilmişse	reddet+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
katıştırılmış	katış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
otomatikleştirilmiş	otomatik+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
tamamlanmış	tamamla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yüklenmişse	yükle+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
ayarlanmamışsa	ayarla+Verb^DB+Verb+Pass+Neg+Narr+Cond+A3sg
tamamlanmışsa	tamamla+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
çözümlenmemiş	çözüm+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Neg+Narr+A3sg
oluşturmuşsanız	oluş+Verb^DB+Verb+Caus+Pos+Narr+Cond+A2pl
sıralanmışsa	sırala+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
temizlenmiş	temizle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
takılmamış	tak+Verb^DB+Verb+Pass+Neg+Narr+A3sg
yerleştirilmiş	yerleş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
sabitlenmiş	sabit+Adj^DB+Verb+Acquire+Pos+Narr+A3sg
diskmiş	disk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
paylaştırılmış	paylaş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
bilgisayarlarındaymış	bilgisayar+Noun+A3pl+P3sg+Loc^DB+Verb+Zero+Narr+A3sg
sıfırlamış	sıfırla+Verb+Pos+Narr+A3sg
oturuyormuş	otur+Verb+Pos+Prog1+Narr+A3sg
değiştirilmiş	değiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
hücreymiş	hücre+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
aktarılmamış	aktar+Verb^DB+Verb+Pass+Neg+Narr+A3sg
taşınmış	taşı+Verb^DB+Verb+Pass+Pos+Narr+A3sg
silinmiş	sil+Verb^DB+Verb+Pass+Pos+Narr+A3sg
okunmuş	oku+Verb^DB+Verb+Pass+Pos+Narr+A3sg
okunmamış	oku+Verb^DB+Verb+Pass+Neg+Narr+A3sg
özelleştirmiş	özel+Adj^DB+Verb+Become^DB+Verb+Caus+Pos+Narr+A3sg
kişiselleştirilmiş	kişisel+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
kilitlenmişse	kilitle+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
derecelendirilmiş	derece+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
sıfırlanmış	sıfırla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
işlenmişse	işle+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
işaretlenmişse	işaretle+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
zamanlanmışsa	zamanla+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
zamanlanmamışsa	zamanla+Verb^DB+Verb+Pass+Neg+Narr+Cond+A3sg
belirlenmiş	belirle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
etkinleştirilmişse	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+Cond+A3sg
kapanmışsa	kapa+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
çalıştırılmamışsa	çalış+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+Cond+A3sg
sıralanmamış	sırala+Verb^DB+Verb+Pass+Neg+Narr+A3sg
doğrulanmış	doğrula+Verb^DB+Verb+Pass+Pos+Narr+A3sg
değiştirmiş	değiş+Verb^DB+Verb+Caus+Pos+Narr+A3sg
yapılandırmış	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos+Narr+A3sg
onaylanmış	onayla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bağlanmışsa	bağla+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
belirlemiş	belirle+Verb+Pos+Narr+A3sg
eşitlenmemişse	eşitle+Verb^DB+Verb+Pass+Neg+Narr+Cond+A3sg
adamışlar	ada+Verb+Pos+Narr+A3pl
katılmış	kat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
zorlamış	zorla+Verb+Pos+Narr+A3sg
sarmalamış	sarmala+Verb+Pos+Narr+A3sg
soğutulmuş	soğu+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
dövülmüş	döv+Verb^DB+Verb+Pass+Pos+Narr+A3sg
dilimlenmiş	dilimle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
demirlemiş	demirle+Verb+Pos+Narr+A3sg
arıyorlarmış	ara+Verb+Pos+Prog1+A3pl+Narr
okuyamamış	oku+Verb^DB+Verb+Able+Neg+Narr+A3sg
çalmışsın	çal+Verb+Pos+Narr+A2sg
soyutlamış	soyutla+Verb+Pos+Narr+A3sg
görmemişim	gör+Verb+Neg+Narr+A1sg
gitmişler	git+Verb+Pos+Narr+A3pl
konuşmuşlar	konuş+Verb+Pos+Narr+A3pl
uyuyamamış	uyu+Verb^DB+Verb+Able+Neg+Narr+A3sg
söylüyormuş	söyle+Verb+Pos+Prog1+Narr+A3sg
dayanamamış	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Narr+A3sg
seslenmiş	sesle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
açılmamış	aç+Verb^DB+Verb+Pass+Neg+Narr+A3sg
ülkeymişiz	ülke+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A1pl
çıkarılmış	çık+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
getirilmiş	getir+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çizmişler	çiz+Verb+Pos+Narr+A3pl
gömmüşler	göm+Verb+Pos+Narr+A3pl
kazanılmış	kazan+Verb^DB+Verb+Pass+Pos+Narr+A3sg
bildirmişler	bil+Verb^DB+Verb+Caus+Pos+Narr+A3pl
hazırlanıyormuş	hazırla+Verb^DB+Verb+Pass+Pos+Prog1+Narr+A3sg
koymuş	koy+Verb+Pos+Narr+A3sg
kaldırtmış	kaldır+Verb^DB+Verb+Caus+Pos+Narr+A3sg
sığınmış	sığın+Verb+Pos+Narr+A3sg
alışılmışın	alış+Verb^DB+Verb+Pass+Pos+Narr+A2sg
öğrenememişler	öğren+Verb^DB+Verb+Able+Neg+Narr+A3pl
kandırmış	kan+Verb^DB+Verb+Caus+Pos+Narr+A3sg
ettirmiş	et+Verb^DB+Verb+Caus+Pos+Narr+A3sg
yaptırmış	yap+Verb^DB+Verb+Caus+Pos+Narr+A3sg
gezmiş	gez+Verb+Pos+Narr+A3sg
bildirilmiş	bil+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
erecekmiş	er+Verb+Pos+Fut+Narr+A3sg
vermişim	ver+Verb+Pos+Narr+A1sg
düşmüşler	düş+Verb+Pos+Narr+A3pl
imzalamış	imzala+Verb+Pos+Narr+A3sg
kaçırılmış	kaç+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
engellenmiş	engelle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
unutmalıymışız	unut+Verb+Pos+Neces+Narr+A1pl
atarmış	at+Verb+Pos+Aor+Narr+A3sg
sağlanmış	sağla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
tanıtılmış	tanı+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
hazırlamış	hazırla+Verb+Pos+Narr+A3sg
kaçırılmamış	kaç+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+A3sg
kurtulmuş	kurtul+Verb+Pos+Narr+A3sg
tuturmuş	tutur+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
inanmamış	inan+Verb+Neg+Narr+A3sg
kalacakmış	kal+Verb+Pos+Fut+Narr+A3sg
saklanmış	sakla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yitirmiş	yit+Verb^DB+Verb+Caus+Pos+Narr+A3sg
yapılmamış	yap+Verb^DB+Verb+Pass+Neg+Narr+A3sg
oynanmamış	oyna+Verb^DB+Verb+Pass+Neg+Narr+A3sg
kurmuş	kur+Verb+Pos+Narr+A3sg
uymamış	uy+Verb+Neg+Narr+A3sg
almışlar	al+Verb+Pos+Narr+A3pl
buharlaşmış	buhar+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos+Narr+A3sg
bekleyecekmişiz	bekle+Verb+Pos+Fut+Narr+A1pl
çalışmış	çalış+Verb+Pos+Narr+A3sg
yollamışsınız	yolla+Verb+Pos+Narr+A2pl
bakılmış	bak+Verb^DB+Verb+Pass+Pos+Narr+A3sg
hastanesiymiş	hastane+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A3sg
soyulmuş	soy+Verb^DB+Verb+Pass+Pos+Narr+A3sg
doğranmış	doğra+Verb^DB+Verb+Pass+Pos+Narr+A3sg
haşlanmış	haşla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
ışıklandırılmış	ışık+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
korunabilmiş	koru+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Narr+A3sg
direnmişler	dire+Verb^DB+Verb+Pass+Pos+Narr+A3pl
oturtulmuş	otur+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
konuşlandırılmış	konuşlan+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
gelenekselleşmiş	geleneksel+Adj^DB+Verb+Become+Pos+Narr+A3sg
esinlenmiş	esinle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
doldurmuş	dol+Verb^DB+Verb+Caus+Pos+Narr+A3sg
eritilmiş	eri+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
boşanmış	boşa+Verb^DB+Verb+Pass+Pos+Narr+A3sg
saptanmış	sapta+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sağlarmış	sağla+Verb+Pos+Aor+Narr+A3sg
korunmuş	koru+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kapatılırmış	kapa+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Aor+Narr+A3sg
irdelenmiş	irdele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yapılacakmış	yap+Verb^DB+Verb+Pass+Pos+Fut+Narr+A3sg
yosunlanmış	yosunla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yapıştırılmış	yapış+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
ahırmış	ahır+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
açıyorlarmış	aç+Verb+Pos+Prog1+A3pl+Narr
sulanıyormuş	sulan+Verb+Pos+Prog1+Narr+A3sg
çevirmiş	çevir+Verb+Pos+Narr+A3sg
yağdırmışlar	yağ+Verb^DB+Verb+Caus+Pos+Narr+A3pl
kullanmışlar	kullan+Verb+Pos+Narr+A3pl
çıkmamış	çık+Verb+Neg+Narr+A3sg
koruyamamışız	koru+Verb^DB+Verb+Able+Neg+Narr+A1pl
seyredermiş	seyret+Verb+Pos+Aor+Narr+A3sg
kadarmış	kadar+Postp+PCDat^DB+Verb+Zero+Narr+A3sg
çıkartılmış	çık+Verb^DB+Verb+Caus^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
hazırlıyormuş	hazırla+Verb+Pos+Prog1+Narr+A3sg
saplanmış	sapla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
indirtmiş	in+Verb^DB+Verb+Caus^DB+Verb+Caus+Pos+Narr+A3sg
açılmışız	aç+Verb^DB+Verb+Pass+Pos+Narr+A1pl
olacakmış	ol+Verb+Pos+Fut+Narr+A3sg
şuymuş	şu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
yazıyormuş	yaz+Verb+Pos+Prog1+Narr+A3sg
gitmişim	git+Verb+Pos+Narr+A1sg
bilecekmiş	bil+Verb+Pos+Fut+Narr+A3sg
kalmışsam	kal+Verb+Pos+Narr+Cond+A1sg
indirmiş	in+Verb^DB+Verb+Caus+Pos+Narr+A3sg
gerekliymiş	gerek+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Narr+A3sg
ütülemişler	ütüle+Verb+Pos+Narr+A3pl
düşmemiş	düş+Verb+Neg+Narr+A3sg
gerilmiş	ger+Verb^DB+Verb+Pass+Pos+Narr+A3sg
hayranmış	hayran+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
giderlermiş	git+Verb+Pos+Aor+A3pl+Narr
gözetlermiş	gözetle+Verb+Pos+Aor+Narr+A3sg
tamamlamış	tamamla+Verb+Pos+Narr+A3sg
bitmişse	bit+Verb+Pos+Narr+Cond+A3sg
istemiyorlarmış	iste+Verb+Neg+Prog1+A3pl+Narr
düşünmüşüm	düşün+Verb+Pos+Narr+A1sg
çıkacakmış	çık+Verb+Pos+Fut+Narr+A3sg
kurulmuşsun	kur+Verb^DB+Verb+Pass+Pos+Narr+A2sg
kırıyormuş	kır+Verb+Pos+Prog1+Narr+A3sg
uzatmış	uza+Verb^DB+Verb+Caus+Pos+Narr+A3sg
uymuş	uy+Verb+Pos+Narr+A3sg
düzenlemiş	düzenle+Verb+Pos+Narr+A3sg
desteklemiş	destekle+Verb+Pos+Narr+A3sg
oluşturmuş	oluş+Verb^DB+Verb+Caus+Pos+Narr+A3sg
yetinmiş	yetin+Verb+Pos+Narr+A3sg
alınmışlar	al+Verb^DB+Verb+Pass+Pos+Narr+A3pl
anlaşmışlar	anlaş+Verb+Pos+Narr+A3pl
anlatmış	anla+Verb^DB+Verb+Caus+Pos+Narr+A3sg
ayırmışlar	ayır+Verb+Pos+Narr+A3pl
anmışlar	an+Verb+Pos+Narr+A3pl
giymişler	giy+Verb+Pos+Narr+A3pl
yıkanmış	yıka+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kokmamış	kok+Verb+Neg+Narr+A3sg
olmuşlar	ol+Verb+Pos+Narr+A3pl
almazmış	al+Verb+Neg+Aor+Narr+A3sg
yaptıramıyormuş	yap+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+Narr+A3sg
takmış	tak+Verb+Pos+Narr+A3sg
kaybedilmiş	kaybet+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yerleşmiş	yerleş+Verb+Pos+Narr+A3sg
özdeşleştirmiş	özdeş+Adj^DB+Verb+Become^DB+Verb+Caus+Pos+Narr+A3sg
şişirilmiş	şiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
sularlarmış	sula+Verb+Pos+Aor+A3pl+Narr
affetmiş	affet+Verb+Pos+Narr+A3sg
görmüşler	gör+Verb+Pos+Narr+A3pl
dalmışlar	dal+Verb+Pos+Narr+A3pl
yapabilmişler	yap+Verb+Pos^DB+Verb+Able+Narr+A3pl
başlamışlar	başla+Verb+Pos+Narr+A3pl
sıvamış	sıva+Verb+Pos+Narr+A3sg
pişmiş	piş+Verb+Pos+Narr+A3sg
tartışmış	tartış+Verb+Pos+Narr+A3sg
getirilmişse	getir+Verb^DB+Verb+Pass+Pos+Narr+Cond+A3sg
ediyormuş	et+Verb+Pos+Prog1+Narr+A3sg
satmış	sat+Verb+Pos+Narr+A3sg
düşünmemiş	düşün+Verb+Neg+Narr+A3sg
yapmamışlar	yap+Verb+Neg+Narr+A3pl
anlayabilmiş	anla+Verb+Pos^DB+Verb+Able+Narr+A3sg
gibiymiş	gibi+Postp+PCNom^DB+Verb+Zero+Narr+A3sg
yetiyormuş	yet+Verb+Pos+Prog1+Narr+A3sg
proglamlanmış	proglam+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Pos+Narr+A3sg
ulaşılmış	ulaş+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yönelmişler	yönel+Verb+Pos+Narr+A3pl
hammaddelermiş	hammadde+Noun+A3pl+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
görünüyormuş	görün+Verb+Pos+Prog1+Narr+A3sg
azaltabilirmiş	azal+Verb^DB+Verb+Caus+Pos^DB+Verb+Able+Aor+Narr+A3sg
muymuş	mu+Ques+Narr+A3sg
lazımmış	lazım+Adj^DB+Verb+Zero+Narr+A3sg
abartılmış	abart+Verb^DB+Verb+Pass+Pos+Narr+A3sg
alıştırmış	alış+Verb^DB+Verb+Caus+Pos+Narr+A3sg
korkmuş	kork+Verb+Pos+Narr+A3sg
çuvallamış	çuvalla+Verb+Pos+Narr+A3sg
yaratılmışız	yarat+Verb^DB+Verb+Pass+Pos+Narr+A1pl
donatılmış	donat+Verb^DB+Verb+Pass+Pos+Narr+A3sg
kaynaşmış	kaynaş+Verb+Pos+Narr+A3sg
alışagelmiş	alış+Verb+Pos^DB+Verb+EverSince+Narr+A3sg
büyümüş	büyü+Verb+Pos+Narr+A3sg
çıkartırlarmış	çık+Verb^DB+Verb+Caus^DB+Verb+Caus+Pos+Aor+A3pl+Narr
anlatırlarmış	anlat+Verb+Pos+Aor+A3pl+Narr
dermiş	de+Verb+Pos+Aor+Narr+A3sg
açıklamamış	açıkla+Verb+Neg+Narr+A3sg
bakmış	bak+Verb+Pos+Narr+A3sg
çalmış	çal+Verb+Pos+Narr+A3sg
araştırmış	araştır+Verb+Pos+Narr+A3sg
derinleşmiş	derin+Adj^DB+Verb+Become+Pos+Narr+A3sg
çıkmışız	çık+Verb+Pos+Narr+A1pl
yansımış	yansı+Verb+Pos+Narr+A3sg
istemişler	iste+Verb+Pos+Narr+A3pl
verilmemiş	ver+Verb^DB+Verb+Pass+Neg+Narr+A3sg
alamamış	al+Verb^DB+Verb+Able+Neg+Narr+A3sg
kaynaklanmış	kaynakla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
başarmış	başar+Verb+Pos+Narr+A3sg
zorlanmış	zorla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
yapmamış	yap+Verb+Neg+Narr+A3sg
yapabilirmiş	yap+Verb+Pos^DB+Verb+Able+Aor+Narr+A3sg
alışmışlar	alış+Verb+Pos+Narr+A3pl
düşünmüş	düşün+Verb+Pos+Narr+A3sg
kapanmışlar	kapa+Verb^DB+Verb+Pass+Pos+Narr+A3pl
sokulmuş	sok+Verb^DB+Verb+Pass+Pos+Narr+A3sg
haklıymış	hak+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Narr+A3sg
ispatlanmış	ispatla+Verb^DB+Verb+Pass+Pos+Narr+A3sg
