konuştum	konuş+Verb+Pos+Past+A1sg
alıyor	al+Verb+Pos+Prog1+A3sg
kullanıyorum	kullan+Verb+Pos+Prog1+A1sg
seviyorum	sev+Verb+Pos+Prog1+A1sg
yedim	ye+Verb+Pos+Past+A1sg
duymuyorum	duy+Verb+Neg+Prog1+A1sg
seversiniz	sev+Verb+Pos+Aor+A2pl
bekleyeceğim	bekle+Verb+Pos+Fut+A1sg
inanmamış	inan+Verb+Neg+Narr+A3sg
baktım	bak+Verb+Pos+Past+A1sg
anlıyorum	anla+Verb+Pos+Prog1+A1sg
yiyecekler	ye+Verb+Pos+Fut+A3pl
istemeyeceğim	iste+Verb+Neg+Fut+A1sg
yaptınız	yap+Verb+Pos+Past+A2pl
görürsün	gör+Verb+Pos+Aor+A2sg
konuşmaz	konuş+Verb+Neg+Aor+A3sg
söylemiyor	söyle+Verb+Neg+Prog1+A3sg
görürler	gör+Verb+Pos+Aor+A3pl
etmemiş	et+Verb+Neg+Narr+A3sg
vermemişler	ver+Verb+Neg+Narr+A3pl
kalacaksınız	kal+Verb+Pos+Fut+A2pl
olmazlar	ol+Verb+Neg+Aor+A3pl
düşünüyorum	düşün+Verb+Pos+Prog1+A1sg
istemiyorlar	iste+Verb+Neg+Prog1+A3pl
attın	at+Verb+Pos+Past+A2sg
göstermiyor	göster+Verb+Neg+Prog1+A3sg
ederim	et+Verb+Pos+Aor+A1sg
giriyoruz	gir+Verb+Pos+Prog1+A1pl
koydu	koy+Verb+Pos+Past+A3sg
kaybedeceksiniz	kaybet+Verb+Pos+Fut+A2pl
kurduk	kur+Verb+Pos+Past+A1pl
oldunuz	ol+Verb+Pos+Past+A2pl
dönüyoruz	dön+Verb+Pos+Prog1+A1pl
inandım	inan+Verb+Pos+Past+A1sg
oldun	ol+Verb+Pos+Past+A2sg
başlayacaksınız	başla+Verb+Pos+Fut+A2pl
konuşurum	konuş+Verb+Pos+Aor+A1sg
sevdik	sev+Verb+Pos+Past+A1pl
vermedi	ver+Verb+Neg+Past+A3sg
atarsınız	at+Verb+Pos+Aor+A2pl
konuşuyorlar	konuş+Verb+Pos+Prog1+A3pl
beklemiyorum	bekle+Verb+Neg+Prog1+A1sg
göstermişler	göster+Verb+Pos+Narr+A3pl
olurlar	ol+Verb+Pos+Aor+A3pl
konuştular	konuş+Verb+Pos+Past+A3pl
kalmamış	kal+Verb+Neg+Narr+A3sg
başlayacağız	başla+Verb+Pos+Fut+A1pl
gireceksiniz	gir+Verb+Pos+Fut+A2pl
attı	at+Verb+Pos+Past+A3sg
çalışmadı	çalış+Verb+Neg+Past+A3sg
olmuyorsun	ol+Verb+Neg+Prog1+A2sg
yapmış	yap+Verb+Pos+Narr+A3sg
yaşarlar	yaşa+Verb+Pos+Aor+A3pl
okuduk	oku+Verb+Pos+Past+A1pl
gelmemiş	gel+Verb+Neg+Narr+A3sg
kullandım	kullan+Verb+Pos+Past+A1sg
gördüler	gör+Verb+Pos+Past+A3pl
söylüyorsun	söyle+Verb+Pos+Prog1+A2sg
kurar	kur+Verb+Pos+Aor+A3sg
beklemezler	bekle+Verb+Neg+Aor+A3pl
yersiniz	ye+Verb+Pos+Aor+A2pl
bakmadı	bak+Verb+Neg+Past+A3sg
gideceğim	git+Verb+Pos+Fut+A1sg
gider	git+Verb+Pos+Aor+A3sg
görüyoruz	gör+Verb+Pos+Prog1+A1pl
söylemedik	söyle+Verb+Neg+Past+A1pl
geldiniz	gel+Verb+Pos+Past+A2pl
düşmüş	düş+Verb+Pos+Narr+A3sg
tanımıyoruz	tanı+Verb+Neg+Prog1+A1pl
çıkarım	çık+Verb+Pos+Aor+A1sg
bakıyorum	bak+Verb+Pos+Prog1+A1sg
alacağım	al+Verb+Pos+Fut+A1sg
sever	sev+Verb+Pos+Aor+A3sg
istemiyor	iste+Verb+Neg+Prog1+A3sg
girmedi	gir+Verb+Neg+Past+A3sg
düşünmezler	düşün+Verb+Neg+Aor+A3pl
gidecekler	git+Verb+Pos+Fut+A3pl
bilir	bil+Verb+Pos+Aor+A3sg
kesti	kes+Verb+Pos+Past+A3sg
inanırım	inan+Verb+Pos+Aor+A1sg
inanıyor	inan+Verb+Pos+Prog1+A3sg
konuşuyoruz	konuş+Verb+Pos+Prog1+A1pl
kazandılar	kazan+Verb+Pos+Past+A3pl
verdik	ver+Verb+Pos+Past+A1pl
atarız	at+Verb+Pos+Aor+A1pl
kesmedik	kes+Verb+Neg+Past+A1pl
kullanacaklar	kullan+Verb+Pos+Fut+A3pl
demişim	de+Verb+Pos+Narr+A1sg
almam	al+Verb+Neg+Aor+A1sg
severim	sev+Verb+Pos+Aor+A1sg
çekmemiş	çek+Verb+Neg+Narr+A3sg
verecekler	ver+Verb+Pos+Fut+A3pl
çekiyoruz	çek+Verb+Pos+Prog1+A1pl
söylersiniz	söyle+Verb+Pos+Aor+A2pl
düşüneceğim	düşün+Verb+Pos+Fut+A1sg
kullanırsın	kullan+Verb+Pos+Aor+A2sg
giderler	git+Verb+Pos+Aor+A3pl
kurarsınız	kur+Verb+Pos+Aor+A2pl
başladılar	başla+Verb+Pos+Past+A3pl
yiyorlar	ye+Verb+Pos+Prog1+A3pl
çeker	çek+Verb+Pos+Aor+A3sg
atarsın	at+Verb+Pos+Aor+A2sg
tutuyorlar	tut+Verb+Pos+Prog1+A3pl
kullanmayacaksın	kullan+Verb+Neg+Fut+A2sg
olmuyor	ol+Verb+Neg+Prog1+A3sg
etmişler	et+Verb+Pos+Narr+A3pl
gönderirler	gönder+Verb+Pos+Aor+A3pl
olmuşsun	ol+Verb+Pos+Narr+A2sg
diyecekler	de+Verb+Pos+Fut+A3pl
girdiler	gir+Verb+Pos+Past+A3pl
gidiyorum	git+Verb+Pos+Prog1+A1sg
kaldılar	kal+Verb+Pos+Past+A3pl
dinliyorum	dinle+Verb+Pos+Prog1+A1sg
anlayacağız	anla+Verb+Pos+Fut+A1pl
vereceksin	ver+Verb+Pos+Fut+A2sg
söylemeyeceğim	söyle+Verb+Neg+Fut+A1sg
attılar	at+Verb+Pos+Past+A3pl
yazacak	yaz+Verb+Pos+Fut+A3sg
istemiyoruz	iste+Verb+Neg+Prog1+A1pl
yapmıyor	yap+Verb+Neg+Prog1+A3sg
duydu	duy+Verb+Pos+Past+A3sg
yaşamadım	yaşa+Verb+Neg+Past+A1sg
durdum	dur+Verb+Pos+Past+A1sg
demedim	de+Verb+Neg+Past+A1sg
çıkmıyor	çık+Verb+Neg+Prog1+A3sg
girmedik	gir+Verb+Neg+Past+A1pl
göreceksiniz	gör+Verb+Pos+Fut+A2pl
bırakırım	bırak+Verb+Pos+Aor+A1sg
vermeyeceğim	ver+Verb+Neg+Fut+A1sg
duymadım	duy+Verb+Neg+Past+A1sg
çalışacaksın	çalış+Verb+Pos+Fut+A2sg
açmışlar	aç+Verb+Pos+Narr+A3pl
duyacak	duy+Verb+Pos+Fut+A3sg
çıkmadım	çık+Verb+Neg+Past+A1sg
kesiyorum	kes+Verb+Pos+Prog1+A1sg
bakacağım	bak+Verb+Pos+Fut+A1sg
diyeceğiz	de+Verb+Pos+Fut+A1pl
olmazsın	ol+Verb+Neg+Aor+A2sg
gönderdi	gönder+Verb+Pos+Past+A3sg
gidiyorsun	git+Verb+Pos+Prog1+A2sg
söylediniz	söyle+Verb+Pos+Past+A2pl
döndü	dön+Verb+Pos+Past+A3sg
anladın	anla+Verb+Pos+Past+A2sg
gördünüz	gör+Verb+Pos+Past+A2pl
almamış	al+Verb+Neg+Narr+A3sg
baktık	bak+Verb+Pos+Past+A1pl
atmam	at+Verb+Neg+Aor+A1sg
çalışıyorsunuz	çalış+Verb+Pos+Prog1+A2pl
geldim	gel+Verb+Pos+Past+A1sg
verir	ver+Verb+Pos+Aor+A3sg
duyuyorum	duy+Verb+Pos+Prog1+A1sg
olursun	ol+Verb+Pos+Aor+A2sg
diyorum	de+Verb+Pos+Prog1+A1sg
dururlar	dur+Verb+Pos+Aor+A3pl
vermişim	ver+Verb+Pos+Narr+A1sg
çekiyorsunuz	çek+Verb+Pos+Prog1+A2pl
bakıyoruz	bak+Verb+Pos+Prog1+A1pl
bulacağız	bul+Verb+Pos+Fut+A1pl
çalışmıyor	çalış+Verb+Neg+Prog1+A3sg
dedi	de+Verb+Pos+Past+A3sg
yaşarsınız	yaşa+Verb+Pos+Aor+A2pl
konuşuyorsunuz	konuş+Verb+Pos+Prog1+A2pl
kalıyorlar	kal+Verb+Pos+Prog1+A3pl
veriyor	ver+Verb+Pos+Prog1+A3sg
çıktık	çık+Verb+Pos+Past+A1pl
kurmazlar	kur+Verb+Neg+Aor+A3pl
çalışırsınız	çalış+Verb+Pos+Aor+A2pl
söylerler	söyle+Verb+Pos+Aor+A3pl
etmedik	et+Verb+Neg+Past+A1pl
ediyor	et+Verb+Pos+Prog1+A3sg
olmuyorlar	ol+Verb+Neg+Prog1+A3pl
yaşıyorum	yaşa+Verb+Pos+Prog1+A1sg
bilecekler	bil+Verb+Pos+Fut+A3pl
anlamıyorsun	anla+Verb+Neg+Prog1+A2sg
kesmeyecek	kes+Verb+Neg+Fut+A3sg
görüyorum	gör+Verb+Pos+Prog1+A1sg
başlıyorsunuz	başla+Verb+Pos+Prog1+A2pl
ederiz	et+Verb+Pos+Aor+A1pl
başlamadı	başla+Verb+Neg+Past+A3sg
tuttu	tut+Verb+Pos+Past+A3sg
gideceğiz	git+Verb+Pos+Fut+A1pl
bilmiyorsun	bil+Verb+Neg+Prog1+A2sg
bilmedi	bil+Verb+Neg+Past+A3sg
söylüyor	söyle+Verb+Pos+Prog1+A3sg
konuşmayacağım	konuş+Verb+Neg+Fut+A1sg
getiriyorlar	getir+Verb+Pos+Prog1+A3pl
buldunuz	bul+Verb+Pos+Past+A2pl
anlarım	anla+Verb+Pos+Aor+A1sg
döndük	dön+Verb+Pos+Past+A1pl
yapmadın	yap+Verb+Neg+Past+A2sg
kaybetmeyecek	kaybet+Verb+Neg+Fut+A3sg
aldı	al+Verb+Pos+Past+A3sg
dönecekler	dön+Verb+Pos+Fut+A3pl
düşmüyor	düş+Verb+Neg+Prog1+A3sg
görmüyorlar	gör+Verb+Neg+Prog1+A3pl
anlamadım	anla+Verb+Neg+Past+A1sg
severler	sev+Verb+Pos+Aor+A3pl
vermezsin	ver+Verb+Neg+Aor+A2sg
bilirsin	bil+Verb+Pos+Aor+A2sg
düşünürler	düşün+Verb+Pos+Aor+A3pl
çıkıyorsunuz	çık+Verb+Pos+Prog1+A2pl
yapacağım	yap+Verb+Pos+Fut+A1sg
anlamam	anla+Verb+Neg+Aor+A1sg
istemedi	iste+Verb+Neg+Past+A3sg
durmadı	dur+Verb+Neg+Past+A3sg
bulmadım	bul+Verb+Neg+Past+A1sg
yemedim	ye+Verb+Neg+Past+A1sg
yaptılar	yap+Verb+Pos+Past+A3pl
alacaklar	al+Verb+Pos+Fut+A3pl
bekliyorum	bekle+Verb+Pos+Prog1+A1sg
göstermedi	göster+Verb+Neg+Past+A3sg
yapmamış	yap+Verb+Neg+Narr+A3sg
isterim	iste+Verb+Pos+Aor+A1sg
tanıyacağız	tanı+Verb+Pos+Fut+A1pl
ediyorsun	et+Verb+Pos+Prog1+A2sg
attık	at+Verb+Pos+Past+A1pl
düşünmüşüm	düşün+Verb+Pos+Narr+A1sg
bilmezsin	bil+Verb+Neg+Aor+A2sg
gidiyorlar	git+Verb+Pos+Prog1+A3pl
olmadı	ol+Verb+Neg+Past+A3sg
çekeceğiz	çek+Verb+Pos+Fut+A1pl
alıyorum	al+Verb+Pos+Prog1+A1sg
kesmiş	kes+Verb+Pos+Narr+A3sg
bekledi	bekle+Verb+Pos+Past+A3sg
anlamadı	anla+Verb+Neg+Past+A3sg
anlamaz	anla+Verb+Neg+Aor+A3sg
yazıyorsunuz	yaz+Verb+Pos+Prog1+A2pl
baktılar	bak+Verb+Pos+Past+A3pl
inanmıyor	inan+Verb+Neg+Prog1+A3sg
dönerim	dön+Verb+Pos+Aor+A1sg
gösteriyorum	göster+Verb+Pos+Prog1+A1sg
düştüm	düş+Verb+Pos+Past+A1sg
çıktın	çık+Verb+Pos+Past+A2sg
beklerim	bekle+Verb+Pos+Aor+A1sg
bildim	bil+Verb+Pos+Past+A1sg
girer	gir+Verb+Pos+Aor+A3sg
açmadık	aç+Verb+Neg+Past+A1pl
çıkar	çık+Verb+Pos+Aor+A3sg
düşüyor	düş+Verb+Pos+Prog1+A3sg
olacaklar	ol+Verb+Pos+Fut+A3pl
kalıyorsun	kal+Verb+Pos+Prog1+A2sg
vereceğiz	ver+Verb+Pos+Fut+A1pl
istiyorum	iste+Verb+Pos+Prog1+A1sg
yazacağım	yaz+Verb+Pos+Fut+A1sg
ödersin	öde+Verb+Pos+Aor+A2sg
yaparsın	yap+Verb+Pos+Aor+A2sg
ediyorlar	et+Verb+Pos+Prog1+A3pl
kullanmış	kullan+Verb+Pos+Narr+A3sg
bırakıyorlar	bırak+Verb+Pos+Prog1+A3pl
istedim	iste+Verb+Pos+Past+A1sg
gelirim	gel+Verb+Pos+Aor+A1sg
yersin	ye+Verb+Pos+Aor+A2sg
düşündünüz	düşün+Verb+Pos+Past+A2pl
konuşmadım	konuş+Verb+Neg+Past+A1sg
kalmış	kal+Verb+Pos+Narr+A3sg
konuşmuş	konuş+Verb+Pos+Narr+A3sg
ödedim	öde+Verb+Pos+Past+A1sg
inanıyoruz	inan+Verb+Pos+Prog1+A1pl
gördük	gör+Verb+Pos+Past+A1pl
çalışırlar	çalış+Verb+Pos+Aor+A3pl
koymadı	koy+Verb+Neg+Past+A3sg
çıkmıyorsun	çık+Verb+Neg+Prog1+A2sg
bekledim	bekle+Verb+Pos+Past+A1sg
okuyorlar	oku+Verb+Pos+Prog1+A3pl
tanımaz	tanı+Verb+Neg+Aor+A3sg
açmıyor	aç+Verb+Neg+Prog1+A3sg
çıkmadı	çık+Verb+Neg+Past+A3sg
bekliyoruz	bekle+Verb+Pos+Prog1+A1pl
yazmıyorlar	yaz+Verb+Neg+Prog1+A3pl
görür	gör+Verb+Pos+Aor+A3sg
çekmedik	çek+Verb+Neg+Past+A1pl
diyoruz	de+Verb+Pos+Prog1+A1pl
yaşadı	yaşa+Verb+Pos+Past+A3sg
geleceksin	gel+Verb+Pos+Fut+A2sg
tanımadı	tanı+Verb+Neg+Past+A3sg
kullanmıyorlar	kullan+Verb+Neg+Prog1+A3pl
tanımadılar	tanı+Verb+Neg+Past+A3pl
kalacağım	kal+Verb+Pos+Fut+A1sg
kullanır	kullan+Verb+Pos+Aor+A3sg
getireceğim	getir+Verb+Pos+Fut+A1sg
yaptık	yap+Verb+Pos+Past+A1pl
söylemedim	söyle+Verb+Neg+Past+A1sg
alıyorsun	al+Verb+Pos+Prog1+A2sg
açar	aç+Verb+Pos+Aor+A3sg
gidersiniz	git+Verb+Pos+Aor+A2pl
yaşamam	yaşa+Verb+Neg+Aor+A1sg
olmuşlar	ol+Verb+Pos+Narr+A3pl
vermemiş	ver+Verb+Neg+Narr+A3sg
anlamışsınız	anla+Verb+Pos+Narr+A2pl
çalıştınız	çalış+Verb+Pos+Past+A2pl
konuşurlar	konuş+Verb+Pos+Aor+A3pl
durursunuz	dur+Verb+Pos+Aor+A2pl
açtım	aç+Verb+Pos+Past+A1sg
giriyorlar	gir+Verb+Pos+Prog1+A3pl
çekiyor	çek+Verb+Pos+Prog1+A3sg
gitmişim	git+Verb+Pos+Narr+A1sg
kaldı	kal+Verb+Pos+Past+A3sg
gösterecekler	göster+Verb+Pos+Fut+A3pl
tuttunuz	tut+Verb+Pos+Past+A2pl
tuttum	tut+Verb+Pos+Past+A1sg
istemişler	iste+Verb+Pos+Narr+A3pl
görmedik	gör+Verb+Neg+Past+A1pl
görmedim	gör+Verb+Neg+Past+A1sg
istiyoruz	iste+Verb+Pos+Prog1+A1pl
yapmadınız	yap+Verb+Neg+Past+A2pl
söyleyeceksin	söyle+Verb+Pos+Fut+A2sg
çekecek	çek+Verb+Pos+Fut+A3sg
sevmiyor	sev+Verb+Neg+Prog1+A3sg
getirdi	getir+Verb+Pos+Past+A3sg
kalmazsınız	kal+Verb+Neg+Aor+A2pl
vermezler	ver+Verb+Neg+Aor+A3pl
giderim	git+Verb+Pos+Aor+A1sg
çıkıyorum	çık+Verb+Pos+Prog1+A1sg
olacaksın	ol+Verb+Pos+Fut+A2sg
söylemedi	söyle+Verb+Neg+Past+A3sg
ettiniz	et+Verb+Pos+Past+A2pl
duymam	duy+Verb+Neg+Aor+A1sg
kaybetmiş	kaybet+Verb+Pos+Narr+A3sg
anladılar	anla+Verb+Pos+Past+A3pl
bilmem	bil+Verb+Neg+Aor+A1sg
yapmaz	yap+Verb+Neg+Aor+A3sg
düşünüyorsun	düşün+Verb+Pos+Prog1+A2sg
düşünmüş	düşün+Verb+Pos+Narr+A3sg
kaybedersin	kaybet+Verb+Pos+Aor+A2sg
bırakıyorum	bırak+Verb+Pos+Prog1+A1sg
görmedin	gör+Verb+Neg+Past+A2sg
bulmadı	bul+Verb+Neg+Past+A3sg
olursunuz	ol+Verb+Pos+Aor+A2pl
vermeyeceksin	ver+Verb+Neg+Fut+A2sg
anlarsınız	anla+Verb+Pos+Aor+A2pl
bakmadım	bak+Verb+Neg+Past+A1sg
getiriyorsun	getir+Verb+Pos+Prog1+A2sg
istemiyorsun	iste+Verb+Neg+Prog1+A2sg
veririm	ver+Verb+Pos+Aor+A1sg
duracağım	dur+Verb+Pos+Fut+A1sg
etmeyeceğiz	et+Verb+Neg+Fut+A1pl
geldiler	gel+Verb+Pos+Past+A3pl
alıyorsunuz	al+Verb+Pos+Prog1+A2pl
duymaz	duy+Verb+Neg+Aor+A3sg
atmıyor	at+Verb+Neg+Prog1+A3sg
duyuyorsunuz	duy+Verb+Pos+Prog1+A2pl
edersiniz	et+Verb+Pos+Aor+A2pl
bakacaklar	bak+Verb+Pos+Fut+A3pl
atmış	at+Verb+Pos+Narr+A3sg
gelmeyecek	gel+Verb+Neg+Fut+A3sg
düşüneceksiniz	düşün+Verb+Pos+Fut+A2pl
yemiyorsunuz	ye+Verb+Neg+Prog1+A2pl
kazandı	kazan+Verb+Pos+Past+A3sg
baktı	bak+Verb+Pos+Past+A3sg
seveceğim	sev+Verb+Pos+Fut+A1sg
dinlemediler	dinle+Verb+Neg+Past+A3pl
istersiniz	iste+Verb+Pos+Aor+A2pl
dinlemişsiniz	dinle+Verb+Pos+Narr+A2pl
istiyorsunuz	iste+Verb+Pos+Prog1+A2pl
dönmeyeceğim	dön+Verb+Neg+Fut+A1sg
alır	al+Verb+Pos+Aor+A3sg
tutmadılar	tut+Verb+Neg+Past+A3pl
koymuyorlar	koy+Verb+Neg+Prog1+A3pl
yaşamayacaksınız	yaşa+Verb+Neg+Fut+A2pl
tutuyor	tut+Verb+Pos+Prog1+A3sg
tanımıyorsunuz	tanı+Verb+Neg+Prog1+A2pl
kaybetmedi	kaybet+Verb+Neg+Past+A3sg
görürüz	gör+Verb+Pos+Aor+A1pl
aldın	al+Verb+Pos+Past+A2sg
atarım	at+Verb+Pos+Aor+A1sg
koyacağız	koy+Verb+Pos+Fut+A1pl
kazanıyorlar	kazan+Verb+Pos+Prog1+A3pl
göndermiş	gönder+Verb+Pos+Narr+A3sg
çıktı	çık+Verb+Pos+Past+A3sg
düşüyorlar	düş+Verb+Pos+Prog1+A3pl
öderim	öde+Verb+Pos+Aor+A1sg
dönmedi	dön+Verb+Neg+Past+A3sg
yaparsınız	yap+Verb+Pos+Aor+A2pl
dedin	de+Verb+Pos+Past+A2sg
oluruz	ol+Verb+Pos+Aor+A1pl
okumuşum	oku+Verb+Pos+Narr+A1sg
duyuyor	duy+Verb+Pos+Prog1+A3sg
bilmiyorum	bil+Verb+Neg+Prog1+A1sg
etmedi	et+Verb+Neg+Past+A3sg
çıkacaklar	çık+Verb+Pos+Fut+A3pl
getirir	getir+Verb+Pos+Aor+A3sg
söylemediniz	söyle+Verb+Neg+Past+A2pl
kazanıyorsunuz	kazan+Verb+Pos+Prog1+A2pl
görmüyor	gör+Verb+Neg+Prog1+A3sg
bulmuyor	bul+Verb+Neg+Prog1+A3sg
yapmayacak	yap+Verb+Neg+Fut+A3sg
istemem	iste+Verb+Neg+Aor+A1sg
diyorsun	de+Verb+Pos+Prog1+A2sg
dönersiniz	dön+Verb+Pos+Aor+A2pl
çalışacağım	çalış+Verb+Pos+Fut+A1sg
dinlemedi	dinle+Verb+Neg+Past+A3sg
bilecek	bil+Verb+Pos+Fut+A3sg
gönderiyor	gönder+Verb+Pos+Prog1+A3sg
verirsin	ver+Verb+Pos+Aor+A2sg
konuşmuyor	konuş+Verb+Neg+Prog1+A3sg
inanmazsınız	inan+Verb+Neg+Aor+A2pl
söylediler	söyle+Verb+Pos+Past+A3pl
vermediler	ver+Verb+Neg+Past+A3pl
kullandık	kullan+Verb+Pos+Past+A1pl
bilirim	bil+Verb+Pos+Aor+A1sg
isteriz	iste+Verb+Pos+Aor+A1pl
olur	ol+Verb+Pos+Aor+A3sg
bakar	bak+Verb+Pos+Aor+A3sg
koyuyorum	koy+Verb+Pos+Prog1+A1sg
tutuyorum	tut+Verb+Pos+Prog1+A1sg
konuşuyor	konuş+Verb+Pos+Prog1+A3sg
getireceksiniz	getir+Verb+Pos+Fut+A2pl
verdi	ver+Verb+Pos+Past+A3sg
veriyorlar	ver+Verb+Pos+Prog1+A3pl
kazandım	kazan+Verb+Pos+Past+A1sg
inanmaz	inan+Verb+Neg+Aor+A3sg
yiyorum	ye+Verb+Pos+Prog1+A1sg
etmiyor	et+Verb+Neg+Prog1+A3sg
verdin	ver+Verb+Pos+Past+A2sg
bırakıyor	bırak+Verb+Pos+Prog1+A3sg
koyarsınız	koy+Verb+Pos+Aor+A2pl
aldılar	al+Verb+Pos+Past+A3pl
etmez	et+Verb+Neg+Aor+A3sg
oluyor	ol+Verb+Pos+Prog1+A3sg
söylüyorsunuz	söyle+Verb+Pos+Prog1+A2pl
inanmadın	inan+Verb+Neg+Past+A2sg
durduk	dur+Verb+Pos+Past+A1pl
düşünmez	düşün+Verb+Neg+Aor+A3sg
kaybettim	kaybet+Verb+Pos+Past+A1sg
yazmışsınız	yaz+Verb+Pos+Narr+A2pl
almayacağım	al+Verb+Neg+Fut+A1sg
bakarsınız	bak+Verb+Pos+Aor+A2pl
başlayacağım	başla+Verb+Pos+Fut+A1sg
olmuşsunuz	ol+Verb+Pos+Narr+A2pl
gösteriyor	göster+Verb+Pos+Prog1+A3sg
açmış	aç+Verb+Pos+Narr+A3sg
kalacaklar	kal+Verb+Pos+Fut+A3pl
inanmış	inan+Verb+Pos+Narr+A3sg
girmiyorum	gir+Verb+Neg+Prog1+A1sg
edeceksin	et+Verb+Pos+Fut+A2sg
veriyorum	ver+Verb+Pos+Prog1+A1sg
kullandılar	kullan+Verb+Pos+Past+A3pl
yaşadınız	yaşa+Verb+Pos+Past+A2pl
durmam	dur+Verb+Neg+Aor+A1sg
görmüş	gör+Verb+Pos+Narr+A3sg
kestik	kes+Verb+Pos+Past+A1pl
beklersiniz	bekle+Verb+Pos+Aor+A2pl
kalmam	kal+Verb+Neg+Aor+A1sg
gönderirsiniz	gönder+Verb+Pos+Aor+A2pl
etmemişler	et+Verb+Neg+Narr+A3pl
isteyeceksiniz	iste+Verb+Pos+Fut+A2pl
gitmezler	git+Verb+Neg+Aor+A3pl
bulurlar	bul+Verb+Pos+Aor+A3pl
almışlar	al+Verb+Pos+Narr+A3pl
gideriz	git+Verb+Pos+Aor+A1pl
sevmez	sev+Verb+Neg+Aor+A3sg
konuşmuşlar	konuş+Verb+Pos+Narr+A3pl
istedik	iste+Verb+Pos+Past+A1pl
istedi	iste+Verb+Pos+Past+A3sg
almışsınız	al+Verb+Pos+Narr+A2pl
bırakmazlar	bırak+Verb+Neg+Aor+A3pl
verdiniz	ver+Verb+Pos+Past+A2pl
kullanmadım	kullan+Verb+Neg+Past+A1sg
çekiyorlar	çek+Verb+Pos+Prog1+A3pl
gördüm	gör+Verb+Pos+Past+A1sg
yapıyoruz	yap+Verb+Pos+Prog1+A1pl
bulursunuz	bul+Verb+Pos+Aor+A2pl
yaşıyor	yaşa+Verb+Pos+Prog1+A3sg
kestiniz	kes+Verb+Pos+Past+A2pl
istediniz	iste+Verb+Pos+Past+A2pl
çalışırım	çalış+Verb+Pos+Aor+A1sg
seveceksin	sev+Verb+Pos+Fut+A2sg
ödememişler	öde+Verb+Neg+Narr+A3pl
tutmuş	tut+Verb+Pos+Narr+A3sg
