hesabına	hesap+Noun+A3sg+P3sg+Dat
miktara	miktar+Noun+A3sg+Pnon+Dat
paraya	para+Noun+A3sg+Pnon+Dat
miktarda	miktar+Noun+A3sg+Pnon+Loc
kararı	karar+Noun+A3sg+Pnon+Acc
satmasına	sat+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
kotasını	kota+Noun+A3sg+P3sg+Acc
kotanın	kota+Noun+A3sg+Pnon+Gen
arttırılmasını	art+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
talebini	talep+Noun+A3sg+P3sg+Acc
nedenle	neden+Noun+A3sg+Pnon+Ins
ayı	ay+Noun+A3sg+P3sg+Nom
azalttığını	azal+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
piyasalara	piyasa+Noun+A3pl+Pnon+Dat
beklenenden	bekle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Abl
akacağı	ak+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
fiyatları	fiyat+Noun+A3pl+Pnon+Acc
sürece	süre+Noun+A3sg+Pnon+Equ
satmak	sat+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
duyurusunda	duyuru+Noun+A3sg+P3sg+Loc
açıklamalarda	açıkla+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
hakarette	hakaret+Noun+A3sg+Pnon+Loc
bulunduğunu	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
bulunmadığını	bulun+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
olmasından	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
olduğunu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
yandan	yan+Noun+A3sg+Pnon+Abl
verilmediğini	ver+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
uyguladıkları	uygula+Verb+Pos^DB+Noun+PastPart+A3pl+P3pl+Nom
üniversitelerinin	üniversite+Noun+A3pl+P3pl+Gen
rektörlerini	rektör+Noun+A3pl+P3pl+Acc
üyelerinin	üye+Noun+A3pl+P3sg+Gen
üniversiteler	üniversite+Noun+A3pl+Pnon+Nom
başörtüsü	başörtü+Noun+A3sg+P3sg+Nom
yasağının	yasak+Noun+A3sg+P3sg+Gen
olmadığını	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
uygulandığı	uygula+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
üniversitelerin	üniversite+Noun+A3pl+Pnon+Gen
olmalarına	ol+Verb+Pos^DB+Noun+Inf2+A3pl+P3pl+Dat
alınmaları	al+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3pl+P3pl+Nom
üniversitelerde	üniversite+Noun+A3pl+Pnon+Loc
türbanı	türban+Noun+A3sg+Pnon+Acc
girişimlerine	girişim+Noun+A3pl+P3sg+Dat
üniversitenin	üniversite+Noun+A3sg+Pnon+Gen
açıklamada	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Loc
girişimlerin	girişim+Noun+A3pl+Pnon+Gen
haklarının	hak+Noun+A3pl+P3sg+Gen
olduğuna	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Dat
insanları	insan+Noun+A3pl+P3pl+Nom
olduğu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
vermeyeceğini	ver+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
etmesi	et+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
kıza	kız+Noun+A3sg+Pnon+Dat
sahneden	sahne+Noun+A3sg+Pnon+Abl
kardeşiyle	kardeş+Noun+A3sg+P3sg+Ins
arasına	ara+Noun+A3sg+P3sg+Dat
kızın	kız+Noun+A3sg+Pnon+Gen
kardeşini	kardeş+Noun+A3sg+P3sg+Acc
girdiğinde	gir+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
olmadığından	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
üzerinde	üzer+Noun+A3sg+P2sg+Loc
omnibüslerin	omnibüs+Noun+A3pl+Pnon+Gen
başını	baş+Noun+A3sg+P3sg+Acc
elleri	el+Noun+A3pl+Pnon+Acc
şeyleri	şey+Noun+A3pl+Pnon+Acc
hakkına	hak+Noun+A3sg+P3sg+Dat
arasında	ara+Noun+A3sg+P3sg+Loc
gözleri	göz+Noun+A3pl+P3pl+Nom
odanın	oda+Noun+A3sg+Pnon+Gen
hakkım	hak+Noun+A3sg+P1sg+Nom
günler	gün+Noun+A3pl+Pnon+Nom
haftalar	hafta+Noun+A3pl+Pnon+Nom
aylar	ay+Noun+A3pl+Pnon+Nom
korkusunu	korku+Noun+A3sg+P3sg+Acc
babam	baba+Noun+A3sg+P1sg+Nom
konuşma	konuş+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
oğlum	oğul+Noun+A3sg+P1sg+Nom
verme	ver+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
içine	iç+Noun+A3sg+P3sg+Dat
gözlerini	göz+Noun+A3pl+P3sg+Acc
annesi	anne+Noun+A3sg+P3sg+Nom
sorularımla	soru+Noun+A3pl+P1sg+Ins
elimde	el+Noun+A3sg+P1sg+Loc
ilgilenmen	ilgilen+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Nom
kardeşime	kardeş+Noun+A3sg+P1sg+Dat
mübalağaya	mübalağa+Noun+A3sg+Pnon+Dat
kadına	kadın+Noun+A3sg+Pnon+Dat
hayatı	hayat+Noun+A3sg+Pnon+Acc
aylardan	ay+Noun+A3pl+Pnon+Abl
oğlunu	oğul+Noun+A3sg+P3sg+Acc
sahnenin	sahne+Noun+A3sg+Pnon+Gen
etmesinden	et+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
aşağıya	aşağı+Noun+A3sg+Pnon+Dat
edilmesi	et+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
olduğunun	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Gen
ilgilenmek	ilgilen+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
tehditten	tehdit+Noun+A3sg+Pnon+Abl
tehdide	tehdit+Noun+A3sg+Pnon+Dat
odada	oda+Noun+A3sg+Pnon+Loc
kapıda	kapı+Noun+A3sg+Pnon+Loc
haberler	haber+Noun+A3pl+Pnon+Nom
görünürler	görün+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3pl+Pnon+Nom
yapmak	yap+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
dostum	dost+Noun+A3sg+P1sg+Nom
insanın	insan+Noun+A3sg+Pnon+Gen
evlendiğini	evlen+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
kızla	kız+Noun+A3sg+Pnon+Ins
evlenmesini	evlen+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
değerlendirmelerde	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3pl+Pnon+Loc
insanların	insan+Noun+A3pl+Pnon+Gen
görünüşlerini	görün+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Acc
görünüş	görün+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
kızı	kız+Noun+A3sg+Pnon+Acc
andakinden	an+Noun+A3sg+Pnon+Loc^DB+Adj+Rel^DB+Noun+Zero+A3sg+Pnon+Abl
zamanım	zaman+Noun+A3sg+P1sg+Nom
dudaklarını	dudak+Noun+A3pl+P3pl+Acc
işi	iş+Noun+A3sg+Pnon+Acc
çılgınlığı	çılgın+Adj^DB+Noun+Ness+A3sg+P3sg+Nom
onaylamamam	onayla+Verb+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
hayata	hayat+Noun+A3sg+Pnon+Dat
dünyaya	dünya+Noun+A3sg+Pnon+Dat
aldırış	al+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
yaptıklarına	yap+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Dat
şahsiyetin	şahsiyet+Noun+A3sg+Pnon+Gen
biçimi	biçim+Noun+A3sg+P3sg+Nom
evlenme	evlen+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
olmadığımı	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
kişiyi	kişi+Noun+A3sg+Pnon+Acc
insanlar	insan+Noun+A3pl+Pnon+Nom
kişiler	kişi+Noun+A3pl+Pnon+Nom
değeri	değer+Noun+A3sg+Pnon+Acc
öne	ön+Noun+A3sg+Pnon+Dat
şeyler	şey+Noun+A3pl+Pnon+Nom
tecrübeden	tecrübe+Noun+A3sg+Pnon+Abl
söylediklerinin	söyle+Verb+Pos^DB+Noun+PastPart+A3pl+P3sg+Gen
nedeni	neden+Noun+A3sg+P3sg+Nom
oldukları	ol+Verb+Pos^DB+Noun+PastPart+A3pl+P3pl+Nom
olduğumuzu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P1pl+Acc
çekebilmek	çek+Verb+Pos^DB+Verb+Able^DB+Noun+Inf1+A3sg+Pnon+Nom
aklımdan	akıl+Noun+A3sg+P1sg+Abl
hayatlar	hayat+Noun+A3pl+Pnon+Nom
vermen	ver+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Nom
kadınlar	kadın+Noun+A3pl+Pnon+Nom
bağları	bağ+Noun+A3pl+P3sg+Nom
olmanın	ol+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Gen
söyleyebileceklerimden	söyle+Verb+Pos^DB+Verb+Able^DB+Noun+FutPart+A3pl+P1sg+Abl
üzerinden	üzer+Noun+A3sg+P3sg+Abl
yüzüyle	yüz+Num+Card^DB+Noun+Zero+A3sg+P3sg+Ins
olmanı	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Acc
nişanlandığından	nişanla+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Abl
etmemeni	et+Verb+Neg^DB+Noun+Inf2+A3sg+P2sg+Acc
yemeğe	yemek+Noun+A3sg+Pnon+Dat
gelmeni	gel+Verb+Pos^DB+Noun+Inf2+A3sg+P2sg+Acc
delikanlının	delikanlı+Noun+A3sg+Pnon+Gen
yerlerine	yer+Noun+A3pl+P3pl+Dat
bitenin	bit+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Gen
tanıttığın	tanı+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
kıyafetleri	kıyafet+Noun+A3pl+P3pl+Nom
başında	baş+Noun+A3sg+P3sg+Loc
gülü	gül+Noun+A3sg+P3sg+Nom
yüzünün	yüz+Noun+A3sg+P3sg+Gen
etrafına	etraf+Noun+A3sg+P3sg+Dat
olduğumu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
görmediği	gör+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
sona	son+Noun+A3sg+Pnon+Dat
bakış	bak+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
hissettiğimi	hisset+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
hayatım	hayat+Noun+A3sg+P1sg+Nom
yıldan	yıl+Noun+A3sg+Pnon+Abl
istediğim	iste+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Nom
sevgilimi	sevgili+Noun+A3sg+P1sg+Acc
piyeslerinde	piyes+Noun+A3pl+P3sg+Loc
dudaklar	dudak+Noun+A3pl+Pnon+Nom
sırlarını	sır+Noun+A3pl+P3sg+Acc
ağzını	ağız+Noun+A3sg+P3sg+Acc
ormanında	orman+Noun+A3sg+P3sg+Loc
bağda	bağ+Noun+A3sg+Pnon+Loc
evliliği	evlilik+Noun+A3sg+P3sg+Nom
sevdiğimi	sev+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
karım	kar+Noun+A3sg+P1sg+Nom
olmaya	ol+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
olmamak	ol+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
gözümde	göz+Noun+A3sg+P1sg+Loc
durumda	durum+Noun+A3sg+Pnon+Loc
evliliğe	evlilik+Noun+A3sg+Pnon+Dat
söylemeyi	söyle+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc
koluna	kol+Noun+A3sg+P3sg+Dat
erkeklere	erkek+Noun+A3pl+Pnon+Dat
başkaları	başka+Adj^DB+Noun+Zero+A3pl+P3sg+Nom
önünde	ön+Noun+A3sg+P3sg+Loc
karşısına	karşı+Noun+A3sg+P3sg+Dat
cevabını	cevap+Noun+A3sg+P3sg+Acc
sebebe	sebep+Noun+A3sg+Pnon+Dat
soruyu	soru+Noun+A3sg+Pnon+Acc
sınıfın	sınıf+Noun+A3sg+Pnon+Gen
hayatında	hayat+Noun+A3sg+P3sg+Loc
kızmam	kız+Verb+Pos^DB+Noun+Inf2+A3sg+P1sg+Nom
gördüğünde	gör+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
altından	alt+Noun+A3sg+P3sg+Abl
yerleştirmek	yerleş+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
bakmak	bak+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
yüzden	yüz+Noun+A3sg+Pnon+Abl
güveni	güven+Noun+A3sg+Pnon+Acc
olduğumda	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Loc
şeye	şey+Noun+A3sg+Pnon+Dat
tanıdığın	tanı+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Nom
olmaktan	ol+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Abl
ellerinin	el+Noun+A3pl+P3sg+Gen
dokunuşu	doku+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf3+A3sg+P3sg+Nom
teorilerini	teori+Noun+A3pl+P3sg+Acc
aşka	aşk+Noun+A3sg+Pnon+Dat
mutluluğa	mut+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Ness+A3sg+Pnon+Dat
teorilerin	teori+Noun+A3pl+Pnon+Gen
tonuyla	ton+Noun+A3sg+P3sg+Ins
teorilerimin	teori+Noun+A3pl+P1sg+Gen
tabiata	tabiat+Noun+A3sg+Pnon+Dat
tabiatın	tabiat+Noun+A3sg+Pnon+Gen
olduğumuzda	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P1pl+Loc
olduğumuz	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P1pl+Nom
ortasında	orta+Noun+A3sg+P3sg+Loc
parmaklarıyla	parmak+Noun+A3sg+P3pl+Ins
başkalarıyla	başka+Postp+PCAbl^DB+Noun+Zero+A3pl+P3pl+Ins
hayatlarına	hayat+Noun+A3pl+P3sg+Dat
komşuları	komşu+Noun+A3pl+P3sg+Nom
etmeyi	et+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc
ölçülerini	ölçü+Noun+A3pl+P3sg+Acc
ahlaksızlığın	ahlak+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Noun+Ness+A3sg+Pnon+Gen
fikrini	fikir+Noun+A3sg+P3sg+Acc
şeyle	şey+Noun+A3sg+Pnon+Ins
fakirlerin	fakir+Noun+A3pl+Pnon+Gen
almaya	al+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
günahların	günah+Noun+A3pl+Pnon+Gen
bedelini	bedel+Noun+A3sg+P3sg+Acc
ödemeye	öde+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
parayla	para+Noun+A3sg+Pnon+Ins
farkına	fark+Noun+A3sg+P3sg+Dat
omuzlarını	omuz+Noun+A3pl+P3sg+Acc
ortaçağa	ortaçağ+Noun+A3sg+Pnon+Dat
hayatta	hayat+Noun+A3sg+Pnon+Loc
hazdan	haz+Noun+A3sg+Pnon+Abl
demek	de+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
olunmaktan	ol+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Abl
insanlığın	insan+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Gen
yapmamız	yap+Verb+Pos^DB+Noun+Inf2+A3sg+P1pl+Nom
istedikleri	iste+Verb+Pos^DB+Noun+PastPart+A3pl+P3pl+Nom
aşkı	aşk+Noun+A3sg+P3sg+Nom
istemek	iste+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
sahipler	sahip+Noun+A3pl+Pnon+Nom
sözünü	söz+Noun+A3sg+P3sg+Acc
hayatlarının	hayat+Noun+A3pl+P3pl+Gen
isterler	iste+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3pl+Pnon+Nom
dostlarım	dost+Noun+A3pl+P1sg+Nom
şampanyalarından	şampanya+Noun+A3pl+P3sg+Abl
sigarayı	sigara+Noun+A3sg+Pnon+Acc
insanı	insan+Noun+A3sg+Pnon+Acc
edemeyeceğin	et+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P2sg+Nom
günahları	günah+Noun+A3pl+P3sg+Nom
garsonun	garson+Noun+A3sg+Pnon+Gen
masaya	masa+Noun+A3sg+Pnon+Dat
sigarasını	sigara+Noun+A3sg+P3sg+Acc
sahneye	sahne+Noun+A3sg+Pnon+Dat
bilmediğiniz	bil+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Nom
bakışla	bak+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Ins
delikanlıya	delikanlı+Noun+A3sg+Pnon+Dat
arabasında	araba+Noun+A3sg+P3sg+Loc
arabasıyla	araba+Noun+A3sg+P3sg+Ins
ceketlerini	ceket+Noun+A3pl+P3sg+Acc
kahvelerini	kahve+Noun+A3pl+P3sg+Acc
şeyden	şey+Noun+A3sg+Pnon+Abl
görünmesine	görün+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
arabasının	araba+Noun+A3sg+P3sg+Gen
duygusu	duygu+Noun+A3sg+P3sg+Nom
olmayacağını	ol+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
gözünde	göz+Noun+A3sg+P3sg+Loc
vardığında	var+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
nedenlerle	neden+Noun+A3pl+Pnon+Ins
ağzı	ağız+Noun+A3sg+P3sg+Nom
kulaklarına	kulak+Noun+A3pl+P3sg+Dat
eskisinden	eski+Adj^DB+Noun+Zero+A3sg+P3sg+Abl
görmeye	gör+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
geldiği	gel+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
halde	hal+Noun+A3sg+Pnon+Loc
hareketleriyle	hareket+Noun+A3pl+P3sg+Ins
yüzünden	yüz+Num+Card^DB+Noun+Zero+A3sg+P3sg+Abl
adamla	adam+Noun+A3sg+Pnon+Ins
karşılaşmaktan	karşılaş+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Abl
duyduğunu	duy+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
yüzlerini	yüz+Noun+A3pl+P3pl+Acc
ışığı	ışık+Noun+A3sg+P3sg+Nom
yapraklarıyla	yaprak+Noun+A3pl+P3sg+Ins
yeleklerini	yelek+Noun+A3pl+P3sg+Acc
süresince	süre+Noun+A3sg+P3sg+Equ
yanlarında	yan+Noun+A3pl+P3pl+Loc
kızlarla	kız+Noun+A3pl+Pnon+Ins
portakalları	portakal+Noun+A3pl+P3sg+Nom
kadınların	kadın+Noun+A3pl+Pnon+Gen
sesi	ses+Noun+A3sg+P3sg+Nom
bulmak	bul+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
yanıtını	yanıt+Noun+A3sg+P3sg+Acc
şeyin	şey+Noun+A3sg+P2sg+Nom
ötesinde	öte+Noun+A3sg+P3sg+Loc
bulduğum	bul+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Nom
burası	bura+Noun+A3sg+P3sg+Nom
piyesine	piyes+Noun+A3sg+P3sg+Dat
gördüğünüz	gör+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Nom
gülerler	gül+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3pl+Pnon+Nom
etten	et+Noun+A3sg+Pnon+Abl
olduklarını	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Acc
gözden	göz+Noun+A3sg+Pnon+Abl
doğrusu	doğru+Adj^DB+Noun+Zero+A3sg+P3sg+Nom
heyecanla	heyecan+Noun+A3sg+Pnon+Ins
dikkate	dikkat+Noun+A3sg+Pnon+Dat
alma	al+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
istediğini	iste+Verb+Pos^DB+Noun+PastPart+A3sg+P2sg+Acc
türde	tür+Noun+A3sg+Pnon+Loc
şimdiye	şimdi+Noun+A3sg+Pnon+Dat
olanlara	ol+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Dat
sürdürenlerin	sür+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Gen
dünyasında	dünya+Noun+A3sg+P3sg+Loc
bencilliklerinden	bencil+Adj^DB+Noun+Ness+A3pl+P3pl+Abl
kederleri	keder+Noun+A3pl+P3pl+Nom
hayranlığına	hayran+Adj^DB+Noun+Ness+A3sg+P2sg+Dat
dünyanın	dünya+Noun+A3sg+Pnon+Gen
ressamın	ressam+Noun+A3sg+Pnon+Gen
anlayacağını	anla+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
şüpheci	şüphe+Noun+A3sg+Pnon+Nom^DB+Noun+Agt+A3sg+Pnon+Nom
hali	hal+Noun+A3sg+P3sg+Nom
hayatımı	hayat+Noun+A3sg+P1sg+Acc
zarafetiyle	zarafet+Noun+A3sg+P3sg+Ins
kalabalığa	kalabalık+Noun+A3sg+Pnon+Dat
gülün	gül+Noun+A3sg+Pnon+Gen
dudakları	dudak+Noun+A3pl+P3sg+Nom
ayağa	ayak+Noun+A3sg+Pnon+Dat
kızdan	kız+Noun+A3sg+Pnon+Abl
evinin	ev+Noun+A3sg+P3sg+Gen
salonunda	salon+Noun+A3sg+P3sg+Loc
arkadaşı	arkadaş+Noun+A3sg+P3sg+Nom
parçayla	parça+Noun+A3sg+Pnon+Ins
giriş	gir+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
kalabalığın	kalabalık+Noun+A3sg+Pnon+Gen
dünyadan	dünya+Noun+A3sg+Pnon+Abl
kıvrımlarına	kıvrım+Noun+A3pl+P3sg+Dat
tavrında	tavır+Noun+A3sg+P3sg+Loc
söylemek	söyle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
ellerine	el+Noun+A3pl+P3sg+Dat
haksızlık	hak+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Noun+Ness+A3sg+Pnon+Nom
hacıların	hacı+Noun+A3pl+Pnon+Gen
avuca	avuç+Noun+A3sg+Pnon+Dat
yapmacık	yap+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Noun+Dim+A3sg+Pnon+Nom
olmasına	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
tonunu	ton+Noun+A3sg+P3sg+Acc
çıkışlarını	çık+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Acc
yerlerde	yer+Noun+A3pl+Pnon+Loc
canlılığı	canlı+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3sg+Nom
sormaya	sor+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
kırıklığına	kırık+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3sg+Dat
değerlendirebilecekleri	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3pl+Nom
sahnesi	sahne+Noun+A3sg+P3sg+Nom
olacağını	ol+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
düşündüklerinden	düşün+Verb+Pos^DB+Noun+PastPart+A3sg+P3pl+Abl
ışığında	ışık+Noun+A3sg+P3sg+Loc
yapmacıklık	yap+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Noun+Dim+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
gecenin	gece+Noun+A3sg+Pnon+Gen
örtüsü	örtü+Noun+A3sg+P3sg+Nom
yüzümde	yüz+Num+Card^DB+Noun+Zero+A3sg+P1sg+Loc
pembeliği	pembe+Adj^DB+Noun+Ness+A3sg+P3sg+Nom
yanaklarımı	yanak+Noun+A3pl+P1sg+Acc
çocuğuna	çocuk+Noun+A3sg+P3sg+Dat
dereceden	derece+Noun+A3sg+Pnon+Abl
sanatçısının	sanatçı+Noun+A3sg+P3sg+Gen
esnada	esna+Noun+A3sg+Pnon+Loc
aşkın	aşk+Noun+A3sg+Pnon+Gen
araya	ara+Noun+A3sg+Pnon+Dat
geldiğimizde	gel+Verb+Pos^DB+Noun+PastPart+A3sg+P1pl+Loc
oyuna	oyun+Noun+A3sg+Pnon+Dat
sesle	ses+Noun+A3sg+Pnon+Ins
çıkarmaya	çık+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
arkasında	arka+Noun+A3sg+P3sg+Loc
ayağını	ayak+Noun+A3sg+P3sg+Acc
yere	yer+Noun+A3sg+Pnon+Dat
öfkeyle	öfke+Noun+A3sg+Pnon+Ins
erdiğinde	er+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
tufanı	tufan+Noun+A3sg+P3sg+Nom
sandalyesinden	sandalye+Noun+A3sg+P3sg+Abl
baştan	baş+Noun+A3sg+Pnon+Abl
sıradan	sıra+Noun+A3sg+Pnon+Abl
sanattan	sanat+Noun+A3sg+Pnon+Abl
ikisi	iki+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom
dehasının	deha+Noun+A3sg+P3sg+Gen
ilhamına	ilham+Noun+A3sg+P3sg+Dat
evlendirmesi	evlen+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
düşmanlarınca	düşman+Noun+A3sg+P3pl+Equ
sahibini	sahip+Noun+A3sg+P3sg+Acc
bildiği	bil+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
ümidini	ümit+Noun+A3sg+P3sg+Acc
hareketin	hareket+Noun+A3sg+Pnon+Gen
kahramanlık	kahraman+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
soygunculuğu	soyguncu+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3sg+Nom
tarafları	taraf+Noun+A3pl+P3sg+Nom
konuda	konu+Noun+A3sg+Pnon+Loc
planları	plan+Noun+A3pl+P3pl+Nom
sahneler	sahne+Noun+A3pl+Pnon+Nom
düşünmek	düşün+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
gücüyle	güç+Noun+A3sg+P3sg+Ins
istediği	iste+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
planı	plan+Noun+A3sg+Pnon+Acc
hatlarıyla	hat+Noun+A3pl+P3sg+Ins
hesapta	hesap+Noun+A3sg+Pnon+Loc
fırsatlara	fırsat+Noun+A3pl+Pnon+Dat
