indi	in+Verb+Pos+Past+A3sg
dolaştım	dolaş+Verb+Pos+Past+A1sg
şaşırdılar	şaşır+Verb+Pos+Past+A3pl
ödedim	öde+Verb+Pos+Past+A1sg
yaktı	yak+Verb+Pos+Past+A3sg
bakmadım	bak+Verb+Neg+Past+A1sg
geçtik	geç+Verb+Pos+Past+A1pl
istediler	iste+Verb+Pos+Past+A3pl
yırttı	yırt+Verb+Pos+Past+A3sg
aradım	ara+Verb+Pos+Past+A1sg
kekeledi	kekele+Verb+Pos+Past+A3sg
bakmadın	bak+Verb+Neg+Past+A2sg
dolaştılar	dolaş+Verb+Pos+Past+A3pl
koştular	koş+Verb+Pos+Past+A3pl
açmadı	aç+Verb+Neg+Past+A3sg
kiraladılar	kirala+Verb+Pos+Past+A3pl
yıkadı	yıka+Verb+Pos+Past+A3sg
yaşadım	yaşa+Verb+Pos+Past+A1sg
rahatladım	rahatla+Verb+Pos+Past+A1sg
sandılar	san+Verb+Pos+Past+A3pl
ulaştım	ulaş+Verb+Pos+Past+A1sg
aradılar	ara+Verb+Pos+Past+A3pl
muydunuz	mu+Ques+Past+A2pl
olmadım	ol+Verb+Neg+Past+A1sg
doğdum	doğ+Verb+Pos+Past+A1sg
uyumadı	uyu+Verb+Neg+Past+A3sg
önerdi	öner+Verb+Pos+Past+A3sg
dayandım	dayan+Verb+Pos+Past+A1sg
imzaladılar	imzala+Verb+Pos+Past+A3pl
direndi	diren+Verb+Pos+Past+A3sg
aydınlandı	aydınlan+Verb+Pos+Past+A3sg
yollamadım	yolla+Verb+Neg+Past+A1sg
yapmadım	yap+Verb+Neg+Past+A1sg
utanmadınız	utan+Verb+Neg+Past+A2pl
koymadınız	koy+Verb+Neg+Past+A2pl
kucakladım	kucakla+Verb+Pos+Past+A1sg
kaybetti	kaybet+Verb+Pos+Past+A3sg
çektik	çek+Verb+Pos+Past+A1pl
döktünüz	dök+Verb+Pos+Past+A2pl
kızardı	kızar+Verb+Pos+Past+A3sg
yakındı	yakın+Verb+Pos+Past+A3sg
şaşırdım	şaşır+Verb+Pos+Past+A1sg
yayınladı	yayınla+Verb+Pos+Past+A3sg
ürktü	ürk+Verb+Pos+Past+A3sg
öğretti	öğret+Verb+Pos+Past+A3sg
yeğledi	yeğle+Verb+Pos+Past+A3sg
kalkmadı	kalk+Verb+Neg+Past+A3sg
sürttü	sürt+Verb+Pos+Past+A3sg
kımıldamadı	kımılda+Verb+Neg+Past+A3sg
açtınız	aç+Verb+Pos+Past+A2pl
tutundu	tutun+Verb+Pos+Past+A3sg
açtılar	aç+Verb+Pos+Past+A3pl
ilerledi	ilerle+Verb+Pos+Past+A3sg
geçmedi	geç+Verb+Neg+Past+A3sg
büründü	bürün+Verb+Pos+Past+A3sg
taşıdı	taşı+Verb+Pos+Past+A3sg
geğirdi	geğir+Verb+Pos+Past+A3sg
doydum	doy+Verb+Pos+Past+A1sg
gerekti	gerek+Verb+Pos+Past+A3sg
düzenledi	düzenle+Verb+Pos+Past+A3sg
kaldılar	kal+Verb+Pos+Past+A3pl
gönderdi	gönder+Verb+Pos+Past+A3sg
bıraktınız	bırak+Verb+Pos+Past+A2pl
yineledim	yinele+Verb+Pos+Past+A1sg
tembihledim	tembihle+Verb+Pos+Past+A1sg
çabaladım	çabala+Verb+Pos+Past+A1sg
çevirdiniz	çevir+Verb+Pos+Past+A2pl
görüşmediniz	görüş+Verb+Neg+Past+A2pl
davrandı	davran+Verb+Pos+Past+A3sg
yazmadı	yaz+Verb+Neg+Past+A3sg
kullandım	kullan+Verb+Pos+Past+A1sg
reddettiler	reddet+Verb+Pos+Past+A3pl
üstlendi	üstlen+Verb+Pos+Past+A3sg
etkiledi	etkile+Verb+Pos+Past+A3sg
dolaştı	dolaş+Verb+Pos+Past+A3sg
inceledi	incele+Verb+Pos+Past+A3sg
açıkladı	açıkla+Verb+Pos+Past+A3sg
vermediler	ver+Verb+Neg+Past+A3pl
etkilemedi	etkile+Verb+Neg+Past+A3sg
geçtiler	geç+Verb+Pos+Past+A3pl
kırptı	kırp+Verb+Pos+Past+A3sg
değdi	değ+Verb+Pos+Past+A3sg
havalandı	havalan+Verb+Pos+Past+A3sg
sürtündü	sürtün+Verb+Pos+Past+A3sg
irkildi	irkil+Verb+Pos+Past+A3sg
edindi	edin+Verb+Pos+Past+A3sg
üstlendiler	üstlen+Verb+Pos+Past+A3pl
yolladı	yolla+Verb+Pos+Past+A3sg
tükendi	tüken+Verb+Pos+Past+A3sg
rastladı	rastla+Verb+Pos+Past+A3sg
fırçaladı	fırçala+Verb+Pos+Past+A3sg
çalkaladı	çalkala+Verb+Pos+Past+A3sg
taradı	tara+Verb+Pos+Past+A3sg
gülüştü	gülüş+Verb+Pos+Past+A3sg
uyandı	uyan+Verb+Pos+Past+A3sg
hazırladım	hazırla+Verb+Pos+Past+A1sg
tuttunuz	tut+Verb+Pos+Past+A2pl
damgaladı	damgala+Verb+Pos+Past+A3sg
gönderdim	gönder+Verb+Pos+Past+A1sg
ayarladım	ayarla+Verb+Pos+Past+A1sg
denedim	dene+Verb+Pos+Past+A1sg
kestiniz	kes+Verb+Pos+Past+A2pl
yükledim	yükle+Verb+Pos+Past+A1sg
kopyaladım	kopyala+Verb+Pos+Past+A1sg
çalıştınız	çalış+Verb+Pos+Past+A2pl
uyguladınız	uygula+Verb+Pos+Past+A2pl
uyguladım	uygula+Verb+Pos+Past+A1sg
sıraladım	sırala+Verb+Pos+Past+A1sg
yaramadı	yara+Verb+Neg+Past+A3sg
aştı	aş+Verb+Pos+Past+A3sg
ulaştı	ulaş+Verb+Pos+Past+A3sg
kalkıştı	kalkış+Verb+Pos+Past+A3sg
kurdum	kur+Verb+Pos+Past+A1sg
oynadım	oyna+Verb+Pos+Past+A1sg
çıkmadım	çık+Verb+Neg+Past+A1sg
devrettim	devret+Verb+Pos+Past+A1sg
baktın	bak+Verb+Pos+Past+A2sg
buluştun	buluş+Verb+Pos+Past+A2sg
yerleştim	yerleş+Verb+Pos+Past+A1sg
sevdim	sev+Verb+Pos+Past+A1sg
aldık	al+Verb+Pos+Past+A1pl
tanıştık	tanış+Verb+Pos+Past+A1pl
büyümedim	büyü+Verb+Neg+Past+A1sg
büyüdüm	büyü+Verb+Pos+Past+A1sg
gitmedim	git+Verb+Neg+Past+A1sg
yakındılar	yakın+Verb+Pos+Past+A3pl
yaşadılar	yaşa+Verb+Pos+Past+A3pl
almadılar	al+Verb+Neg+Past+A3pl
önledi	önle+Verb+Pos+Past+A3sg
vurguladı	vurgula+Verb+Pos+Past+A3sg
rastladım	rastla+Verb+Pos+Past+A1sg
sıvadı	sıva+Verb+Pos+Past+A3sg
çalıştık	çalış+Verb+Pos+Past+A1pl
yaraladı	yarala+Verb+Pos+Past+A3sg
rahatladı	rahatla+Verb+Pos+Past+A3sg
kuşattı	kuşat+Verb+Pos+Past+A3sg
çalıştılar	çalış+Verb+Pos+Past+A3pl
tartıştılar	tartış+Verb+Pos+Past+A3pl
dedik	de+Verb+Pos+Past+A1pl
birleştiler	birleş+Verb+Pos+Past+A3pl
okuduk	oku+Verb+Pos+Past+A1pl
kurtuldular	kurtul+Verb+Pos+Past+A3pl
anladılar	anla+Verb+Pos+Past+A3pl
kestiler	kes+Verb+Pos+Past+A3pl
tuttular	tut+Verb+Pos+Past+A3pl
söylediler	söyle+Verb+Pos+Past+A3pl
bulundular	bulun+Verb+Pos+Past+A3pl
ödediler	öde+Verb+Pos+Past+A3pl
dağıttı	dağıt+Verb+Pos+Past+A3sg
taktılar	tak+Verb+Pos+Past+A3pl
koptu	kop+Verb+Pos+Past+A3sg
tutuştular	tutuş+Verb+Pos+Past+A3pl
battı	bat+Verb+Pos+Past+A3sg
karşıladım	karşıla+Verb+Pos+Past+A1sg
konuştuk	konuş+Verb+Pos+Past+A1pl
utandık	utan+Verb+Pos+Past+A1pl
inandım	inan+Verb+Pos+Past+A1sg
özetledi	özetle+Verb+Pos+Past+A3sg
sattınız	sat+Verb+Pos+Past+A2pl
yakaladım	yakala+Verb+Pos+Past+A1sg
yineledi	yinele+Verb+Pos+Past+A3sg
koyduk	koy+Verb+Pos+Past+A1pl
imzaladı	imzala+Verb+Pos+Past+A3sg
bakmadı	bak+Verb+Neg+Past+A3sg
kırdı	kır+Verb+Pos+Past+A3sg
çalışmadı	çalış+Verb+Neg+Past+A3sg
görüştü	görüş+Verb+Pos+Past+A3sg
yöneldim	yönel+Verb+Pos+Past+A1sg
kurtardım	kurtar+Verb+Pos+Past+A1sg
yöneldik	yönel+Verb+Pos+Past+A1pl
kurtuldum	kurtul+Verb+Pos+Past+A1sg
azaldı	azal+Verb+Pos+Past+A3sg
kattılar	kat+Verb+Pos+Past+A3pl
anlaştılar	anlaş+Verb+Pos+Past+A3pl
diledi	dile+Verb+Pos+Past+A3sg
ilerledim	ilerle+Verb+Pos+Past+A1sg
bindik	bin+Verb+Pos+Past+A1pl
kondu	kon+Verb+Pos+Past+A3sg
giydim	giy+Verb+Pos+Past+A1sg
yedik	ye+Verb+Pos+Past+A1pl
durakladı	durakla+Verb+Pos+Past+A3sg
tembihledi	tembihle+Verb+Pos+Past+A3sg
döktüm	dök+Verb+Pos+Past+A1sg
aktardılar	aktar+Verb+Pos+Past+A3pl
olmadılar	ol+Verb+Neg+Past+A3pl
yağdı	yağ+Verb+Pos+Past+A3sg
erdi	er+Verb+Pos+Past+A3sg
gelişti	geliş+Verb+Pos+Past+A3sg
görüştük	görüş+Verb+Pos+Past+A1pl
arzettik	arzet+Verb+Pos+Past+A1pl
karşılaştı	karşılaş+Verb+Pos+Past+A3sg
tamamladı	tamamla+Verb+Pos+Past+A3sg
üzdü	üz+Verb+Pos+Past+A3sg
yeniledi	yenile+Verb+Pos+Past+A3sg
söyledik	söyle+Verb+Pos+Past+A1pl
dinlemedi	dinle+Verb+Neg+Past+A3sg
sustum	sus+Verb+Pos+Past+A1sg
saydım	say+Verb+Pos+Past+A1sg
attık	at+Verb+Pos+Past+A1pl
anlaştı	anlaş+Verb+Pos+Past+A3sg
soruşturdum	soruştur+Verb+Pos+Past+A1sg
homurdandım	homurdan+Verb+Pos+Past+A1sg
düştüm	düş+Verb+Pos+Past+A1sg
ilgilendi	ilgilen+Verb+Pos+Past+A3sg
sarmaladı	sarmala+Verb+Pos+Past+A3sg
mayıştım	mayış+Verb+Pos+Past+A1sg
bulundum	bulun+Verb+Pos+Past+A1sg
çağırdım	çağır+Verb+Pos+Past+A1sg
çıktınız	çık+Verb+Pos+Past+A2pl
bildik	bil+Verb+Pos+Past+A1pl
acıktı	acık+Verb+Pos+Past+A3sg
gecikmedi	gecik+Verb+Neg+Past+A3sg
kazandık	kazan+Verb+Pos+Past+A1pl
oynadı	oyna+Verb+Pos+Past+A3sg
yadırgamadı	yadırga+Verb+Neg+Past+A3sg
harcadı	harca+Verb+Pos+Past+A3sg
şahlandık	şahlan+Verb+Pos+Past+A1pl
kutladı	kutla+Verb+Pos+Past+A3sg
aktı	ak+Verb+Pos+Past+A3sg
ağladık	ağla+Verb+Pos+Past+A1pl
kattınız	kat+Verb+Pos+Past+A2pl
kaybetmedim	kaybet+Verb+Neg+Past+A1sg
engelledi	engelle+Verb+Pos+Past+A3sg
unuttuk	unut+Verb+Pos+Past+A1pl
oynatmadım	oynat+Verb+Neg+Past+A1sg
oynamadın	oyna+Verb+Neg+Past+A2sg
patladı	patla+Verb+Pos+Past+A3sg
kazanmadı	kazan+Verb+Neg+Past+A3sg
çağrıldı	çağrıl+Verb+Pos+Past+A3sg
hazırladı	hazırla+Verb+Pos+Past+A3sg
çözdü	çöz+Verb+Pos+Past+A3sg
bıraktık	bırak+Verb+Pos+Past+A1pl
ulaştık	ulaş+Verb+Pos+Past+A1pl
sağladılar	sağla+Verb+Pos+Past+A3pl
gösterdiler	göster+Verb+Pos+Past+A3pl
eleştirdim	eleştir+Verb+Pos+Past+A1sg
veriştirdi	veriştir+Verb+Pos+Past+A3sg
attın	at+Verb+Pos+Past+A2sg
görmedin	gör+Verb+Neg+Past+A2sg
sürmedi	sür+Verb+Neg+Past+A3sg
kahroldum	kahrol+Verb+Pos+Past+A1sg
okumadım	oku+Verb+Neg+Past+A1sg
sergilediler	sergile+Verb+Pos+Past+A3pl
izledik	izle+Verb+Pos+Past+A1pl
haketmedi	haket+Verb+Neg+Past+A3sg
büyüdün	büyü+Verb+Pos+Past+A2sg
yaptılar	yap+Verb+Pos+Past+A3pl
gezdiler	gez+Verb+Pos+Past+A3pl
özledim	özle+Verb+Pos+Past+A1sg
sevmedim	sev+Verb+Neg+Past+A1sg
yendiniz	yen+Verb+Pos+Past+A2pl
yaşadınız	yaşa+Verb+Pos+Past+A2pl
bağırdınız	bağır+Verb+Pos+Past+A2pl
rahatladınız	rahatla+Verb+Pos+Past+A2pl
paniklediniz	panikle+Verb+Pos+Past+A2pl
attınız	at+Verb+Pos+Past+A2pl
ağladınız	ağla+Verb+Pos+Past+A2pl
koptum	kop+Verb+Pos+Past+A1sg
yapmadınız	yap+Verb+Neg+Past+A2pl
bulmadım	bul+Verb+Neg+Past+A1sg
üsteledi	üstele+Verb+Pos+Past+A3sg
doğruladılar	doğrula+Verb+Pos+Past+A3pl
oynadık	oyna+Verb+Pos+Past+A1pl
görüştüm	görüş+Verb+Pos+Past+A1sg
getirmedi	getir+Verb+Neg+Past+A3sg
aradık	ara+Verb+Pos+Past+A1pl
aramadı	ara+Verb+Neg+Past+A3sg
dinledik	dinle+Verb+Pos+Past+A1pl
kaybettik	kaybet+Verb+Pos+Past+A1pl
taşıdın	taşı+Verb+Pos+Past+A2sg
gönderdin	gönder+Verb+Pos+Past+A2sg
kazandılar	kazan+Verb+Pos+Past+A3pl
yıktı	yık+Verb+Pos+Past+A3sg
tamamladılar	tamamla+Verb+Pos+Past+A3pl
istedik	iste+Verb+Pos+Past+A1pl
başardık	başar+Verb+Pos+Past+A1pl
yerleştik	yerleş+Verb+Pos+Past+A1pl
yükseldiler	yüksel+Verb+Pos+Past+A3pl
edindik	edin+Verb+Pos+Past+A1pl
izlediler	izle+Verb+Pos+Past+A3pl
önerdiler	öner+Verb+Pos+Past+A3pl
araştırdık	araştır+Verb+Pos+Past+A1pl
sorduk	sor+Verb+Pos+Past+A1pl
öğrendik	öğren+Verb+Pos+Past+A1pl
katlettiler	katlet+Verb+Pos+Past+A3pl
çektiler	çek+Verb+Pos+Past+A3pl
kaydetti	kaydet+Verb+Pos+Past+A3sg
belirlediler	belirle+Verb+Pos+Past+A3pl
kesmedik	kes+Verb+Neg+Past+A1pl
affettik	affet+Verb+Pos+Past+A1pl
yayınladım	yayınla+Verb+Pos+Past+A1sg
mıydık	mı+Ques+Past+A1pl
keşfettiler	keşfet+Verb+Pos+Past+A3pl
bandı	ban+Verb+Pos+Past+A3sg
bırakmadım	bırak+Verb+Neg+Past+A1sg
büyüdü	büyü+Verb+Pos+Past+A3sg
savundular	savun+Verb+Pos+Past+A3pl
bitmedi	bit+Verb+Neg+Past+A3sg
savundu	savun+Verb+Pos+Past+A3sg
çekmedik	çek+Verb+Neg+Past+A1pl
hoşgeldiniz	hoşgel+Verb+Pos+Past+A2pl
asfaltladık	asfaltla+Verb+Pos+Past+A1pl
bindim	bin+Verb+Pos+Past+A1sg
çözdük	çöz+Verb+Pos+Past+A1pl
çözdünüz	çöz+Verb+Pos+Past+A2pl
sattılar	sat+Verb+Pos+Past+A3pl
huysuzlandı	huysuzlan+Verb+Pos+Past+A3sg
uyudu	uyu+Verb+Pos+Past+A3sg
taşıdılar	taşı+Verb+Pos+Past+A3pl
derledim	derle+Verb+Pos+Past+A1sg
azdı	az+Verb+Pos+Past+A3sg
uğramadı	uğra+Verb+Neg+Past+A3sg
davrandılar	davran+Verb+Pos+Past+A3pl
yansımadı	yansı+Verb+Neg+Past+A3sg
eleştirdi	eleştir+Verb+Pos+Past+A3sg
değiştik	değiş+Verb+Pos+Past+A1pl
unuttular	unut+Verb+Pos+Past+A3pl
vazgeçtiler	vazgeç+Verb+Pos+Past+A3pl
yaktılar	yak+Verb+Pos+Past+A3pl
abarttı	abart+Verb+Pos+Past+A3sg
eğitti	eğit+Verb+Pos+Past+A3sg
sevketti	sevket+Verb+Pos+Past+A3sg
tanımladı	tanımla+Verb+Pos+Past+A3sg
yeraldı	yeral+Verb+Pos+Past+A3sg
bulmadı	bul+Verb+Neg+Past+A3sg
sundu	sun+Verb+Pos+Past+A3sg
korudum	koru+Verb+Pos+Past+A1sg
kaybettiler	kaybet+Verb+Pos+Past+A3pl
yanıtladı	yanıtla+Verb+Pos+Past+A3sg
bekledik	bekle+Verb+Pos+Past+A1pl
seyrettim	seyret+Verb+Pos+Past+A1sg
demedim	de+Verb+Neg+Past+A1sg
alıştık	alış+Verb+Pos+Past+A1pl
kurdular	kur+Verb+Pos+Past+A3pl
anlaştım	anlaş+Verb+Pos+Past+A1sg
vazgeçmedim	vazgeç+Verb+Neg+Past+A1sg
tazeledi	tazele+Verb+Pos+Past+A3sg
ağırladı	ağırla+Verb+Pos+Past+A3sg
sınırladınız	sınırla+Verb+Pos+Past+A2pl
devretti	devret+Verb+Pos+Past+A3sg
yalanladı	yalanla+Verb+Pos+Past+A3sg
suçlamadık	suçla+Verb+Neg+Past+A1pl
vurmadım	vur+Verb+Neg+Past+A1sg
söylemedik	söyle+Verb+Neg+Past+A1pl
gösterdik	göster+Verb+Pos+Past+A1pl
değişmedi	değiş+Verb+Neg+Past+A3sg
yayınladılar	yayınla+Verb+Pos+Past+A3pl
yorumladım	yorumla+Verb+Pos+Past+A1sg
hoşlanmadılar	hoşlan+Verb+Neg+Past+A3pl
alıştım	alış+Verb+Pos+Past+A1sg
gezdim	gez+Verb+Pos+Past+A1sg
yasakladı	yasakla+Verb+Pos+Past+A3sg
dondu	don+Verb+Pos+Past+A3sg
kurtardı	kurtar+Verb+Pos+Past+A3sg
bırakmadık	bırak+Verb+Neg+Past+A1pl
amaçladık	amaçla+Verb+Pos+Past+A1pl
aldattınız	aldat+Verb+Pos+Past+A2pl
sattım	sat+Verb+Pos+Past+A1sg
takındılar	takın+Verb+Pos+Past+A3pl
saptadım	sapta+Verb+Pos+Past+A1sg
kazandım	kazan+Verb+Pos+Past+A1sg
değiştiler	değiş+Verb+Pos+Past+A3pl
seçtik	seç+Verb+Pos+Past+A1pl
suçladı	suçla+Verb+Pos+Past+A3sg
buluştu	buluş+Verb+Pos+Past+A3sg
terkettiler	terket+Verb+Pos+Past+A3pl
uzlaştı	uzlaş+Verb+Pos+Past+A3sg
atmadı	at+Verb+Neg+Past+A3sg
sundular	sun+Verb+Pos+Past+A3pl
alışmadık	alış+Verb+Neg+Past+A1pl
varmadım	var+Verb+Neg+Past+A1sg
değinmedi	değin+Verb+Neg+Past+A3sg
duymadım	duy+Verb+Neg+Past+A1sg
seçtim	seç+Verb+Pos+Past+A1sg
beğenmedim	beğen+Verb+Neg+Past+A1sg
seçtiniz	seç+Verb+Pos+Past+A2pl
beğendi	beğen+Verb+Pos+Past+A3sg
seçtin	seç+Verb+Pos+Past+A2sg
giydin	giy+Verb+Pos+Past+A2sg
giymedim	giy+Verb+Neg+Past+A1sg
yılmadım	yıl+Verb+Neg+Past+A1sg
tuttuk	tut+Verb+Pos+Past+A1pl
delirdin	delir+Verb+Pos+Past+A2sg
araştırdı	araştır+Verb+Pos+Past+A3sg
yaşadık	yaşa+Verb+Pos+Past+A1pl
dertleştim	dertleş+Verb+Pos+Past+A1sg
hissettiniz	hisset+Verb+Pos+Past+A2pl
hissetmedim	hisset+Verb+Neg+Past+A1sg
yemedim	ye+Verb+Neg+Past+A1sg
yemedin	ye+Verb+Neg+Past+A2sg
tükettim	tüket+Verb+Pos+Past+A1sg
sormadım	sor+Verb+Neg+Past+A1sg
bıraktın	bırak+Verb+Pos+Past+A2sg
tanıştınız	tanış+Verb+Pos+Past+A2pl
yansıdı	yansı+Verb+Pos+Past+A3sg
büyümedi	büyü+Verb+Neg+Past+A3sg
unutmadı	unut+Verb+Neg+Past+A3sg
yıprandılar	yıpran+Verb+Pos+Past+A3pl
yanmadı	yan+Verb+Neg+Past+A3sg
başvurdu	başvur+Verb+Pos+Past+A3sg
kızdılar	kız+Verb+Pos+Past+A3pl
uğradılar	uğra+Verb+Pos+Past+A3pl
vermedik	ver+Verb+Neg+Past+A1pl
başardılar	başar+Verb+Pos+Past+A3pl
söndü	sön+Verb+Pos+Past+A3sg
sevindiler	sevin+Verb+Pos+Past+A3pl
taktı	tak+Verb+Pos+Past+A3sg
büyüttüm	büyüt+Verb+Pos+Past+A1sg
çekmedim	çek+Verb+Neg+Past+A1sg
ovuşturdunuz	ovuştur+Verb+Pos+Past+A2pl
bulaştınız	bulaş+Verb+Pos+Past+A2pl
görmediler	gör+Verb+Neg+Past+A3pl
tavladı	tavla+Verb+Pos+Past+A3sg
gözledim	gözle+Verb+Pos+Past+A1sg
seyrettiniz	seyret+Verb+Pos+Past+A2pl
bağladılar	bağla+Verb+Pos+Past+A3pl
çıktın	çık+Verb+Pos+Past+A2sg
daraldı	daral+Verb+Pos+Past+A3sg
durmadım	dur+Verb+Neg+Past+A1sg
yordular	yor+Verb+Pos+Past+A3pl
ektiler	ek+Verb+Pos+Past+A3pl
kızdınız	kız+Verb+Pos+Past+A2pl
düşmedi	düş+Verb+Neg+Past+A3sg
doğduk	doğ+Verb+Pos+Past+A1pl
büyüttük	büyüt+Verb+Pos+Past+A1pl
öldük	öl+Verb+Pos+Past+A1pl
terkettik	terket+Verb+Pos+Past+A1pl
dayandı	dayan+Verb+Pos+Past+A3sg
kattık	kat+Verb+Pos+Past+A1pl
keşfetmedim	keşfet+Verb+Neg+Past+A1sg
bildim	bil+Verb+Pos+Past+A1sg
kavuştum	kavuş+Verb+Pos+Past+A1sg
tanıştım	tanış+Verb+Pos+Past+A1sg
beğendim	beğen+Verb+Pos+Past+A1sg
hallettik	hallet+Verb+Pos+Past+A1pl
doğruladı	doğrula+Verb+Pos+Past+A3sg
çoğaldı	çoğal+Verb+Pos+Past+A3sg
evlendim	evlen+Verb+Pos+Past+A1sg
diledim	dile+Verb+Pos+Past+A1sg
ilgilendiler	ilgilen+Verb+Pos+Past+A3pl
döktük	dök+Verb+Pos+Past+A1pl
yandı	yan+Verb+Pos+Past+A3sg
davranmadı	davran+Verb+Neg+Past+A3sg
yadırgadım	yadırga+Verb+Pos+Past+A1sg
yazdık	yaz+Verb+Pos+Past+A1pl
içtim	iç+Verb+Pos+Past+A1sg
gözledik	gözle+Verb+Pos+Past+A1pl
kullandık	kullan+Verb+Pos+Past+A1pl
yatıştı	yatış+Verb+Pos+Past+A3sg
dönüştü	dönüş+Verb+Pos+Past+A3sg
keşfettik	keşfet+Verb+Pos+Past+A1pl
kurduk	kur+Verb+Pos+Past+A1pl
değindi	değin+Verb+Pos+Past+A3sg
gösterdiniz	göster+Verb+Pos+Past+A2pl
kaçtılar	kaç+Verb+Pos+Past+A3pl
karıştılar	karış+Verb+Pos+Past+A3pl
eskidi	eski+Verb+Pos+Past+A3sg
düşündük	düşün+Verb+Pos+Past+A1pl
kurdunuz	kur+Verb+Pos+Past+A2pl
süsledi	süsle+Verb+Pos+Past+A3sg
anladık	anla+Verb+Pos+Past+A1pl
gelmedim	gel+Verb+Neg+Past+A1sg
uyarladık	uyarla+Verb+Pos+Past+A1pl
çizdik	çiz+Verb+Pos+Past+A1pl
çıkıştı	çıkış+Verb+Pos+Past+A3sg
tutmadılar	tut+Verb+Neg+Past+A3pl
çizdim	çiz+Verb+Pos+Past+A1sg
kaynadı	kayna+Verb+Pos+Past+A3sg
dolaştık	dolaş+Verb+Pos+Past+A1pl
buluştuk	buluş+Verb+Pos+Past+A1pl
koklamadım	kokla+Verb+Neg+Past+A1sg
toparladım	toparla+Verb+Pos+Past+A1sg
sarfettik	sarfet+Verb+Pos+Past+A1pl
kaldık	kal+Verb+Pos+Past+A1pl
benimsedim	benimse+Verb+Pos+Past+A1sg
tanımadılar	tanı+Verb+Neg+Past+A3pl
paylaştık	paylaş+Verb+Pos+Past+A1pl
ilgilendim	ilgilen+Verb+Pos+Past+A1sg
düştüler	düş+Verb+Pos+Past+A3pl
tasarladı	tasarla+Verb+Pos+Past+A3sg
çekmedi	çek+Verb+Neg+Past+A3sg
tartışmadı	tartış+Verb+Neg+Past+A3sg
didindi	didin+Verb+Pos+Past+A3sg
boyadım	boya+Verb+Pos+Past+A1sg
çimdik	çim+Verb+Pos+Past+A1pl
sordular	sor+Verb+Pos+Past+A3pl
denedik	dene+Verb+Pos+Past+A1pl
şaşırmadık	şaşır+Verb+Neg+Past+A1pl
düşündünüz	düşün+Verb+Pos+Past+A2pl
irkildik	irkil+Verb+Pos+Past+A1pl
önemsemedi	önemse+Verb+Neg+Past+A3sg
eridi	eri+Verb+Pos+Past+A3sg
imzaladık	imzala+Verb+Pos+Past+A1pl
inceledik	incele+Verb+Pos+Past+A1pl
diktik	dik+Verb+Pos+Past+A1pl
düştük	düş+Verb+Pos+Past+A1pl
sevindik	sevin+Verb+Pos+Past+A1pl
yakaladık	yakala+Verb+Pos+Past+A1pl
selamladı	selamla+Verb+Pos+Past+A3sg
savaştılar	savaş+Verb+Pos+Past+A3pl
gördün	gör+Verb+Pos+Past+A2sg
paylaştım	paylaş+Verb+Pos+Past+A1sg
ayırdı	ayır+Verb+Pos+Past+A3sg
uğraştılar	uğraş+Verb+Pos+Past+A3pl
ıslıkladılar	ıslıkla+Verb+Pos+Past+A3pl
ıslıkladı	ıslıkla+Verb+Pos+Past+A3sg
püskürdü	püskür+Verb+Pos+Past+A3sg
oynadılar	oyna+Verb+Pos+Past+A3pl
kopmadı	kop+Verb+Neg+Past+A3sg
kattı	kat+Verb+Pos+Past+A3sg
yetmedi	yet+Verb+Neg+Past+A3sg
kınadı	kına+Verb+Pos+Past+A3sg
değindiniz	değin+Verb+Pos+Past+A2pl
kovaladık	kovala+Verb+Pos+Past+A1pl
kaçındı	kaçın+Verb+Pos+Past+A3sg
genişledi	genişle+Verb+Pos+Past+A3sg
alkışladı	alkışla+Verb+Pos+Past+A3sg
düşündüler	düşün+Verb+Pos+Past+A3pl
hoşgeldin	hoşgel+Verb+Pos+Past+A2sg
sergiledim	sergile+Verb+Pos+Past+A1sg
kırdım	kır+Verb+Pos+Past+A1sg
izlediniz	izle+Verb+Pos+Past+A2pl
danıştınız	danış+Verb+Pos+Past+A2pl
diktiler	dik+Verb+Pos+Past+A3pl
yarattım	yarat+Verb+Pos+Past+A1sg
alındık	alın+Verb+Pos+Past+A1pl
yanaşmadı	yanaş+Verb+Neg+Past+A3sg
yorumladı	yorumla+Verb+Pos+Past+A3sg
inanmadın	inan+Verb+Neg+Past+A2sg
desteklediler	destekle+Verb+Pos+Past+A3pl
gecikti	gecik+Verb+Pos+Past+A3sg
düşünmediler	düşün+Verb+Neg+Past+A3pl
çağrıldılar	çağrıl+Verb+Pos+Past+A3pl
yoğurdu	yoğur+Verb+Pos+Past+A3sg
belirledi	belirle+Verb+Pos+Past+A3sg
parçaladı	parçala+Verb+Pos+Past+A3sg
üfledim	üfle+Verb+Pos+Past+A1sg
inledim	inle+Verb+Pos+Past+A1sg
geciktik	gecik+Verb+Pos+Past+A1pl
bıktı	bık+Verb+Pos+Past+A3sg
sömürdü	sömür+Verb+Pos+Past+A3sg
edindiler	edin+Verb+Pos+Past+A3pl
inanmadım	inan+Verb+Neg+Past+A1sg
ağladım	ağla+Verb+Pos+Past+A1sg
geçmedim	geç+Verb+Neg+Past+A1sg
kovaladılar	kovala+Verb+Pos+Past+A3pl
bağırdılar	bağır+Verb+Pos+Past+A3pl
yuhaladılar	yuhala+Verb+Pos+Past+A3pl
şaşırdık	şaşır+Verb+Pos+Past+A1pl
