vermezsin	ver+Verb+Neg+Aor+A2sg
ettiniz	et+Verb+Pos+Past+A2pl
zorladı	zorla+Verb+Pos+Past+A3sg
geldiniz	gel+Verb+Pos+Past+A2pl
yaptınız	yap+Verb+Pos+Past+A2pl
kapadı	kapa+Verb+Pos+Past+A3sg
istedi	iste+Verb+Pos+Past+A3sg
kaldı	kal+Verb+Pos+Past+A3sg
süzdü	süz+Verb+Pos+Past+A3sg
tekrarladı	tekrarla+Verb+Pos+Past+A3sg
parladı	parla+Verb+Pos+Past+A3sg
dinlediniz	dinle+Verb+Pos+Past+A2pl
yaptım	yap+Verb+Pos+Past+A1sg
verdiniz	ver+Verb+Pos+Past+A2pl
miydim	mi+Ques+Past+A1sg
çevirmediniz	çevir+Verb+Neg+Past+A2pl
reddetmediniz	reddet+Verb+Neg+Past+A2pl
buruştu	buruş+Verb+Pos+Past+A3sg
tuttu	tut+Verb+Pos+Past+A3sg
yalvardınız	yalvar+Verb+Pos+Past+A2pl
dediniz	de+Verb+Pos+Past+A2pl
görmedim	gör+Verb+Neg+Past+A1sg
vurdum	vur+Verb+Pos+Past+A1sg
vardınız	var+Verb+Pos+Past+A2pl
sordunuz	sor+Verb+Pos+Past+A2pl
istemedik	iste+Verb+Neg+Past+A1pl
köpürdü	köpür+Verb+Pos+Past+A3sg
olduk	ol+Verb+Pos+Past+A1pl
kavradı	kavra+Verb+Pos+Past+A3sg
doğdu	doğ+Verb+Pos+Past+A3sg
vuruldunuz	vurul+Verb+Pos+Past+A2pl
verdim	ver+Verb+Pos+Past+A1sg
ilişti	iliş+Verb+Pos+Past+A3sg
öğrendim	öğren+Verb+Pos+Past+A1sg
fırladı	fırla+Verb+Pos+Past+A3sg
anlattı	anlat+Verb+Pos+Past+A3sg
döndü	dön+Verb+Pos+Past+A3sg
oldum	ol+Verb+Pos+Past+A1sg
konuştunuz	konuş+Verb+Pos+Past+A2pl
anladınız	anla+Verb+Pos+Past+A2pl
öğrendiniz	öğren+Verb+Pos+Past+A2pl
büktü	bük+Verb+Pos+Past+A3sg
uğraştım	uğraş+Verb+Pos+Past+A1sg
kaldım	kal+Verb+Pos+Past+A1sg
çıkmadı	çık+Verb+Neg+Past+A3sg
götürdüm	götür+Verb+Pos+Past+A1sg
kötülediniz	kötüle+Verb+Pos+Past+A2pl
kapadım	kapa+Verb+Pos+Past+A1sg
vardım	var+Verb+Pos+Past+A1sg
ettim	et+Verb+Pos+Past+A1sg
etmediniz	et+Verb+Neg+Past+A2pl
karşıladınız	karşıla+Verb+Pos+Past+A2pl
ekledi	ekle+Verb+Pos+Past+A3sg
inledi	inle+Verb+Pos+Past+A3sg
mahvettim	mahvet+Verb+Pos+Past+A1sg
savdık	sav+Verb+Pos+Past+A1pl
duydunuz	duy+Verb+Pos+Past+A2pl
muydun	mu+Ques+Past+A2sg
daldı	dal+Verb+Pos+Past+A3sg
bastı	bas+Verb+Pos+Past+A3sg
uğradı	uğra+Verb+Pos+Past+A3sg
bozdu	boz+Verb+Pos+Past+A3sg
tekrarladım	tekrarla+Verb+Pos+Past+A1sg
öğrendiler	öğren+Verb+Pos+Past+A3pl
bastık	bas+Verb+Pos+Past+A1pl
muydu	mu+Ques+Past+A3sg
diktin	dik+Verb+Pos+Past+A2sg
yapmadın	yap+Verb+Neg+Past+A2sg
dedim	de+Verb+Pos+Past+A1sg
dediler	de+Verb+Pos+Past+A3pl
ettin	et+Verb+Pos+Past+A2sg
bırakmadı	bırak+Verb+Neg+Past+A3sg
bağladı	bağla+Verb+Pos+Past+A3sg
zannetti	zannet+Verb+Pos+Past+A3sg
gitmeyecek	git+Verb+Neg+Fut+A3sg
tartışmayacağım	tartış+Verb+Neg+Fut+A1sg
seveceğim	sev+Verb+Pos+Fut+A1sg
bulacak	bul+Verb+Pos+Fut+A3sg
düşüneceğim	düşün+Verb+Pos+Fut+A1sg
göreceğiz	gör+Verb+Pos+Fut+A1pl
geçecek	geç+Verb+Pos+Fut+A3sg
edeceğim	et+Verb+Pos+Fut+A1sg
affetmeyeceğim	affet+Verb+Neg+Fut+A1sg
göreceksiniz	gör+Verb+Pos+Fut+A2pl
söyleyecekler	söyle+Verb+Pos+Fut+A3pl
olacağım	ol+Verb+Pos+Fut+A1sg
bulacağım	bul+Verb+Pos+Fut+A1sg
düşüneceksin	düşün+Verb+Pos+Fut+A2sg
seveceksin	sev+Verb+Pos+Fut+A2sg
olacaksın	ol+Verb+Pos+Fut+A2sg
olmayacak	ol+Verb+Neg+Fut+A3sg
geleceksin	gel+Verb+Pos+Fut+A2sg
unutacaksınız	unut+Verb+Pos+Fut+A2pl
kalkacak	kalk+Verb+Pos+Fut+A3sg
vereceğim	ver+Verb+Pos+Fut+A1sg
adayacağım	ada+Verb+Pos+Fut+A1sg
izleyeceğim	izle+Verb+Pos+Fut+A1sg
girecek	gir+Verb+Pos+Fut+A3sg
etmeyeceğiz	et+Verb+Neg+Fut+A1pl
çıkmayacağım	çık+Verb+Neg+Fut+A1sg
verecekler	ver+Verb+Pos+Fut+A3pl
duyacaksınız	duy+Verb+Pos+Fut+A2pl
gideceğim	git+Verb+Pos+Fut+A1sg
kopacak	kop+Verb+Pos+Fut+A3sg
bulacaksınız	bul+Verb+Pos+Fut+A2pl
başlayacağım	başla+Verb+Pos+Fut+A1sg
eriyecek	eri+Verb+Pos+Fut+A3sg
bahsedecek	bahset+Verb+Pos+Fut+A3sg
ayıracaksınız	ayır+Verb+Pos+Fut+A2pl
koruyacaksınız	koru+Verb+Pos+Fut+A2pl
parlayacak	parla+Verb+Pos+Fut+A3sg
sereceğim	ser+Verb+Pos+Fut+A1sg
tekrarlayacağım	tekrarla+Verb+Pos+Fut+A1sg
bırakmayacağım	bırak+Verb+Neg+Fut+A1sg
bulunacağım	bulun+Verb+Pos+Fut+A1sg
anlayacaklar	anla+Verb+Pos+Fut+A3pl
bakacağım	bak+Verb+Pos+Fut+A1sg
diyeceğim	de+Verb+Pos+Fut+A1sg
yayacağım	yay+Verb+Pos+Fut+A1sg
inceleyecek	incele+Verb+Pos+Fut+A3sg
vereceksiniz	ver+Verb+Pos+Fut+A2pl
konacak	kon+Verb+Pos+Fut+A3sg
bahsedeceğim	bahset+Verb+Pos+Fut+A1sg
söyleyeceğim	söyle+Verb+Pos+Fut+A1sg
yapacağım	yap+Verb+Pos+Fut+A1sg
olacaksınız	ol+Verb+Pos+Fut+A2pl
koyacak	koy+Verb+Pos+Fut+A3sg
çalışacağım	çalış+Verb+Pos+Fut+A1sg
söyleyeceksiniz	söyle+Verb+Pos+Fut+A2pl
koyacağız	koy+Verb+Pos+Fut+A1pl
soracağım	sor+Verb+Pos+Fut+A1sg
kaçacağım	kaç+Verb+Pos+Fut+A1sg
kalkacaksınız	kalk+Verb+Pos+Fut+A2pl
dinleyecek	dinle+Verb+Pos+Fut+A3sg
kıvıracağım	kıvır+Verb+Pos+Fut+A1sg
kıvıracak	kıvır+Verb+Pos+Fut+A3sg
öğrenecek	öğren+Verb+Pos+Fut+A3sg
yaklaşacak	yaklaş+Verb+Pos+Fut+A3sg
görecek	gör+Verb+Pos+Fut+A3sg
vermeyeceğim	ver+Verb+Neg+Fut+A1sg
kalacağım	kal+Verb+Pos+Fut+A1sg
çıkacaklar	çık+Verb+Pos+Fut+A3pl
onaracağım	onar+Verb+Pos+Fut+A1sg
döneceğiz	dön+Verb+Pos+Fut+A1pl
gidecek	git+Verb+Pos+Fut+A3sg
bulunacak	bulun+Verb+Pos+Fut+A3sg
bilmeyecek	bil+Verb+Neg+Fut+A3sg
kaybedeceksiniz	kaybet+Verb+Pos+Fut+A2pl
güleceksiniz	gül+Verb+Pos+Fut+A2pl
tanıyacak	tanı+Verb+Pos+Fut+A3sg
düşleyeceğim	düşle+Verb+Pos+Fut+A1sg
bulunmayacağım	bulun+Verb+Neg+Fut+A1sg
uyacaksınız	uy+Verb+Pos+Fut+A2pl
soracak	sor+Verb+Pos+Fut+A3sg
oturacak	otur+Verb+Pos+Fut+A3sg
yakacak	yak+Verb+Pos+Fut+A3sg
satacak	sat+Verb+Pos+Fut+A3sg
bulacağız	bul+Verb+Pos+Fut+A1pl
gerekecek	gerek+Verb+Pos+Fut+A3sg
değecek	değ+Verb+Pos+Fut+A3sg
süreceksin	sür+Verb+Pos+Fut+A2sg
vereceksin	ver+Verb+Pos+Fut+A2sg
büyüyecek	büyü+Verb+Pos+Fut+A3sg
açacak	aç+Verb+Pos+Fut+A3sg
kurtaracak	kurtar+Verb+Pos+Fut+A3sg
kalacağız	kal+Verb+Pos+Fut+A1pl
yürüyeceğiz	yürü+Verb+Pos+Fut+A1pl
yürüyecek	yürü+Verb+Pos+Fut+A3sg
tanıyacağız	tanı+Verb+Pos+Fut+A1pl
yapacağız	yap+Verb+Pos+Fut+A1pl
toplayacak	topla+Verb+Pos+Fut+A3sg
öğreneceksiniz	öğren+Verb+Pos+Fut+A2pl
öğretecekler	öğret+Verb+Pos+Fut+A3pl
alacağım	al+Verb+Pos+Fut+A1sg
oturacağım	otur+Verb+Pos+Fut+A1sg
ezeceğim	ez+Verb+Pos+Fut+A1sg
akacak	ak+Verb+Pos+Fut+A3sg
konuşacak	konuş+Verb+Pos+Fut+A3sg
kaplayacak	kapla+Verb+Pos+Fut+A3sg
söyleyeceksin	söyle+Verb+Pos+Fut+A2sg
ağlamayacağım	ağla+Verb+Neg+Fut+A1sg
görünmeyecek	görün+Verb+Neg+Fut+A3sg
bakacaklar	bak+Verb+Pos+Fut+A3pl
zannedecekler	zannet+Verb+Pos+Fut+A3pl
duracak	dur+Verb+Pos+Fut+A3sg
duracaksın	dur+Verb+Pos+Fut+A2sg
hissedeceğim	hisset+Verb+Pos+Fut+A1sg
yapacaklar	yap+Verb+Pos+Fut+A3pl
başlayacağız	başla+Verb+Pos+Fut+A1pl
vuracaksın	vur+Verb+Pos+Fut+A2sg
dövecekler	döv+Verb+Pos+Fut+A3pl
özetleyeceğim	özetle+Verb+Pos+Fut+A1sg
istemeyeceksin	iste+Verb+Neg+Fut+A2sg
tutacağım	tut+Verb+Pos+Fut+A1sg
içeceğim	iç+Verb+Pos+Fut+A1sg
besleyeceksin	besle+Verb+Pos+Fut+A2sg
açıklayacak	açıkla+Verb+Pos+Fut+A3sg
yatacağım	yat+Verb+Pos+Fut+A1sg
mahvolacaksın	mahvol+Verb+Pos+Fut+A2sg
belirleyecek	belirle+Verb+Pos+Fut+A3sg
getireceksin	getir+Verb+Pos+Fut+A2sg
yiyecekler	ye+Verb+Pos+Fut+A3pl
boylayacağım	boyla+Verb+Pos+Fut+A1sg
kalacaksınız	kal+Verb+Pos+Fut+A2pl
çıldıracak	çıldır+Verb+Pos+Fut+A3sg
anlayacak	anla+Verb+Pos+Fut+A3sg
çekecek	çek+Verb+Pos+Fut+A3sg
tembihleyeceğim	tembihle+Verb+Pos+Fut+A1sg
söylemeyeceğim	söyle+Verb+Neg+Fut+A1sg
dinleyeceksiniz	dinle+Verb+Pos+Fut+A2pl
ödeyeceğim	öde+Verb+Pos+Fut+A1sg
vuracak	vur+Verb+Pos+Fut+A3sg
bırakacak	bırak+Verb+Pos+Fut+A3sg
tutuşacaksınız	tutuş+Verb+Pos+Fut+A2pl
yükselecek	yüksel+Verb+Pos+Fut+A3sg
dönecek	dön+Verb+Pos+Fut+A3sg
güleceğiz	gül+Verb+Pos+Fut+A1pl
tüketecek	tüket+Verb+Pos+Fut+A3sg
edeceğiz	et+Verb+Pos+Fut+A1pl
kirletmeyecek	kirlet+Verb+Neg+Fut+A3sg
kovmayacağım	kov+Verb+Neg+Fut+A1sg
unutacağım	unut+Verb+Pos+Fut+A1sg
gelmeyecek	gel+Verb+Neg+Fut+A3sg
kullanacak	kullan+Verb+Pos+Fut+A3sg
binecekler	bin+Verb+Pos+Fut+A3pl
binmeyecek	bin+Verb+Neg+Fut+A3sg
öğrenecekler	öğren+Verb+Pos+Fut+A3pl
tutacağız	tut+Verb+Pos+Fut+A1pl
konuşmayacağım	konuş+Verb+Neg+Fut+A1sg
bilecekler	bil+Verb+Pos+Fut+A3pl
dönmeyeceğim	dön+Verb+Neg+Fut+A1sg
yaşayacaksınız	yaşa+Verb+Pos+Fut+A2pl
girmeyeceğim	gir+Verb+Neg+Fut+A1sg
bakacaksın	bak+Verb+Pos+Fut+A2sg
kakmayacaksın	kak+Verb+Neg+Fut+A2sg
kakacağım	kak+Verb+Pos+Fut+A1sg
vermeyecek	ver+Verb+Neg+Fut+A3sg
takacak	tak+Verb+Pos+Fut+A3sg
alacaksın	al+Verb+Pos+Fut+A2sg
yürüyeceğim	yürü+Verb+Pos+Fut+A1sg
ağlayacak	ağla+Verb+Pos+Fut+A3sg
öleceğim	öl+Verb+Pos+Fut+A1sg
yarayacak	yara+Verb+Pos+Fut+A3sg
istemeyeceğim	iste+Verb+Neg+Fut+A1sg
içmeyecek	iç+Verb+Neg+Fut+A3sg
anlatmayacağım	anlat+Verb+Neg+Fut+A1sg
ölecek	öl+Verb+Pos+Fut+A3sg
hastalanacak	hastalan+Verb+Pos+Fut+A3sg
edeceksiniz	et+Verb+Pos+Fut+A2pl
konuşacağım	konuş+Verb+Pos+Fut+A1sg
evleneceksiniz	evlen+Verb+Pos+Fut+A2pl
evleneceğim	evlen+Verb+Pos+Fut+A1sg
yazacak	yaz+Verb+Pos+Fut+A3sg
yetecek	yet+Verb+Pos+Fut+A3sg
çözümleyeceğim	çözümle+Verb+Pos+Fut+A1sg
yetişmeyecek	yetiş+Verb+Neg+Fut+A3sg
çıkacağım	çık+Verb+Pos+Fut+A1sg
koyacağım	koy+Verb+Pos+Fut+A1sg
basacak	bas+Verb+Pos+Fut+A3sg
ayıracak	ayır+Verb+Pos+Fut+A3sg
koşacak	koş+Verb+Pos+Fut+A3sg
getirecek	getir+Verb+Pos+Fut+A3sg
saklayacağım	sakla+Verb+Pos+Fut+A1sg
kanacak	kan+Verb+Pos+Fut+A3sg
olacağız	ol+Verb+Pos+Fut+A1pl
gelmeyeceksin	gel+Verb+Neg+Fut+A2sg
aktaracağım	aktar+Verb+Pos+Fut+A1sg
oturmayacağım	otur+Verb+Neg+Fut+A1sg
içecekler	iç+Verb+Pos+Fut+A3pl
göndereceğim	gönder+Verb+Pos+Fut+A1sg
vazgeçecek	vazgeç+Verb+Pos+Fut+A3sg
göreceğim	gör+Verb+Pos+Fut+A1sg
sürükleyecek	sürükle+Verb+Pos+Fut+A3sg
olmayacağım	ol+Verb+Neg+Fut+A1sg
yapmış	yap+Verb+Pos+Narr+A3sg
eskimiş	eski+Verb+Pos+Narr+A3sg
yıpranmış	yıpran+Verb+Pos+Narr+A3sg
kalmış	kal+Verb+Pos+Narr+A3sg
evlenmiş	evlen+Verb+Pos+Narr+A3sg
doğmuş	doğ+Verb+Pos+Narr+A3sg
karşılaşmış	karşılaş+Verb+Pos+Narr+A3sg
girmiş	gir+Verb+Pos+Narr+A3sg
yaratmış	yarat+Verb+Pos+Narr+A3sg
gelmiş	gel+Verb+Pos+Narr+A3sg
değişmiş	değiş+Verb+Pos+Narr+A3sg
beğenmiş	beğen+Verb+Pos+Narr+A3sg
duymamış	duy+Verb+Neg+Narr+A3sg
değilmiş	değil+Verb+Neg+Narr+A3sg
yemiş	ye+Verb+Pos+Narr+A3sg
etmişler	et+Verb+Pos+Narr+A3pl
dikmiş	dik+Verb+Pos+Narr+A3sg
coşmuş	coş+Verb+Pos+Narr+A3sg
sevmemiş	sev+Verb+Neg+Narr+A3sg
sıkmış	sık+Verb+Pos+Narr+A3sg
duymuş	duy+Verb+Pos+Narr+A3sg
öğrenmiş	öğren+Verb+Pos+Narr+A3sg
görmüş	gör+Verb+Pos+Narr+A3sg
bırakmamışsınız	bırak+Verb+Neg+Narr+A2pl
dinlemişsiniz	dinle+Verb+Pos+Narr+A2pl
sormuş	sor+Verb+Pos+Narr+A3sg
kalmamış	kal+Verb+Neg+Narr+A3sg
yanılmamışım	yanıl+Verb+Neg+Narr+A1sg
inanmış	inan+Verb+Pos+Narr+A3sg
etmiş	et+Verb+Pos+Narr+A3sg
emretmemiş	emret+Verb+Neg+Narr+A3sg
çıkmış	çık+Verb+Pos+Narr+A3sg
almış	al+Verb+Pos+Narr+A3sg
yetişmemiş	yetiş+Verb+Neg+Narr+A3sg
kaybetmiş	kaybet+Verb+Pos+Narr+A3sg
yatmış	yat+Verb+Pos+Narr+A3sg
çiğnemiş	çiğne+Verb+Pos+Narr+A3sg
anlamış	anla+Verb+Pos+Narr+A3sg
uyanmış	uyan+Verb+Pos+Narr+A3sg
kaçmış	kaç+Verb+Pos+Narr+A3sg
durmamış	dur+Verb+Neg+Narr+A3sg
etmemiş	et+Verb+Neg+Narr+A3sg
gözetlemiş	gözetle+Verb+Pos+Narr+A3sg
becermiş	becer+Verb+Pos+Narr+A3sg
alışmış	alış+Verb+Pos+Narr+A3sg
çalmışlar	çal+Verb+Pos+Narr+A3pl
acımamışlar	acı+Verb+Neg+Narr+A3pl
boyamışlar	boya+Verb+Pos+Narr+A3pl
kalkmış	kalk+Verb+Pos+Narr+A3sg
dönmüş	dön+Verb+Pos+Narr+A3sg
dağılmış	dağıl+Verb+Pos+Narr+A3sg
yaklaşmış	yaklaş+Verb+Pos+Narr+A3sg
kesmiş	kes+Verb+Pos+Narr+A3sg
yakalamış	yakala+Verb+Pos+Narr+A3sg
sersemlemiş	sersemle+Verb+Pos+Narr+A3sg
ürpermiş	ürper+Verb+Pos+Narr+A3sg
uzamış	uza+Verb+Pos+Narr+A3sg
kaybolmuş	kaybol+Verb+Pos+Narr+A3sg
oturmuş	otur+Verb+Pos+Narr+A3sg
eğmiş	eğ+Verb+Pos+Narr+A3sg
bıkmış	bık+Verb+Pos+Narr+A3sg
usanmış	usan+Verb+Pos+Narr+A3sg
karışmış	karış+Verb+Pos+Narr+A3sg
kaplamış	kapla+Verb+Pos+Narr+A3sg
tutmuş	tut+Verb+Pos+Narr+A3sg
kısmış	kıs+Verb+Pos+Narr+A3sg
unutmuş	unut+Verb+Pos+Narr+A3sg
uzamışsın	uza+Verb+Pos+Narr+A2sg
gelmişsin	gel+Verb+Pos+Narr+A2sg
yakışmışlar	yakış+Verb+Pos+Narr+A3pl
uymuşlar	uy+Verb+Pos+Narr+A3pl
dalmış	dal+Verb+Pos+Narr+A3sg
yormuş	yor+Verb+Pos+Narr+A3sg
imiş	i+Verb+Pos+Narr+A3sg
azmış	az+Verb+Pos+Narr+A3sg
buruşmuş	buruş+Verb+Pos+Narr+A3sg
vurmuş	vur+Verb+Pos+Narr+A3sg
sarkmış	sark+Verb+Pos+Narr+A3sg
yönelmiş	yönel+Verb+Pos+Narr+A3sg
bırakmış	bırak+Verb+Pos+Narr+A3sg
konuşmuş	konuş+Verb+Pos+Narr+A3sg
işlemiş	işle+Verb+Pos+Narr+A3sg
vermiş	ver+Verb+Pos+Narr+A3sg
yapışmış	yapış+Verb+Pos+Narr+A3sg
duymuşlar	duy+Verb+Pos+Narr+A3pl
sanmış	san+Verb+Pos+Narr+A3sg
düşmüş	düş+Verb+Pos+Narr+A3sg
bulaşmış	bulaş+Verb+Pos+Narr+A3sg
susamış	susa+Verb+Pos+Narr+A3sg
giymiş	giy+Verb+Pos+Narr+A3sg
morarmış	morar+Verb+Pos+Narr+A3sg
istemiş	iste+Verb+Pos+Narr+A3sg
gitmiş	git+Verb+Pos+Narr+A3sg
tasarlamış	tasarla+Verb+Pos+Narr+A3sg
bulunmuş	bulun+Verb+Pos+Narr+A3sg
aydınlanmış	aydınlan+Verb+Pos+Narr+A3sg
oynamış	oyna+Verb+Pos+Narr+A3sg
sapmış	sap+Verb+Pos+Narr+A3sg
uğramış	uğra+Verb+Pos+Narr+A3sg
tanımlamış	tanımla+Verb+Pos+Narr+A3sg
kullanmış	kullan+Verb+Pos+Narr+A3sg
birikmiş	birik+Verb+Pos+Narr+A3sg
batmış	bat+Verb+Pos+Narr+A3sg
içmişler	iç+Verb+Pos+Narr+A3pl
kaldırmış	kaldır+Verb+Pos+Narr+A3sg
almamış	al+Verb+Neg+Narr+A3sg
yasaklamış	yasakla+Verb+Pos+Narr+A3sg
dayamış	daya+Verb+Pos+Narr+A3sg
solmuş	sol+Verb+Pos+Narr+A3sg
artmış	art+Verb+Pos+Narr+A3sg
vazgeçmiş	vazgeç+Verb+Pos+Narr+A3sg
ölmüş	öl+Verb+Pos+Narr+A3sg
uyuşmuş	uyuş+Verb+Pos+Narr+A3sg
büyütmüş	büyüt+Verb+Pos+Narr+A3sg
varmışız	var+Verb+Pos+Narr+A1pl
kaykılmış	kaykıl+Verb+Pos+Narr+A3sg
olmuşsunuz	ol+Verb+Pos+Narr+A2pl
harcamış	harca+Verb+Pos+Narr+A3sg
davranmışım	davran+Verb+Pos+Narr+A1sg
erimiş	eri+Verb+Pos+Narr+A3sg
çökmüş	çök+Verb+Pos+Narr+A3sg
okumuş	oku+Verb+Pos+Narr+A3sg
işitmiş	işit+Verb+Pos+Narr+A3sg
götürmüş	götür+Verb+Pos+Narr+A3sg
olmuşsun	ol+Verb+Pos+Narr+A2sg
afallamış	afalla+Verb+Pos+Narr+A3sg
atmış	at+Verb+Pos+Narr+A3sg
sönmüş	sön+Verb+Pos+Narr+A3sg
uyumuş	uyu+Verb+Pos+Narr+A3sg
yazmış	yaz+Verb+Pos+Narr+A3sg
dönmüşler	dön+Verb+Pos+Narr+A3pl
gevşemiş	gevşe+Verb+Pos+Narr+A3sg
çıldırmış	çıldır+Verb+Pos+Narr+A3sg
tanımamış	tanı+Verb+Neg+Narr+A3sg
değişmişsin	değiş+Verb+Pos+Narr+A2sg
kalkmışlar	kalk+Verb+Pos+Narr+A3pl
girmemiş	gir+Verb+Neg+Narr+A3sg
değmemiş	değ+Verb+Neg+Narr+A3sg
sıkışmış	sıkış+Verb+Pos+Narr+A3sg
anlamamış	anla+Verb+Neg+Narr+A3sg
kırışmış	kırış+Verb+Pos+Narr+A3sg
ilgilenmiş	ilgilen+Verb+Pos+Narr+A3sg
ödemiş	öde+Verb+Pos+Narr+A3sg
içmiş	iç+Verb+Pos+Narr+A3sg
boşalmış	boşal+Verb+Pos+Narr+A3sg
mahvolmuş	mahvol+Verb+Pos+Narr+A3sg
anlamışsınız	anla+Verb+Pos+Narr+A2pl
yatmamış	yat+Verb+Neg+Narr+A3sg
çekmemiş	çek+Verb+Neg+Narr+A3sg
çarpmış	çarp+Verb+Pos+Narr+A3sg
demiş	de+Verb+Pos+Narr+A3sg
asmış	as+Verb+Pos+Narr+A3sg
dönüşmüş	dönüş+Verb+Pos+Narr+A3sg
çalmamış	çal+Verb+Neg+Narr+A3sg
beklemiş	bekle+Verb+Pos+Narr+A3sg
edinmiş	edin+Verb+Pos+Narr+A3sg
söylemiş	söyle+Verb+Pos+Narr+A3sg
okumamış	oku+Verb+Neg+Narr+A3sg
durmuş	dur+Verb+Pos+Narr+A3sg
tutunmuş	tutun+Verb+Pos+Narr+A3sg
sezmiş	sez+Verb+Pos+Narr+A3sg
gömmüş	göm+Verb+Pos+Narr+A3sg
sıçramış	sıçra+Verb+Pos+Narr+A3sg
çürümüş	çürü+Verb+Pos+Narr+A3sg
donmuş	don+Verb+Pos+Narr+A3sg
dilemiş	dile+Verb+Pos+Narr+A3sg
istememiş	iste+Verb+Neg+Narr+A3sg
sürüklemiş	sürükle+Verb+Pos+Narr+A3sg
bağlamış	bağla+Verb+Pos+Narr+A3sg
saklamış	sakla+Verb+Pos+Narr+A3sg
üstlenmiş	üstlen+Verb+Pos+Narr+A3sg
bulmuş	bul+Verb+Pos+Narr+A3sg
çekmiş	çek+Verb+Pos+Narr+A3sg
uyumamış	uyu+Verb+Neg+Narr+A3sg
çözmüş	çöz+Verb+Pos+Narr+A3sg
tanımamışım	tanı+Verb+Neg+Narr+A1sg
etkilemiş	etkile+Verb+Pos+Narr+A3sg
sivrilmiş	sivril+Verb+Pos+Narr+A3sg
incelmiş	incel+Verb+Pos+Narr+A3sg
arınmış	arın+Verb+Pos+Narr+A3sg
benimsemiş	benimse+Verb+Pos+Narr+A3sg
dinlemiş	dinle+Verb+Pos+Narr+A3sg
dirilmiş	diril+Verb+Pos+Narr+A3sg
örtmüş	ört+Verb+Pos+Narr+A3sg
boşvermiş	boşver+Verb+Pos+Narr+A3sg
aşmış	aş+Verb+Pos+Narr+A3sg
terlemiş	terle+Verb+Pos+Narr+A3sg
göndermişler	gönder+Verb+Pos+Narr+A3pl
erişmiş	eriş+Verb+Pos+Narr+A3sg
bitmemiş	bit+Verb+Neg+Narr+A3sg
yanmış	yan+Verb+Pos+Narr+A3sg
sevmiş	sev+Verb+Pos+Narr+A3sg
fısıldamış	fısılda+Verb+Pos+Narr+A3sg
göçmüş	göç+Verb+Pos+Narr+A3sg
arıtmış	arıt+Verb+Pos+Narr+A3sg
açmış	aç+Verb+Pos+Narr+A3sg
seçmiş	seç+Verb+Pos+Narr+A3sg
dışlamış	dışla+Verb+Pos+Narr+A3sg
oluşmuş	oluş+Verb+Pos+Narr+A3sg
devralmış	devral+Verb+Pos+Narr+A3sg
