bulunuyor	bulun+Verb+Pos+Prog1+A3sg
değişiyor	değiş+Verb+Pos+Prog1+A3sg
öneriyor	öner+Verb+Pos+Prog1+A3sg
öneriyoruz	öner+Verb+Pos+Prog1+A1pl
yatıyorlar	yat+Verb+Pos+Prog1+A3pl
sızıyor	sız+Verb+Pos+Prog1+A3sg
dalıyorum	dala+Verb+Pos+Prog1+A1sg
uğurluyorlar	uğurla+Verb+Pos+Prog1+A3pl
çıkıyorum	çık+Verb+Pos+Prog1+A1sg
kararıyor	karar+Verb+Pos+Prog1+A3sg
cevaplıyor	cevapla+Verb+Pos+Prog1+A3sg
planlıyoruz	planla+Verb+Pos+Prog1+A1pl
kuşatıyor	kuşat+Verb+Pos+Prog1+A3sg
oluşmuyor	oluş+Verb+Neg+Prog1+A3sg
istiyoruz	iste+Verb+Pos+Prog1+A1pl
bürünüyor	bürün+Verb+Pos+Prog1+A3sg
dolaşıyorlar	dolaş+Verb+Pos+Prog1+A3pl
ısınıyor	ısın+Verb+Pos+Prog1+A3sg
işliyor	işle+Verb+Pos+Prog1+A3sg
yetişiyor	yetiş+Verb+Pos+Prog1+A3sg
uçuyor	uç+Verb+Pos+Prog1+A3sg
haberleşiyor	haberleş+Verb+Pos+Prog1+A3sg
paylaşıyorlar	paylaş+Verb+Pos+Prog1+A3pl
götürüyor	götür+Verb+Pos+Prog1+A3sg
varıyor	var+Verb+Pos+Prog1+A3sg
yürüyorsunuz	yürü+Verb+Pos+Prog1+A2pl
varıyorsunuz	var+Verb+Pos+Prog1+A2pl
serpiyor	serp+Verb+Pos+Prog1+A3sg
oyuyor	oy+Verb+Pos+Prog1+A3sg
temizliyor	temizle+Verb+Pos+Prog1+A3sg
çıkıyorlar	çık+Verb+Pos+Prog1+A3pl
arıyorlar	ara+Verb+Pos+Prog1+A3pl
bırakıyorlar	bırak+Verb+Pos+Prog1+A3pl
kazıyor	kaz+Verb+Pos+Prog1+A3sg
terkediyorlar	terket+Verb+Pos+Prog1+A3pl
kuruyor	kur+Verb+Pos+Prog1+A3sg
övünüyorlar	övün+Verb+Pos+Prog1+A3pl
düzenliyor	düzenle+Verb+Pos+Prog1+A3sg
uğruyorlar	uğra+Verb+Pos+Prog1+A3pl
demirliyor	demirle+Verb+Pos+Prog1+A3sg
doluyor	dola+Verb+Pos+Prog1+A3sg
oluşuyor	oluş+Verb+Pos+Prog1+A3sg
önlüyor	önle+Verb+Pos+Prog1+A3sg
kızıyor	kız+Verb+Pos+Prog1+A3sg
dağılıyor	dağıl+Verb+Pos+Prog1+A3sg
yapmıyor	yap+Verb+Neg+Prog1+A3sg
yaratıyor	yarat+Verb+Pos+Prog1+A3sg
yadırgıyoruz	yadırga+Verb+Pos+Prog1+A1pl
düşünüyoruz	düşün+Verb+Pos+Prog1+A1pl
gölgeliyorlar	gölgele+Verb+Pos+Prog1+A3pl
dinlemiyorlar	dinle+Verb+Neg+Prog1+A3pl
karşılıyor	karşıla+Verb+Pos+Prog1+A3sg
kapsıyor	kapsa+Verb+Pos+Prog1+A3sg
içiyorlar	iç+Verb+Pos+Prog1+A3pl
konuşuyorlar	konuş+Verb+Pos+Prog1+A3pl
bırakmıyorlar	bırak+Verb+Neg+Prog1+A3pl
oturuyorum	otur+Verb+Pos+Prog1+A1sg
geçiyorlar	geç+Verb+Pos+Prog1+A3pl
sekiyor	sek+Verb+Pos+Prog1+A3sg
dalıyorsunuz	dala+Verb+Pos+Prog1+A2pl
bağırıyor	bağır+Verb+Pos+Prog1+A3sg
sanıyorsun	san+Verb+Pos+Prog1+A2sg
kokmuyor	kok+Verb+Neg+Prog1+A3sg
kuruyorum	kur+Verb+Pos+Prog1+A1sg
ağrımıyor	ağrı+Verb+Neg+Prog1+A3sg
kucaklıyorum	kucakla+Verb+Pos+Prog1+A1sg
utanıyorum	utan+Verb+Pos+Prog1+A1sg
gitmiyor	git+Verb+Neg+Prog1+A3sg
yüzüyorsunuz	yüz+Verb+Pos+Prog1+A2pl
yüzüyorsun	yüz+Verb+Pos+Prog1+A2sg
izliyorum	izle+Verb+Pos+Prog1+A1sg
kilitliyor	kilitle+Verb+Pos+Prog1+A3sg
engelliyorlar	engelle+Verb+Pos+Prog1+A3pl
ödemiyorlar	öde+Verb+Neg+Prog1+A3pl
söylemiyor	söyle+Verb+Neg+Prog1+A3sg
durmuyor	dur+Verb+Neg+Prog1+A3sg
istemiyorlar	iste+Verb+Neg+Prog1+A3pl
artıyor	art+Verb+Pos+Prog1+A3sg
geziyorlar	gez+Verb+Pos+Prog1+A3pl
inanıyoruz	inan+Verb+Pos+Prog1+A1pl
diyoruz	de+Verb+Pos+Prog1+A1pl
gidiyorsun	git+Verb+Pos+Prog1+A2sg
savaşıyor	savaş+Verb+Pos+Prog1+A3sg
çalışıyorsun	çalış+Verb+Pos+Prog1+A2sg
oluyorsun	ol+Verb+Pos+Prog1+A2sg
hazırlamıyorsun	hazırla+Verb+Neg+Prog1+A2sg
çıkıyorsun	çık+Verb+Pos+Prog1+A2sg
yapmıyorsun	yap+Verb+Neg+Prog1+A2sg
yazıyorum	yaz+Verb+Pos+Prog1+A1sg
kutluyorum	kutla+Verb+Pos+Prog1+A1sg
unutuyor	unut+Verb+Pos+Prog1+A3sg
kazanıyoruz	kazan+Verb+Pos+Prog1+A1pl
itiyorlar	it+Verb+Pos+Prog1+A3pl
gözlüyor	gözle+Verb+Pos+Prog1+A3sg
bitiyor	bit+Verb+Pos+Prog1+A3sg
kaynıyor	kayna+Verb+Pos+Prog1+A3sg
götürüyorlar	götür+Verb+Pos+Prog1+A3pl
giriyorlar	gir+Verb+Pos+Prog1+A3pl
seyrediyorum	seyret+Verb+Pos+Prog1+A1sg
bitmiyor	bit+Verb+Neg+Prog1+A3sg
başlamıyor	başla+Verb+Neg+Prog1+A3sg
koyuyorum	koy+Verb+Pos+Prog1+A1sg
yaratmıyor	yarat+Verb+Neg+Prog1+A3sg
kullanıyorsun	kullan+Verb+Pos+Prog1+A2sg
kaçıyorsun	kaç+Verb+Pos+Prog1+A2sg
olmuyorsun	ol+Verb+Neg+Prog1+A2sg
geçmiyor	geç+Verb+Neg+Prog1+A3sg
yineliyorsunuz	yinele+Verb+Pos+Prog1+A2pl
çekiyorlar	çek+Verb+Pos+Prog1+A3pl
yiyoruz	ye+Verb+Pos+Prog1+A1pl
bağlıyoruz	bağla+Verb+Pos+Prog1+A1pl
alıyoruz	al+Verb+Pos+Prog1+A1pl
düşüyor	düş+Verb+Pos+Prog1+A3sg
etkiliyorlar	etkile+Verb+Pos+Prog1+A3pl
oynuyoruz	oyna+Verb+Pos+Prog1+A1pl
oynamıyorlar	oyna+Verb+Neg+Prog1+A3pl
etmiyor	et+Verb+Neg+Prog1+A3sg
gözüküyorlar	gözük+Verb+Pos+Prog1+A3pl
oynamıyor	oyna+Verb+Neg+Prog1+A3sg
uzuyor	uza+Verb+Pos+Prog1+A3sg
yaralıyor	yarala+Verb+Pos+Prog1+A3sg
hedefliyor	hedefle+Verb+Pos+Prog1+A3sg
düşüyorlar	düş+Verb+Pos+Prog1+A3pl
koyuyor	koy+Verb+Pos+Prog1+A3sg
hedefliyorlar	hedefle+Verb+Pos+Prog1+A3pl
giyiyor	giy+Verb+Pos+Prog1+A3sg
kalıyorlar	kal+Verb+Pos+Prog1+A3pl
vurguluyor	vurgula+Verb+Pos+Prog1+A3sg
açıklıyor	açıkla+Verb+Pos+Prog1+A3sg
gitmiyorsunuz	git+Verb+Neg+Prog1+A2pl
çalıyorsunuz	çal+Verb+Pos+Prog1+A2pl
suçluyor	suçla+Verb+Pos+Prog1+A3sg
sızlamıyor	sızla+Verb+Neg+Prog1+A3sg
sırıtıyorlar	sırıt+Verb+Pos+Prog1+A3pl
katlediyorlar	katlet+Verb+Pos+Prog1+A3pl
uğruyoruz	uğra+Verb+Pos+Prog1+A1pl
dönüyoruz	dön+Verb+Pos+Prog1+A1pl
katlanıyor	katlan+Verb+Pos+Prog1+A3sg
öğreniyoruz	öğren+Verb+Pos+Prog1+A1pl
kesmiyor	kes+Verb+Neg+Prog1+A3sg
benzemiyor	benze+Verb+Neg+Prog1+A3sg
vurmuyor	vur+Verb+Neg+Prog1+A3sg
döküyor	dök+Verb+Pos+Prog1+A3sg
araştırıyoruz	araştır+Verb+Pos+Prog1+A1pl
çalışıyoruz	çalış+Verb+Pos+Prog1+A1pl
girmiyor	gir+Verb+Neg+Prog1+A3sg
uyarmıyor	uyar+Verb+Neg+Prog1+A3sg
okuyoruz	oku+Verb+Pos+Prog1+A1pl
uyarıyoruz	uyar+Verb+Pos+Prog1+A1pl
kesiyoruz	kes+Verb+Pos+Prog1+A1pl
veriyoruz	ver+Verb+Pos+Prog1+A1pl
gönderiyoruz	gönder+Verb+Pos+Prog1+A1pl
yayınlıyorum	yayınla+Verb+Pos+Prog1+A1sg
uğraşıyor	uğraş+Verb+Pos+Prog1+A3sg
tanımıyoruz	tanı+Verb+Neg+Prog1+A1pl
satmıyor	sat+Verb+Neg+Prog1+A3sg
dayanmıyor	dayan+Verb+Neg+Prog1+A3sg
biniyor	bin+Verb+Pos+Prog1+A3sg
tartışıyoruz	tartış+Verb+Pos+Prog1+A1pl
batmıyor	bat+Verb+Neg+Prog1+A3sg
tanımlıyor	tanımla+Verb+Pos+Prog1+A3sg
kovalıyor	kovala+Verb+Pos+Prog1+A3sg
ayarlıyor	ayarla+Verb+Pos+Prog1+A3sg
indirgiyor	indirge+Verb+Pos+Prog1+A3sg
ölmüyor	öl+Verb+Neg+Prog1+A3sg
bağırıyorum	bağır+Verb+Pos+Prog1+A1sg
uğraşıyorum	uğraş+Verb+Pos+Prog1+A1sg
dinliyorum	dinle+Verb+Pos+Prog1+A1sg
inanmıyor	inan+Verb+Neg+Prog1+A3sg
kesiyorlar	kes+Verb+Pos+Prog1+A3pl
sokmuyorlar	sok+Verb+Neg+Prog1+A3pl
etmiyoruz	et+Verb+Neg+Prog1+A1pl
tutuyorlar	tut+Verb+Pos+Prog1+A3pl
uğraşıyoruz	uğraş+Verb+Pos+Prog1+A1pl
kullanıyorlar	kullan+Verb+Pos+Prog1+A3pl
ilerliyor	ilerle+Verb+Pos+Prog1+A3sg
konuşmuyor	konuş+Verb+Neg+Prog1+A3sg
güveniyor	güven+Verb+Pos+Prog1+A3sg
gösteriyorlar	göster+Verb+Pos+Prog1+A3pl
ödüyor	öde+Verb+Pos+Prog1+A3sg
gözüküyor	gözük+Verb+Pos+Prog1+A3sg
kızarıyor	kızar+Verb+Pos+Prog1+A3sg
görmüyorlar	gör+Verb+Neg+Prog1+A3pl
yalanlıyor	yalanla+Verb+Pos+Prog1+A3sg
uyarıyor	uyar+Verb+Pos+Prog1+A3sg
bilmiyorlar	bil+Verb+Neg+Prog1+A3pl
bahsetmiyorsun	bahset+Verb+Neg+Prog1+A2sg
değişiyorsunuz	değiş+Verb+Pos+Prog1+A2pl
tetikliyor	tetikle+Verb+Pos+Prog1+A3sg
yöneliyorum	yönel+Verb+Pos+Prog1+A1sg
çekiyorum	çek+Verb+Pos+Prog1+A1sg
kopuyor	kop+Verb+Pos+Prog1+A3sg
oluyorsunuz	ol+Verb+Pos+Prog1+A2pl
başlıyorsunuz	başla+Verb+Pos+Prog1+A2pl
çalışmıyorlar	çalış+Verb+Neg+Prog1+A3pl
belirliyor	belirle+Verb+Pos+Prog1+A3sg
saptıyorlar	sapta+Verb+Pos+Prog1+A3pl
savunuyor	savun+Verb+Pos+Prog1+A3sg
çağırıyorlar	çağır+Verb+Pos+Prog1+A3pl
harcıyoruz	harca+Verb+Pos+Prog1+A1pl
copluyor	copla+Verb+Pos+Prog1+A3sg
kırıyorlar	kır+Verb+Pos+Prog1+A3pl
güvenmiyor	güven+Verb+Neg+Prog1+A3sg
destekliyor	destekle+Verb+Pos+Prog1+A3sg
çalıyorlar	çal+Verb+Pos+Prog1+A3pl
ulaşıyorsun	ulaş+Verb+Pos+Prog1+A2sg
direniyor	diren+Verb+Pos+Prog1+A3sg
özetliyoruz	özetle+Verb+Pos+Prog1+A1pl
ekiyorum	ek+Verb+Pos+Prog1+A1sg
bozmuyor	boz+Verb+Neg+Prog1+A3sg
konuşuyoruz	konuş+Verb+Pos+Prog1+A1pl
uyarıyorlar	uyar+Verb+Pos+Prog1+A3pl
ilgilenmiyor	ilgilen+Verb+Neg+Prog1+A3sg
ulaşıyorlar	ulaş+Verb+Pos+Prog1+A3pl
taşıyoruz	taş+Verb+Pos+Prog1+A1pl
gitmiyorlar	git+Verb+Neg+Prog1+A3pl
davranıyorlar	davran+Verb+Pos+Prog1+A3pl
sergiliyor	sergile+Verb+Pos+Prog1+A3sg
paylaşıyoruz	paylaş+Verb+Pos+Prog1+A1pl
reddediyor	reddet+Verb+Pos+Prog1+A3sg
soyutluyor	soyutla+Verb+Pos+Prog1+A3sg
yaşıyorsunuz	yaşa+Verb+Pos+Prog1+A2pl
ekliyorlar	ekle+Verb+Pos+Prog1+A3pl
başvuruyor	başvur+Verb+Pos+Prog1+A3sg
güveniyoruz	güven+Verb+Pos+Prog1+A1pl
seçiyor	seç+Verb+Pos+Prog1+A3sg
açmıyor	aç+Verb+Neg+Prog1+A3sg
seçiyorlar	seç+Verb+Pos+Prog1+A3pl
düşmüyor	düş+Verb+Neg+Prog1+A3sg
vurguluyorlar	vurgula+Verb+Pos+Prog1+A3pl
istemiyorsunuz	iste+Verb+Neg+Prog1+A2pl
izliyorsunuz	izle+Verb+Pos+Prog1+A2pl
boyuyor	boya+Verb+Pos+Prog1+A3sg
seviyorlar	sev+Verb+Pos+Prog1+A3pl
iniyor	in+Verb+Pos+Prog1+A3sg
yorumluyor	yorumla+Verb+Pos+Prog1+A3sg
oynuyorum	oyna+Verb+Pos+Prog1+A1sg
büyüyorum	büyü+Verb+Pos+Prog1+A1sg
bayılıyorum	bayıl+Verb+Pos+Prog1+A1sg
beğenmiyorum	beğen+Verb+Neg+Prog1+A1sg
beğenmiyor	beğen+Verb+Neg+Prog1+A3sg
sorguluyor	sorgula+Verb+Pos+Prog1+A3sg
giyiyorum	giy+Verb+Pos+Prog1+A1sg
bağlıyorum	bağla+Verb+Pos+Prog1+A1sg
giymiyorum	giy+Verb+Neg+Prog1+A1sg
seçiyorum	seç+Verb+Pos+Prog1+A1sg
takıyorum	tak+Verb+Pos+Prog1+A1sg
şişmanlıyorum	şişmanla+Verb+Pos+Prog1+A1sg
tartışıyor	tartış+Verb+Pos+Prog1+A3sg
uyumuyor	uyu+Verb+Neg+Prog1+A3sg
kalıyorum	kal+Verb+Pos+Prog1+A1sg
ilgileniyorsun	ilgilen+Verb+Pos+Prog1+A2sg
kaplıyor	kapla+Verb+Pos+Prog1+A3sg
gizlemiyor	gizle+Verb+Neg+Prog1+A3sg
kazanıyorsunuz	kazan+Verb+Pos+Prog1+A2pl
yıpratıyor	yıprat+Verb+Pos+Prog1+A3sg
tüketmiyor	tüket+Verb+Neg+Prog1+A3sg
etkilemiyor	etkile+Verb+Neg+Prog1+A3sg
götürüyorum	götür+Verb+Pos+Prog1+A1sg
havlıyorlar	havla+Verb+Pos+Prog1+A3pl
giriyoruz	gir+Verb+Pos+Prog1+A1pl
çiziyor	çiz+Verb+Pos+Prog1+A3sg
paylaşıyor	paylaş+Verb+Pos+Prog1+A3sg
ayıklıyor	ayıkla+Verb+Pos+Prog1+A3sg
savaşıyoruz	savaş+Verb+Pos+Prog1+A1pl
ölüyorsun	öl+Verb+Pos+Prog1+A2sg
sayıklıyor	sayıkla+Verb+Pos+Prog1+A3sg
övünüyor	övün+Verb+Pos+Prog1+A3sg
zannediyorlar	zannet+Verb+Pos+Prog1+A3pl
içiyoruz	iç+Verb+Pos+Prog1+A1pl
yiyorum	ye+Verb+Pos+Prog1+A1sg
patlıyor	patla+Verb+Pos+Prog1+A3sg
çekiyoruz	çek+Verb+Pos+Prog1+A1pl
ilerlemiyor	ilerle+Verb+Neg+Prog1+A3sg
yoluyorum	yol+Verb+Pos+Prog1+A1sg
atmıyor	at+Verb+Neg+Prog1+A3sg
eğleniyorum	eğlen+Verb+Pos+Prog1+A1sg
oturmuyor	otur+Verb+Neg+Prog1+A3sg
tavlıyorsunuz	tavla+Verb+Pos+Prog1+A2pl
tanımlıyorsunuz	tanımla+Verb+Pos+Prog1+A2pl
benziyorlar	benze+Verb+Pos+Prog1+A3pl
koşuyorum	koş+Verb+Pos+Prog1+A1sg
ölüyorum	öl+Verb+Pos+Prog1+A1sg
yazmıyorlar	yaz+Verb+Neg+Prog1+A3pl
yazıyorsunuz	yaz+Verb+Pos+Prog1+A2pl
kullanmıyorlar	kullan+Verb+Neg+Prog1+A3pl
kuruyoruz	kur+Verb+Pos+Prog1+A1pl
kalıyorsun	kal+Verb+Pos+Prog1+A2sg
yazıyorlar	yaz+Verb+Pos+Prog1+A3pl
yutuyorlar	yut+Verb+Pos+Prog1+A3pl
tükenmiyor	tüken+Verb+Neg+Prog1+A3sg
satıyor	sat+Verb+Pos+Prog1+A3sg
terliyor	terle+Verb+Pos+Prog1+A3sg
kıskanıyorlar	kıskan+Verb+Pos+Prog1+A3pl
yiyorlar	ye+Verb+Pos+Prog1+A3pl
koymuyorlar	koy+Verb+Neg+Prog1+A3pl
çekmiyor	çek+Verb+Neg+Prog1+A3sg
tartışıyorlar	tartış+Verb+Pos+Prog1+A3pl
kesiyorum	kes+Verb+Pos+Prog1+A1sg
utanmıyorum	utan+Verb+Neg+Prog1+A1sg
görünüyorsun	görün+Verb+Pos+Prog1+A2sg
zannediyorum	zannet+Verb+Pos+Prog1+A1sg
doğuyor	doğ+Verb+Pos+Prog1+A3sg
yavaşlıyor	yavaşla+Verb+Pos+Prog1+A3sg
hastalanıyor	hastalan+Verb+Pos+Prog1+A3sg
besteliyor	bestele+Verb+Pos+Prog1+A3sg
üstleniyor	üstlen+Verb+Pos+Prog1+A3sg
söylemiyorlar	söyle+Verb+Neg+Prog1+A3pl
tanımlıyorlar	tanımla+Verb+Pos+Prog1+A3pl
görüyorlar	gör+Verb+Pos+Prog1+A3pl
çalıyorum	çal+Verb+Pos+Prog1+A1sg
çalıyoruz	çal+Verb+Pos+Prog1+A1pl
çalmıyorum	çal+Verb+Neg+Prog1+A1sg
olmuyoruz	ol+Verb+Neg+Prog1+A1pl
coşuyoruz	coş+Verb+Pos+Prog1+A1pl
düşünmüyorlar	düşün+Verb+Neg+Prog1+A3pl
hazırlıyoruz	hazırla+Verb+Pos+Prog1+A1pl
kullanıyoruz	kullan+Verb+Pos+Prog1+A1pl
amaçlıyor	amaçla+Verb+Pos+Prog1+A3sg
öğütüyor	öğüt+Verb+Pos+Prog1+A3sg
harcıyorum	harca+Verb+Pos+Prog1+A1sg
eğitiyor	eğit+Verb+Pos+Prog1+A3sg
gerekmiyor	gerek+Verb+Neg+Prog1+A3sg
beklemiyoruz	bekle+Verb+Neg+Prog1+A1pl
kaydediyor	kaydet+Verb+Pos+Prog1+A3sg
değiniyor	değin+Verb+Pos+Prog1+A3sg
öğreniyorlar	öğren+Verb+Pos+Prog1+A3pl
kalıyorsunuz	kal+Verb+Pos+Prog1+A2pl
etmiyorsunuz	et+Verb+Neg+Prog1+A2pl
atlıyor	atla+Verb+Pos+Prog1+A3sg
kurtarıyor	kurtar+Verb+Pos+Prog1+A3sg
aktarıyoruz	aktar+Verb+Pos+Prog1+A1pl
yıpratıyorum	yıprat+Verb+Pos+Prog1+A1sg
çabalıyor	çabala+Verb+Pos+Prog1+A3sg
ekliyor	ekle+Verb+Pos+Prog1+A3sg
harcıyorsunuz	harca+Verb+Pos+Prog1+A2pl
gönderiyorum	gönder+Verb+Pos+Prog1+A1sg
kaçıyor	kaç+Verb+Pos+Prog1+A3sg
kınıyoruz	kına+Verb+Pos+Prog1+A1pl
biçiyor	biç+Verb+Pos+Prog1+A3sg
yazıyoruz	yaz+Verb+Pos+Prog1+A1pl
duyuyoruz	duy+Verb+Pos+Prog1+A1pl
naklediyor	naklet+Verb+Pos+Prog1+A3sg
yakınıyorlar	yakın+Verb+Pos+Prog1+A3pl
almıyorum	al+Verb+Neg+Prog1+A1sg
yürüyor	yürü+Verb+Pos+Prog1+A3sg
yırtıyorlar	yırt+Verb+Pos+Prog1+A3pl
yumuyor	yum+Verb+Pos+Prog1+A3sg
geziniyor	gezin+Verb+Pos+Prog1+A3sg
yöneliyor	yönel+Verb+Pos+Prog1+A3sg
kastediyorsunuz	kastet+Verb+Pos+Prog1+A2pl
görüşüyoruz	görüş+Verb+Pos+Prog1+A1pl
fırlamıyor	fırla+Verb+Neg+Prog1+A3sg
tıkıyor	tıka+Verb+Pos+Prog1+A3sg
yapıyorsun	yap+Verb+Pos+Prog1+A2sg
evleniyor	evlen+Verb+Pos+Prog1+A3sg
uğruyor	uğra+Verb+Pos+Prog1+A3sg
hoşlanmıyor	hoşlan+Verb+Neg+Prog1+A3sg
ödüyorsunuz	öde+Verb+Pos+Prog1+A2pl
göstermiyorlar	göster+Verb+Neg+Prog1+A3pl
küçülüyor	küçül+Verb+Pos+Prog1+A3sg
dönüşmüyor	dönüş+Verb+Neg+Prog1+A3sg
umuyoruz	um+Verb+Pos+Prog1+A1pl
hedefliyoruz	hedefle+Verb+Pos+Prog1+A1pl
çözüyor	çöz+Verb+Pos+Prog1+A3sg
birleşiyor	birleş+Verb+Pos+Prog1+A3sg
yayınlıyoruz	yayınla+Verb+Pos+Prog1+A1pl
kınıyor	kına+Verb+Pos+Prog1+A3sg
bulmuyoruz	bul+Verb+Neg+Prog1+A1pl
kutluyor	kutla+Verb+Pos+Prog1+A3sg
topluyorsunuz	topla+Verb+Pos+Prog1+A2pl
planlıyorsunuz	planla+Verb+Pos+Prog1+A2pl
getirmiyorum	getir+Verb+Neg+Prog1+A1sg
beğeniyor	beğen+Verb+Pos+Prog1+A3sg
yorumluyorum	yorumla+Verb+Pos+Prog1+A1sg
süslüyor	süsle+Verb+Pos+Prog1+A3sg
hoşlanmıyorum	hoşlan+Verb+Neg+Prog1+A1sg
katıyorlar	kat+Verb+Pos+Prog1+A3pl
tanıyorlar	tanı+Verb+Pos+Prog1+A3pl
sağlıyoruz	sağla+Verb+Pos+Prog1+A1pl
duyuyorlar	duy+Verb+Pos+Prog1+A3pl
hicvediyor	hicvet+Verb+Pos+Prog1+A3sg
koyuyorlar	koy+Verb+Pos+Prog1+A3pl
saçmalıyorlar	saçmala+Verb+Pos+Prog1+A3pl
algılıyor	algıla+Verb+Pos+Prog1+A3sg
tohumluyorlar	tohumla+Verb+Pos+Prog1+A3pl
başlıyorlar	başla+Verb+Pos+Prog1+A3pl
genişliyor	genişle+Verb+Pos+Prog1+A3sg
yolluyorlar	yolla+Verb+Pos+Prog1+A3pl
simgeliyor	simgele+Verb+Pos+Prog1+A3sg
anımsıyorum	anımsa+Verb+Pos+Prog1+A1sg
anımsamıyorum	anımsa+Verb+Neg+Prog1+A1sg
çeviriyorum	çevir+Verb+Pos+Prog1+A1sg
dönüyorlar	dön+Verb+Pos+Prog1+A3pl
ütüyor	üt+Verb+Pos+Prog1+A3sg
ışıyor	ışı+Verb+Pos+Prog1+A3sg
görüyorsun	gör+Verb+Pos+Prog1+A2sg
yarışıyor	yarış+Verb+Pos+Prog1+A3sg
hazırlıyorlar	hazırla+Verb+Pos+Prog1+A3pl
vazgeçmiyoruz	vazgeç+Verb+Neg+Prog1+A1pl
açıyoruz	aç+Verb+Pos+Prog1+A1pl
açıklıyoruz	açıkla+Verb+Pos+Prog1+A1pl
engellemiyor	engelle+Verb+Neg+Prog1+A3sg
garantiliyor	garantile+Verb+Pos+Prog1+A3sg
ödüyorum	öde+Verb+Pos+Prog1+A1sg
düşlüyor	düşle+Verb+Pos+Prog1+A3sg
yakınıyor	yakın+Verb+Pos+Prog1+A3sg
araştırıyorum	araştır+Verb+Pos+Prog1+A1sg
çağrılıyor	çağrıl+Verb+Pos+Prog1+A3sg
siliyorlar	sil+Verb+Pos+Prog1+A3pl
özetliyorum	özetle+Verb+Pos+Prog1+A1sg
değinmiyor	değin+Verb+Neg+Prog1+A3sg
gönderiyorlar	gönder+Verb+Pos+Prog1+A3pl
kızmıyorum	kız+Verb+Neg+Prog1+A1sg
kaybediyorlar	kaybet+Verb+Pos+Prog1+A3pl
yönetiyorlar	yönet+Verb+Pos+Prog1+A3pl
uçuyorsunuz	uç+Verb+Pos+Prog1+A2pl
bahsediyorlar	bahset+Verb+Pos+Prog1+A3pl
kolluyorlar	kolla+Verb+Pos+Prog1+A3pl
birikiyor	birik+Verb+Pos+Prog1+A3sg
kayıyor	kay+Verb+Pos+Prog1+A3sg
yemiyorum	ye+Verb+Neg+Prog1+A1sg
tamamlıyor	tamamla+Verb+Pos+Prog1+A3sg
aramıyor	ara+Verb+Neg+Prog1+A3sg
davranmıyor	davran+Verb+Neg+Prog1+A3sg
çatmıyor	çat+Verb+Neg+Prog1+A3sg
yatmıyor	yat+Verb+Neg+Prog1+A3sg
seyrediyorlar	seyret+Verb+Pos+Prog1+A3pl
izliyoruz	izle+Verb+Pos+Prog1+A1pl
planlıyor	planla+Verb+Pos+Prog1+A3sg
kılıyorum	kıl+Verb+Pos+Prog1+A1sg
demiyorum	de+Verb+Neg+Prog1+A1sg
yerleşiyoruz	yerleş+Verb+Pos+Prog1+A1pl
yerleşiyor	yerleş+Verb+Pos+Prog1+A3sg
çöküyor	çök+Verb+Pos+Prog1+A3sg
geçiyorum	geç+Verb+Pos+Prog1+A1sg
zedeliyorlar	zedele+Verb+Pos+Prog1+A3pl
uyarıyorum	uyar+Verb+Pos+Prog1+A1sg
anlıyoruz	anla+Verb+Pos+Prog1+A1pl
suçlamıyor	suçla+Verb+Neg+Prog1+A3sg
iletiyor	ilet+Verb+Pos+Prog1+A3sg
sokuyor	sok+Verb+Pos+Prog1+A3sg
savunuyorum	savun+Verb+Pos+Prog1+A1sg
özlüyor	özle+Verb+Pos+Prog1+A3sg
gelişiyor	geliş+Verb+Pos+Prog1+A3sg
evleniyorlar	evlen+Verb+Pos+Prog1+A3pl
kastediyorum	kastet+Verb+Pos+Prog1+A1sg
sanıyorlar	san+Verb+Pos+Prog1+A3pl
uçmuyorum	uç+Verb+Neg+Prog1+A1sg
diliyor	dile+Verb+Pos+Prog1+A3sg
karşılaşıyoruz	karşılaş+Verb+Pos+Prog1+A1pl
uyuşmuyor	uyuş+Verb+Neg+Prog1+A3sg
dışlamıyor	dışla+Verb+Neg+Prog1+A3sg
sayıyor	say+Verb+Pos+Prog1+A3sg
onaylamıyor	onayla+Verb+Neg+Prog1+A3sg
tekrarlıyor	tekrarla+Verb+Pos+Prog1+A3sg
eleştiriyor	eleştir+Verb+Pos+Prog1+A3sg
unutmuyor	unut+Verb+Neg+Prog1+A3sg
satıyoruz	sat+Verb+Pos+Prog1+A1pl
satmıyorum	sat+Verb+Neg+Prog1+A1sg
konuyoruz	kon+Verb+Pos+Prog1+A1pl
eleştirmiyorum	eleştir+Verb+Neg+Prog1+A1sg
yayınlıyorlar	yayınla+Verb+Pos+Prog1+A3pl
soğuyorum	soğu+Verb+Pos+Prog1+A1sg
sıralıyor	sırala+Verb+Pos+Prog1+A3sg
sığmıyorum	sığ+Verb+Neg+Prog1+A1sg
ilerliyorum	ilerle+Verb+Pos+Prog1+A1sg
kovuyorlar	kov+Verb+Pos+Prog1+A3pl
inanıyorlar	inan+Verb+Pos+Prog1+A3pl
tiksiniyorum	tiksin+Verb+Pos+Prog1+A1sg
seçiyorsunuz	seç+Verb+Pos+Prog1+A2pl
giriyorum	gir+Verb+Pos+Prog1+A1sg
takıyor	tak+Verb+Pos+Prog1+A3sg
kırıtıyorum	kırıt+Verb+Pos+Prog1+A1sg
gösteriyorsunuz	göster+Verb+Pos+Prog1+A2pl
