vermezsin	ver+Verb+Neg+Aor+A2sg
çekerim	çek+Verb+Pos+Aor+A1sg
vazgeçmem	vazgeç+Verb+Neg+Aor+A1sg
adreslerim	adresle+Verb+Pos+Aor+A1sg
durmam	dur+Verb+Neg+Aor+A1sg
çalışırım	çalış+Verb+Pos+Aor+A1sg
izlemem	izle+Verb+Neg+Aor+A1sg
konuşmaz	konuş+Verb+Neg+Aor+A3sg
inanmaz	inan+Verb+Neg+Aor+A3sg
tutuşur	tutuş+Verb+Pos+Aor+A3sg
anlamayız	anla+Verb+Neg+Aor+A1pl
incitmez	incit+Verb+Neg+Aor+A3sg
olmazsın	ol+Verb+Neg+Aor+A2sg
öperim	öp+Verb+Pos+Aor+A1sg
paralarım	parala+Verb+Pos+Aor+A1sg
çöker	çök+Verb+Pos+Aor+A3sg
olmazsınız	ol+Verb+Neg+Aor+A2pl
ararım	ara+Verb+Pos+Aor+A1sg
çıldırır	çıldır+Verb+Pos+Aor+A3sg
beğenirim	beğen+Verb+Pos+Aor+A1sg
döşeriz	döşe+Verb+Pos+Aor+A1pl
istemezler	iste+Verb+Neg+Aor+A3pl
çözer	çöz+Verb+Pos+Aor+A3sg
atlamaz	atla+Verb+Neg+Aor+A3sg
kopar	kop+Verb+Pos+Aor+A3sg
çevirir	çevir+Verb+Pos+Aor+A3sg
dağılmaz	dağıl+Verb+Neg+Aor+A3sg
dağılır	dağıl+Verb+Pos+Aor+A3sg
dinlerim	dinle+Verb+Pos+Aor+A1sg
ölürler	öl+Verb+Pos+Aor+A3pl
okurum	oku+Verb+Pos+Aor+A1sg
uçar	uç+Verb+Pos+Aor+A3sg
sıkışır	sıkış+Verb+Pos+Aor+A3sg
kızarsınız	kız+Verb+Pos+Aor+A2pl
inanmazsınız	inan+Verb+Neg+Aor+A2pl
duyarlar	duy+Verb+Pos+Aor+A3pl
bekleriz	bekle+Verb+Pos+Aor+A1pl
uğramaz	uğra+Verb+Neg+Aor+A3sg
tanışır	tanış+Verb+Pos+Aor+A3sg
gümüşler	gümüşle+Verb+Pos+Aor+A3sg
önerir	öner+Verb+Pos+Aor+A3sg
sunarım	sun+Verb+Pos+Aor+A1sg
söker	sök+Verb+Pos+Aor+A3sg
atarsın	at+Verb+Pos+Aor+A2sg
yaşamayız	yaşa+Verb+Neg+Aor+A1pl
söylersiniz	söyle+Verb+Pos+Aor+A2pl
yansır	yansı+Verb+Pos+Aor+A3sg
oynarım	oyna+Verb+Pos+Aor+A1sg
çizersiniz	çiz+Verb+Pos+Aor+A2pl
yerleşir	yerleş+Verb+Pos+Aor+A3sg
göçer	göç+Verb+Pos+Aor+A3sg
gelişir	geliş+Verb+Pos+Aor+A3sg
öneririm	öner+Verb+Pos+Aor+A1sg
doğmaz	doğ+Verb+Neg+Aor+A3sg
yapışmaz	yapış+Verb+Neg+Aor+A3sg
severler	sev+Verb+Pos+Aor+A3pl
uğraşır	uğraş+Verb+Pos+Aor+A3sg
beklerim	bekle+Verb+Pos+Aor+A1sg
ödeşiriz	ödeş+Verb+Pos+Aor+A1pl
ödersin	öde+Verb+Pos+Aor+A2sg
atarız	at+Verb+Pos+Aor+A1pl
koyarsınız	koy+Verb+Pos+Aor+A2pl
ağırlarsınız	ağırla+Verb+Pos+Aor+A2pl
eğitirsin	eğit+Verb+Pos+Aor+A2sg
kutlarım	kutla+Verb+Pos+Aor+A1sg
görüşür	görüş+Verb+Pos+Aor+A3sg
buluşur	buluş+Verb+Pos+Aor+A3sg
dertleşir	dertleş+Verb+Pos+Aor+A3sg
yazmaz	yaz+Verb+Neg+Aor+A3sg
kurarsınız	kur+Verb+Pos+Aor+A2pl
yaşarsın	yaşa+Verb+Pos+Aor+A2sg
sürükler	sürükle+Verb+Pos+Aor+A3sg
kurtulur	kurtul+Verb+Pos+Aor+A3sg
uzar	uza+Verb+Pos+Aor+A3sg
parmaklarım	parmakla+Verb+Pos+Aor+A1sg
yüklerler	yükle+Verb+Pos+Aor+A3pl
savaşırsın	savaş+Verb+Pos+Aor+A2sg
ulaşırsınız	ulaş+Verb+Pos+Aor+A2pl
düşersiniz	düş+Verb+Pos+Aor+A2pl
yenersin	yen+Verb+Pos+Aor+A2sg
gezerim	gez+Verb+Pos+Aor+A1sg
ulaşmaz	ulaş+Verb+Neg+Aor+A3sg
derim	de+Verb+Pos+Aor+A1sg
görürüz	gör+Verb+Pos+Aor+A1pl
yayar	yay+Verb+Pos+Aor+A3sg
kararır	karar+Verb+Pos+Aor+A3sg
tutunur	tutun+Verb+Pos+Aor+A3sg
kurtulurlar	kurtul+Verb+Pos+Aor+A3pl
düşünmezler	düşün+Verb+Neg+Aor+A3pl
bilmezler	bil+Verb+Neg+Aor+A3pl
düşerim	düş+Verb+Pos+Aor+A1sg
uğrarım	uğra+Verb+Pos+Aor+A1sg
beslerim	besle+Verb+Pos+Aor+A1sg
dolaşır	dolaş+Verb+Pos+Aor+A3sg
kullanırız	kullan+Verb+Pos+Aor+A1pl
karışırlar	karış+Verb+Pos+Aor+A3pl
görürler	gör+Verb+Pos+Aor+A3pl
benzemeyiz	benze+Verb+Neg+Aor+A1pl
sunarız	sun+Verb+Pos+Aor+A1pl
okuruz	oku+Verb+Pos+Aor+A1pl
bağdaşmaz	bağdaş+Verb+Neg+Aor+A3sg
duyururuz	duyur+Verb+Pos+Aor+A1pl
korkarsınız	kork+Verb+Pos+Aor+A2pl
bulursunuz	bul+Verb+Pos+Aor+A2pl
yazarsınız	yaz+Verb+Pos+Aor+A2pl
kızar	kız+Verb+Pos+Aor+A3sg
gireriz	gir+Verb+Pos+Aor+A1pl
kazanmazsınız	kazan+Verb+Neg+Aor+A2pl
kesmez	kes+Verb+Neg+Aor+A3sg
gizlerler	gizle+Verb+Pos+Aor+A3pl
vermezler	ver+Verb+Neg+Aor+A3pl
hatırlamayız	hatırla+Verb+Neg+Aor+A1pl
yetmez	yet+Verb+Neg+Aor+A3sg
çalmam	çal+Verb+Neg+Aor+A1sg
seversiniz	sev+Verb+Pos+Aor+A2pl
başlarsınız	başla+Verb+Pos+Aor+A2pl
çelişiriz	çeliş+Verb+Pos+Aor+A1pl
sevmez	sev+Verb+Neg+Aor+A3sg
umar	um+Verb+Pos+Aor+A3sg
koşmaz	koş+Verb+Neg+Aor+A3sg
yineler	yinele+Verb+Pos+Aor+A3sg
başlarım	başla+Verb+Pos+Aor+A1sg
gezersin	gez+Verb+Pos+Aor+A2sg
ezersin	ez+Verb+Pos+Aor+A2sg
üzersin	üz+Verb+Pos+Aor+A2sg
binmez	bin+Verb+Neg+Aor+A3sg
kurtulurum	kurtul+Verb+Pos+Aor+A1sg
utanır	utan+Verb+Pos+Aor+A3sg
davranmam	davran+Verb+Neg+Aor+A1sg
inanırlar	inan+Verb+Pos+Aor+A3pl
sokar	sok+Verb+Pos+Aor+A3sg
düşünürüm	düşün+Verb+Pos+Aor+A1sg
düşünürler	düşün+Verb+Pos+Aor+A3pl
sanırlar	san+Verb+Pos+Aor+A3pl
uyar	uy+Verb+Pos+Aor+A3sg
götürmez	götür+Verb+Neg+Aor+A3sg
ağrır	ağrı+Verb+Pos+Aor+A3sg
seyreder	seyret+Verb+Pos+Aor+A3sg
deneriz	dene+Verb+Pos+Aor+A1pl
basarsınız	bas+Verb+Pos+Aor+A2pl
gidersiniz	git+Verb+Pos+Aor+A2pl
dönüşürler	dönüş+Verb+Pos+Aor+A3pl
yaratmaz	yarat+Verb+Neg+Aor+A3sg
kayar	kay+Verb+Pos+Aor+A3sg
aymaz	ay+Verb+Neg+Aor+A3sg
dinlemez	dinle+Verb+Neg+Aor+A3sg
dönersiniz	dön+Verb+Pos+Aor+A2pl
başlarlar	başla+Verb+Pos+Aor+A3pl
serper	serp+Verb+Pos+Aor+A3sg
kaynar	kayna+Verb+Pos+Aor+A3sg
hatırlarız	hatırla+Verb+Pos+Aor+A1pl
