geri	geri+Adverb
ayırıp	ayır+Verb+Pos^DB+Adverb+AfterDoingSo
hatırlayıp	hatırla+Verb+Pos^DB+Adverb+AfterDoingSo
sarsarak	sars+Verb+Pos^DB+Adverb+ByDoingSo
sarsıp	sars+Verb+Pos^DB+Adverb+AfterDoingSo
terslenince	tersle+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
titreyip	titre+Verb+Pos^DB+Adverb+AfterDoingSo
gelirken	gelir+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
çalışarak	çalış+Verb+Pos^DB+Adverb+ByDoingSo
geceleyin	geceleyin+Adverb
üzülünce	üz+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
bahsedilince	bahset+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
bayılıp	bayıl+Verb+Pos^DB+Adverb+AfterDoingSo
gönderip	gönder+Verb+Pos^DB+Adverb+AfterDoingSo
nice	nice+Adverb
tamamlanıp	tamamla+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
yatarken	yat+Verb+Pos+Aor^DB+Adverb+While
aniden	aniden+Adverb
izleyip	izle+Verb+Pos^DB+Adverb+AfterDoingSo
denerken	dene+Verb+Pos+Aor^DB+Adverb+While
geçirip	geç+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
tutmuşken	tut+Verb+Pos+Narr^DB+Adverb+While
olamayıp	ol+Verb^DB+Verb+Able+Neg^DB+Adverb+AfterDoingSo
eğip	eğ+Verb+Pos^DB+Adverb+AfterDoingSo
zıplayarak	zıpla+Verb+Pos^DB+Adverb+ByDoingSo
yaparken	yap+Verb+Pos+Aor^DB+Adverb+While
koyup	koy+Verb+Pos^DB+Adverb+AfterDoingSo
diklenince	dikle+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
düşüp	düş+Verb+Pos^DB+Adverb+AfterDoingSo
silip	sil+Verb+Pos^DB+Adverb+AfterDoingSo
inandırarak	inan+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
giyinirken	giy+Verb^DB+Verb+Reflex+Pos+Aor^DB+Adverb+While
yıkayarak	yıka+Verb+Pos^DB+Adverb+ByDoingSo
savunurken	savun+Verb+Pos+Aor^DB+Adverb+While
tasarlarken	tasarla+Verb+Pos+Aor^DB+Adverb+While
kızıp	kız+Verb+Pos^DB+Adverb+AfterDoingSo
çullanıp	çullan+Verb+Pos^DB+Adverb+AfterDoingSo
itilerek	it+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
birazdan	birazdan+Adverb
alıştıkça	alış+Verb+Pos^DB+Adverb+AsLongAs
yalnızken	yalnız+Adj^DB+Verb+Zero^DB+Adverb+While
döverken	döv+Verb+Pos+Aor^DB+Adverb+While
gezdirirken	gez+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
gezerken	gez+Verb+Pos+Aor^DB+Adverb+While
verip	ver+Verb+Pos^DB+Adverb+AfterDoingSo
niye	niye+Adverb
gerçi	gerçi+Adverb
içip	iç+Verb+Pos^DB+Adverb+AfterDoingSo
çıkarak	çık+Verb+Pos^DB+Adverb+ByDoingSo
dolaşırken	dolaş+Verb+Pos+Aor^DB+Adverb+While
edilerek	et+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
edilirken	et+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
bırakmaksızın	bırak+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
bakınırken	bakın+Verb+Pos+Aor^DB+Adverb+While
dönerken	döner+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
kalmayarak	kal+Verb+Neg^DB+Adverb+ByDoingSo
girerek	gir+Verb+Pos^DB+Adverb+ByDoingSo
derinlemesine	derinlemesine+Adverb
ardınca	ardınca+Adverb
dinleyerek	dinle+Verb+Pos^DB+Adverb+ByDoingSo
aşarken	aş+Verb+Pos+Aor^DB+Adverb+While
dolup	dol+Verb+Pos^DB+Adverb+AfterDoingSo
durdurup	dur+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
üstünkörü	üstünkörü+Adverb
dolayısıyla	dolayısıyla+Adverb
yaşındayken	yaş+Noun+A3sg+P3sg+Loc^DB+Verb+Zero^DB+Adverb+While
ayrılarak	ayır+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
ardından	ardından+Adverb
başlayarak	başla+Verb+Pos^DB+Adverb+ByDoingSo
yaptırarak	yap+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
sergileyerek	sergile+Verb+Pos^DB+Adverb+ByDoingSo
kısaca	kısa+Adj^DB+Adverb+Ly
alışmadıkça	alış+Verb+Neg^DB+Adverb+AsLongAs
karşılaşınca	karşılaş+Verb+Pos^DB+Adverb+When
hissederek	hisset+Verb+Pos^DB+Adverb+ByDoingSo
batıp	bat+Verb+Pos^DB+Adverb+AfterDoingSo
serperek	serp+Verb+Pos^DB+Adverb+ByDoingSo
çekiştirerek	çekiş+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
nadiren	nadiren+Adverb
bularak	bul+Verb+Pos^DB+Adverb+ByDoingSo
acımaksızın	acı+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
anlatarak	anla+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
içerek	iç+Verb+Pos^DB+Adverb+ByDoingSo
tutulmuşcasına	tut+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart^DB+Verb+Zero^DB+Adverb+AsIf
ayrılmayarak	ayır+Verb^DB+Verb+Pass+Neg^DB+Adverb+ByDoingSo
kudurarak	kudur+Verb+Pos^DB+Adverb+ByDoingSo
coşturup	coş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
döğerek	döğ+Verb+Pos^DB+Adverb+ByDoingSo
söverek	söv+Verb+Pos^DB+Adverb+ByDoingSo
akıp	ak+Verb+Pos^DB+Adverb+AfterDoingSo
yokolup	yokol+Verb+Pos^DB+Adverb+AfterDoingSo
aşarak	aş+Verb+Pos^DB+Adverb+ByDoingSo
karışamayarak	karış+Verb^DB+Verb+Able+Neg^DB+Adverb+ByDoingSo
sağlamca	sağlam+Adj^DB+Adverb+Ly
çağırırken	çağır+Verb+Pos+Aor^DB+Adverb+While
alarak	al+Verb+Pos^DB+Adverb+ByDoingSo
ilerleyerek	ilerle+Verb+Pos^DB+Adverb+ByDoingSo
konuşmadan	konuş+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
tırmalayarak	tırmala+Verb+Pos^DB+Adverb+ByDoingSo
oturunca	otur+Verb+Pos^DB+Adverb+When
dayayarak	daya+Verb+Pos^DB+Adverb+ByDoingSo
düzeltirken	düzel+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
uzanarak	uza+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
birazcık	birazcık+Adverb
ağlayarak	ağla+Verb+Pos^DB+Adverb+ByDoingSo
korkutarak	kork+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
çıkarırken	çık+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
sallanarak	salla+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
kucaklayarak	kucakla+Verb+Pos^DB+Adverb+ByDoingSo
iterek	it+Verb+Pos^DB+Adverb+ByDoingSo
oynatarak	oyna+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
kapayarak	kapa+Verb+Pos^DB+Adverb+ByDoingSo
kırılıp	kır+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
kımıldamadan	kımılda+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
çökerek	çök+Verb+Pos^DB+Adverb+ByDoingSo
aynen	aynen+Adverb
uyanınca	uyan+Verb+Pos^DB+Adverb+When
serkeşçe	serkeş+Adj^DB+Adverb+Ly
görerek	gör+Verb+Pos^DB+Adverb+ByDoingSo
yaşayıp	yaşa+Verb+Pos^DB+Adverb+AfterDoingSo
haftalarca	haftalarca+Adverb
aylarca	aylarca+Adverb
indirerek	in+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
asarak	as+Verb+Pos^DB+Adverb+ByDoingSo
yıkayıp	yıka+Verb+Pos^DB+Adverb+AfterDoingSo
bakmayarak	bak+Verb+Neg^DB+Adverb+ByDoingSo
bulamayarak	bul+Verb^DB+Verb+Able+Neg^DB+Adverb+ByDoingSo
bocalayarak	bocala+Verb+Pos^DB+Adverb+ByDoingSo
geberip	geber+Verb+Pos^DB+Adverb+AfterDoingSo
değdirircesine	değ+Verb^DB+Verb+Caus+Pos+Aor+A3sg^DB+Adverb+AsIf
bulamayınca	bula+Verb+Neg^DB+Adverb+When
uzadıya	uzadıya+Adverb
titrerken	titre+Verb+Pos+Aor^DB+Adverb+While
anlayarak	anla+Verb+Pos^DB+Adverb+ByDoingSo
çatarak	çat+Verb+Pos^DB+Adverb+ByDoingSo
işittikçe	işit+Verb+Pos^DB+Adverb+AsLongAs
hıçkırarak	hıçkır+Verb+Pos^DB+Adverb+ByDoingSo
çıkınca	çık+Verb+Pos^DB+Adverb+When
korkup	kork+Verb+Pos^DB+Adverb+AfterDoingSo
yakalarken	yakala+Verb+Pos+Aor^DB+Adverb+While
yalayarak	yala+Verb+Pos^DB+Adverb+ByDoingSo
çekinerek	çekin+Verb+Pos^DB+Adverb+ByDoingSo
dikip	dik+Verb+Pos^DB+Adverb+AfterDoingSo
çıkarılıp	çık+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
sarıp	sar+Verb+Pos^DB+Adverb+AfterDoingSo
sendeleyerek	sendele+Verb+Pos^DB+Adverb+ByDoingSo
sararak	sar+Verb+Pos^DB+Adverb+ByDoingSo
kavrayarak	kavra+Verb+Pos^DB+Adverb+ByDoingSo
topallayarak	topalla+Verb+Pos^DB+Adverb+ByDoingSo
usulca	usulca+Adverb
ilerlerken	ilerle+Verb+Pos+Aor^DB+Adverb+While
dümendeyken	dümen+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
yaklaştıkça	yaklaş+Verb+Pos^DB+Adverb+AsLongAs
illa	illa+Adverb
büküp	bük+Verb+Pos^DB+Adverb+AfterDoingSo
korkutup	kork+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
sızlanarak	sızla+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
yeterince	yeterince+Adverb
yöneltirken	yönel+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
arkadaşça	arkadaşça+Adverb
öksürüp	öksür+Verb+Pos^DB+Adverb+AfterDoingSo
atlayıp	atla+Verb+Pos^DB+Adverb+AfterDoingSo
çiğnerken	çiğne+Verb+Pos+Aor^DB+Adverb+While
içince	iç+Verb+Pos^DB+Adverb+When
parlayınca	parla+Verb+Pos^DB+Adverb+When
gönderilmeden	gönder+Verb^DB+Verb+Pass+Pos^DB+Adverb+WithoutHavingDoneSo
ısınırken	ısın+Verb+Pos+Aor^DB+Adverb+While
dönmüşken	dön+Verb+Pos+Narr^DB+Adverb+While
açarak	aç+Verb+Pos^DB+Adverb+ByDoingSo
besbelli	besbelli+Adverb
gösterip	göster+Verb+Pos^DB+Adverb+AfterDoingSo
sürüklenirken	sürükle+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
umarak	um+Verb+Pos^DB+Adverb+ByDoingSo
ağlayıp	ağla+Verb+Pos^DB+Adverb+AfterDoingSo
açarken	açar+Adj^DB+Verb+Zero^DB+Adverb+While
boşaltırken	boşal+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
öldürmeden	öl+Verb^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
şapırdatarak	şapırda+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
durdurarak	dur+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
üstelik	üstelik+Adverb
kaçınamayınca	kaçın+Verb^DB+Verb+Able+Neg^DB+Adverb+When
çokça	çokça+Adverb
sormadan	sor+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
alınca	al+Verb+Pos^DB+Adverb+When
güvenerek	güven+Verb+Pos^DB+Adverb+ByDoingSo
geçirmeden	geç+Verb^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
tamamlarken	tamamla+Verb+Pos+Aor^DB+Adverb+While
aydır	ay+Noun+A3sg+Pnon+Nom^DB+Adverb+Since
davranıp	davran+Verb+Pos^DB+Adverb+AfterDoingSo
gezip	gez+Verb+Pos^DB+Adverb+AfterDoingSo
sıçrayarak	sıçra+Verb+Pos^DB+Adverb+ByDoingSo
takınarak	takın+Verb+Pos^DB+Adverb+ByDoingSo
atfederek	atfet+Verb+Pos^DB+Adverb+ByDoingSo
beraberce	beraberce+Adverb
rastlayınca	rastla+Verb+Pos^DB+Adverb+When
ovuşturarak	ovuştur+Verb+Pos^DB+Adverb+ByDoingSo
binip	bin+Verb+Pos^DB+Adverb+AfterDoingSo
başbaşa	başbaşa+Adverb
dolaşarak	dolaş+Verb+Pos^DB+Adverb+ByDoingSo
okuyunca	oku+Verb+Pos^DB+Adverb+When
seyrettikçe	seyret+Verb+Pos^DB+Adverb+AsLongAs
yutarak	yut+Verb+Pos^DB+Adverb+ByDoingSo
bürünüp	bürü+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
bilakis	bilakis+Adverb
besletip	besle+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
yollanırken	yolla+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
süpürüp	süpür+Verb+Pos^DB+Adverb+AfterDoingSo
savurup	savur+Verb+Pos^DB+Adverb+AfterDoingSo
kavuşturup	kavuş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
istemeyerek	iste+Verb+Neg^DB+Adverb+ByDoingSo
düzelterek	düzel+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
doldurup	dol+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
aşıp	aş+Verb+Pos^DB+Adverb+AfterDoingSo
yakıp	yak+Verb+Pos^DB+Adverb+AfterDoingSo
aralayıp	arala+Verb+Pos^DB+Adverb+AfterDoingSo
zenginleştikçe	zengin+Adj^DB+Verb+Become+Pos^DB+Adverb+AsLongAs
büyüyünce	büyü+Verb+Pos^DB+Adverb+When
düşününce	düşün+Verb+Pos^DB+Adverb+When
anlatırken	anla+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
savrulup	savur+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
meşgulken	meşgul+Adj^DB+Verb+Zero^DB+Adverb+While
bekleterek	bekle+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
durunca	dur+Verb+Pos^DB+Adverb+When
aydınlatınca	aydınlat+Verb+Pos^DB+Adverb+When
bulunca	bul+Verb+Pos^DB+Adverb+When
çırpıp	çırp+Verb+Pos^DB+Adverb+AfterDoingSo
peki	peki+Adverb
döndürürken	dön+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
sokup	sok+Verb+Pos^DB+Adverb+AfterDoingSo
dinlerken	dinle+Verb+Pos+Aor^DB+Adverb+While
harcarken	harca+Verb+Pos+Aor^DB+Adverb+While
şaklatarak	şakla+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
tanınmayıp	tanı+Verb^DB+Verb+Pass+Neg^DB+Adverb+AfterDoingSo
asılarak	as+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
çıkararak	çık+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
başınayken	baş+Noun+A3sg+P3sg+Dat^DB+Verb+Zero^DB+Adverb+While
dışarıdayken	dışarı+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
kaşıklayıp	kaşıkla+Verb+Pos^DB+Adverb+AfterDoingSo
yutarken	yut+Verb+Pos+Aor^DB+Adverb+While
kıskanıp	kıskan+Verb+Pos^DB+Adverb+AfterDoingSo
kaldırırken	kaldır+Verb+Pos+Aor^DB+Adverb+While
silerek	sil+Verb+Pos^DB+Adverb+ByDoingSo
giyinip	giy+Verb^DB+Verb+Reflex+Pos^DB+Adverb+AfterDoingSo
geçercesine	geç+Verb+Pos+Aor+A3sg^DB+Adverb+AsIf
bağırarak	bağır+Verb+Pos^DB+Adverb+ByDoingSo
kısacası	kısacası+Adverb
yoklayıp	yokla+Verb+Pos^DB+Adverb+AfterDoingSo
arayarak	ara+Verb+Pos^DB+Adverb+ByDoingSo
isteyerek	iste+Verb+Pos^DB+Adverb+ByDoingSo
bilmeden	bil+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
buruşturup	buruş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
kazıyarak	kazı+Verb+Pos^DB+Adverb+ByDoingSo
giyinerek	giy+Verb^DB+Verb+Reflex+Pos^DB+Adverb+ByDoingSo
işteyken	iş+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
görüşmeyeli	görüş+Verb+Neg^DB+Adverb+SinceDoingSo
batarken	batar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
çevirerek	çevir+Verb+Pos^DB+Adverb+ByDoingSo
avutup	avut+Verb+Pos^DB+Adverb+AfterDoingSo
yetiştirip	yetiş+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
gencecikken	gencecik+Adj^DB+Verb+Zero^DB+Adverb+While
doğarken	doğ+Verb+Pos+Aor^DB+Adverb+While
soyarken	soy+Verb+Pos+Aor^DB+Adverb+While
veremeden	ver+Verb+Pos^DB+Adverb+WithoutBeingAbleToHaveDoneSo
tartışarak	tartış+Verb+Pos^DB+Adverb+ByDoingSo
olgunlaşıp	olgun+Adj^DB+Verb+Become+Pos^DB+Adverb+AfterDoingSo
uzaklaşırken	uzak+Adj^DB+Verb+Become+Pos+Aor^DB+Adverb+While
buharlaşıp	buhar+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Pos^DB+Adverb+AfterDoingSo
bitirince	bit+Verb^DB+Verb+Caus+Pos^DB+Adverb+When
eskitip	eski+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
deyince	de+Verb+Pos^DB+Adverb+When
kırıtarak	kırıt+Verb+Pos^DB+Adverb+ByDoingSo
büyüdükçe	büyü+Verb+Pos^DB+Adverb+AsLongAs
çoğaldıkça	çoğal+Verb+Pos^DB+Adverb+AsLongAs
anlatamayınca	anla+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Adverb+When
duyunca	duy+Verb+Pos^DB+Adverb+When
uğrayıp	uğra+Verb+Pos^DB+Adverb+AfterDoingSo
hazırlanırken	hazırla+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
dayayıp	daya+Verb+Pos^DB+Adverb+AfterDoingSo
çağırınca	çağır+Verb+Pos^DB+Adverb+When
girince	gir+Verb+Pos^DB+Adverb+When
yumuşatarak	yumuşa+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
söylemeyip	söyle+Verb+Neg^DB+Adverb+AfterDoingSo
hazırlarken	hazırla+Verb+Pos+Aor^DB+Adverb+While
açılınca	aç+Verb^DB+Verb+Pass+Pos^DB+Adverb+When
hazırlayıp	hazırla+Verb+Pos^DB+Adverb+AfterDoingSo
öğrenince	öğren+Verb+Pos^DB+Adverb+When
gidince	git+Verb+Pos^DB+Adverb+When
tamamlayıp	tamamla+Verb+Pos^DB+Adverb+AfterDoingSo
halen	halen+Adverb
bozup	boz+Verb+Pos^DB+Adverb+AfterDoingSo
saçarak	saç+Verb+Pos^DB+Adverb+ByDoingSo
sallanıp	salla+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
nasılsa	nasılsa+Adverb
kesip	kes+Verb+Pos^DB+Adverb+AfterDoingSo
yatıp	yat+Verb+Pos^DB+Adverb+AfterDoingSo
varamadan	var+Verb+Pos^DB+Adverb+WithoutBeingAbleToHaveDoneSo
uyurken	uyu+Verb+Pos+Aor^DB+Adverb+While
edilmeksizin	et+Verb^DB+Verb+Pass+Pos^DB+Adverb+WithoutHavingDoneSo
kabartınca	kabar+Verb^DB+Verb+Caus+Pos^DB+Adverb+When
kendiliğinden	kendiliğinden+Adverb
boşanmışçasına	boşa+Verb^DB+Verb+Pass+Pos+Narr+A3sg^DB+Adverb+AsIf
oynayıp	oyna+Verb+Pos^DB+Adverb+AfterDoingSo
toplayıp	topla+Verb+Pos^DB+Adverb+AfterDoingSo
kolayca	kolay+Adj^DB+Adverb+Ly
bekliyormuşçasına	bekle+Verb+Pos+Prog1+Narr+A3sg^DB+Adverb+AsIf
kıpırdanmaksızın	kıpırda+Verb^DB+Verb+Pass+Pos^DB+Adverb+WithoutHavingDoneSo
yalpalayarak	yalpala+Verb+Pos^DB+Adverb+ByDoingSo
bütünüyle	bütünüyle+Adverb
düşerken	düş+Verb+Pos+Aor^DB+Adverb+While
kapılarak	kap+Verb^DB+Verb+Pass+Pos^DB+Adverb+ByDoingSo
ezkaza	ezkaza+Adverb
unutuverip	unut+Verb+Pos^DB+Verb+Hastily^DB+Adverb+AfterDoingSo
derhal	derhal+Adverb
geçmişçesine	geç+Verb+Pos+Narr+A3sg^DB+Adverb+AsIf
bildirip	bil+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
varınca	var+Verb+Pos^DB+Adverb+When
ilerledikçe	ilerle+Verb+Pos^DB+Adverb+AsLongAs
açılırken	aç+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
sürüklenircesine	sürükle+Verb^DB+Verb+Pass+Pos+Aor+A3sg^DB+Adverb+AsIf
kenetleyip	kenetle+Verb+Pos^DB+Adverb+AfterDoingSo
verememişçesine	ver+Verb^DB+Verb+Able+Neg+Narr+A3sg^DB+Adverb+AsIf
kapatıp	kapa+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
saatlerce	saatlerce+Adverb
çekerken	çeker+Noun+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
düşünmeksizin	düşün+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
yalpalarken	yalpala+Verb+Pos+Aor^DB+Adverb+While
oluşturarak	oluş+Verb^DB+Verb+Caus+Pos^DB+Adverb+ByDoingSo
istiyormuşçasına	iste+Verb+Pos+Prog1+Narr+A3sg^DB+Adverb+AsIf
yalvarıp	yalvar+Verb+Pos^DB+Adverb+AfterDoingSo
çekilirken	çek+Verb^DB+Verb+Pass+Pos+Aor^DB+Adverb+While
gerçekte	gerçekte+Adverb
başarmışken	başar+Verb+Pos+Narr^DB+Adverb+While
sıkışıp	sıkış+Verb+Pos^DB+Adverb+AfterDoingSo
itilip	it+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
yoklayarak	yokla+Verb+Pos^DB+Adverb+ByDoingSo
sızlayıp	sızla+Verb+Pos^DB+Adverb+AfterDoingSo
uzaktayken	uzak+Adj^DB+Noun+Zero+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
bekleyip	bekle+Verb+Pos^DB+Adverb+AfterDoingSo
kilitliyken	kilit+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero^DB+Adverb+While
açılmışken	aç+Verb^DB+Verb+Pass+Pos+Narr^DB+Adverb+While
yapışıp	yapış+Verb+Pos^DB+Adverb+AfterDoingSo
yıldır	yıl+Noun+A3sg+Pnon+Nom^DB+Adverb+Since
engelleyemeyerek	engelle+Verb^DB+Verb+Able+Neg^DB+Adverb+ByDoingSo
davranarak	davran+Verb+Pos^DB+Adverb+ByDoingSo
aydınlanmamışken	aydınlan+Verb+Neg+Narr^DB+Adverb+While
tutamayıp	tut+Verb^DB+Verb+Able+Neg^DB+Adverb+AfterDoingSo
olmuşcasına	ol+Verb+Pos^DB+Adj+NarrPart^DB+Verb+Zero^DB+Adverb+AsIf
odadayken	oda+Noun+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
istercesine	iste+Verb+Pos+Aor+A3sg^DB+Adverb+AsIf
ürküp	ürk+Verb+Pos^DB+Adverb+AfterDoingSo
gerinip	gerin+Verb+Pos^DB+Adverb+AfterDoingSo
uyurlarken	uyu+Verb+Pos+Aor+A3pl^DB+Adverb+While
kestirirlerken	kes+Verb^DB+Verb+Caus+Pos+Aor+A3pl^DB+Adverb+While
odasındayken	oda+Noun+A3sg+P3sg+Loc^DB+Verb+Zero^DB+Adverb+While
bilip	bil+Verb+Pos^DB+Adverb+AfterDoingSo
çöküp	çök+Verb+Pos^DB+Adverb+AfterDoingSo
vermeyince	ver+Verb+Neg^DB+Adverb+When
kapatırken	kapa+Verb^DB+Verb+Caus+Pos+Aor^DB+Adverb+While
elbet	elbet+Adverb
resmen	resmen+Adverb
sevince	sev+Verb+Pos^DB+Adverb+When
fazladan	fazladan+Adverb
kırpmadan	kırp+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
hışırdatıp	hışırda+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
harcayarak	harca+Verb+Pos^DB+Adverb+ByDoingSo
söylenip	söyle+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
uzadıkça	uza+Verb+Pos^DB+Adverb+AsLongAs
kapatmaksızın	kapa+Verb^DB+Verb+Caus+Pos^DB+Adverb+WithoutHavingDoneSo
boğuluyormuşcasına	boğ+Verb^DB+Verb+Pass+Pos+Prog1+Narr+A3sg^DB+Adverb+AsIf
çekilip	çek+Verb^DB+Verb+Pass+Pos^DB+Adverb+AfterDoingSo
toplarken	topla+Verb+Pos+Aor^DB+Adverb+While
uydurup	uy+Verb^DB+Verb+Caus+Pos^DB+Adverb+AfterDoingSo
tavandayken	tavan+Adj^DB+Noun+Zero+A3sg+Pnon+Loc^DB+Verb+Zero^DB+Adverb+While
almaksızın	al+Verb+Pos^DB+Adverb+WithoutHavingDoneSo
hoşlanıp	hoşlan+Verb+Pos^DB+Adverb+AfterDoingSo
olmadıkça	ol+Verb+Neg^DB+Adverb+AsLongAs
buluşup	buluş+Verb+Pos^DB+Adverb+AfterDoingSo
ışıldayarak	ışılda+Verb+Pos^DB+Adverb+ByDoingSo
geldikçe	gel+Verb+Pos^DB+Adverb+AsLongAs
bürünerek	bürün+Verb+Pos^DB+Adverb+ByDoingSo
donmuşken	don+Verb+Pos+Narr^DB+Adverb+While
dayanamayıp	dayan+Verb^DB+Verb+Able+Neg^DB+Adverb+AfterDoingSo
kopup	kop+Verb+Pos^DB+Adverb+AfterDoingSo
üzereyken	üzere+Postp+PCNom^DB+Verb+Zero^DB+Adverb+While
inanıp	inan+Verb+Pos^DB+Adverb+AfterDoingSo
yazıp	yaz+Verb+Pos^DB+Adverb+AfterDoingSo
sırtlayıp	sırtla+Verb+Pos^DB+Adverb+AfterDoingSo
dinleyip	dinle+Verb+Pos^DB+Adverb+AfterDoingSo
parlayıp	parla+Verb+Pos^DB+Adverb+AfterDoingSo
dokuzken	dokuz+Num+Card^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero^DB+Adverb+While
tükenip	tüken+Verb+Pos^DB+Adverb+AfterDoingSo
vahşice	vahşi+Adj^DB+Adverb+Ly
görüşüp	görüş+Verb+Pos^DB+Adverb+AfterDoingSo
narince	narin+Adj^DB+Adverb+Ly
saygısızca	saygı+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Adverb+Ly
kızararak	kızar+Verb+Pos^DB+Adverb+ByDoingSo
