göre	gör+Verb+Pos+Opt+A3sg
ölüyor	öl+Verb+Pos+Prog1+A3sg
alıyorsunuz	al+Verb+Pos+Prog1+A2pl
giriyorsunuz	gir+Verb+Pos+Prog1+A2pl
ulaşıyor	ulaş+Verb+Pos+Prog1+A3sg
olacaksınız	ol+Verb+Pos+Fut+A2pl
koyacak	koy+Verb+Pos+Fut+A3sg
alıyorum	al+Verb+Pos+Prog1+A1sg
inanmış	inan+Verb+Pos+Narr+A3sg
inanın	inan+Verb+Pos+Imp+A2pl
ekledi	ekle+Verb+Pos+Past+A3sg
inledi	inle+Verb+Pos+Past+A3sg
mahvettim	mahvet+Verb+Pos+Past+A1sg
düşünüyor	düşün+Verb+Pos+Prog1+A3sg
kurtarın	kurtar+Verb+Pos+Imp+A2pl
gerekir	gerek+Verb+Pos+Aor+A3sg
çalışacağım	çalış+Verb+Pos+Fut+A1sg
söyleyeceksiniz	söyle+Verb+Pos+Fut+A2pl
yapsak	yap+Verb+Pos+Desr+A1pl
sayar	say+Verb+Pos+Aor+A3sg
koyacağız	koy+Verb+Pos+Fut+A1pl
gelmeseniz	gel+Verb+Neg+Desr+A2pl
soracağım	sor+Verb+Pos+Fut+A1sg
etmeliyiz	et+Verb+Pos+Neces+A1pl
dilemeliyiz	dile+Verb+Pos+Neces+A1pl
görünüyor	görün+Verb+Pos+Prog1+A3sg
korkuyorum	kork+Verb+Pos+Prog1+A1sg
ekmesin	ek+Verb+Neg+Imp+A3sg
yapalım	yap+Verb+Pos+Opt+A1pl
etmiş	et+Verb+Pos+Narr+A3sg
savdık	sav+Verb+Pos+Past+A1pl
kaçacağım	kaç+Verb+Pos+Fut+A1sg
üzmeyin	üz+Verb+Neg+Imp+A2pl
basmayın	bas+Verb+Neg+Imp+A2pl
bulanıyor	bulan+Verb+Pos+Prog1+A3sg
duydunuz	duy+Verb+Pos+Past+A2pl
kalkacaksınız	kalk+Verb+Pos+Fut+A2pl
daldı	dal+Verb+Pos+Past+A3sg
mahvolur	mahvol+Verb+Pos+Aor+A3sg
vazgeçer	vazgeç+Verb+Pos+Aor+A3sg
götürmeli	götür+Verb+Pos+Neces+A3sg
yapışır	yapış+Verb+Pos+Aor+A3sg
getiririm	getir+Verb+Pos+Aor+A1sg
yarasın	yara+Verb+Pos+Imp+A3sg
gideriz	git+Verb+Pos+Aor+A1pl
bastı	bas+Verb+Pos+Past+A3sg
uğradı	uğra+Verb+Pos+Past+A3sg
dinleyecek	dinle+Verb+Pos+Fut+A3sg
hıçkıra	hıçkır+Verb+Pos+Opt+A3sg
çalışıyor	çalış+Verb+Pos+Prog1+A3sg
bozdu	boz+Verb+Pos+Past+A3sg
tekrarladım	tekrarla+Verb+Pos+Past+A1sg
öğrendiler	öğren+Verb+Pos+Past+A3pl
saklamayalım	sakla+Verb+Neg+Opt+A1pl
bastık	bas+Verb+Pos+Past+A1pl
sıkışsa	sıkış+Verb+Pos+Desr+A3sg
kopsa	kop+Verb+Pos+Desr+A3sg
atar	at+Verb+Pos+Aor+A3sg
atmaz	at+Verb+Neg+Aor+A3sg
duyar	duy+Verb+Pos+Aor+A3sg
içiyor	iç+Verb+Pos+Prog1+A3sg
diktin	dik+Verb+Pos+Past+A2sg
emretmemiş	emret+Verb+Neg+Narr+A3sg
yapmadın	yap+Verb+Neg+Past+A2sg
çıkmış	çık+Verb+Pos+Narr+A3sg
vermiyorlar	ver+Verb+Neg+Prog1+A3pl
işitiriz	işit+Verb+Pos+Aor+A1pl
dedim	de+Verb+Pos+Past+A1sg
kıvıracağım	kıvır+Verb+Pos+Fut+A1sg
dediler	de+Verb+Pos+Past+A3pl
kıvıracak	kıvır+Verb+Pos+Fut+A3sg
ettin	et+Verb+Pos+Past+A2sg
yakışır	yakış+Verb+Pos+Aor+A3sg
soruyorum	sor+Verb+Pos+Prog1+A1sg
kokuyor	kok+Verb+Pos+Prog1+A3sg
duyuyor	duy+Verb+Pos+Prog1+A3sg
bırakmadı	bırak+Verb+Neg+Past+A3sg
bağladı	bağla+Verb+Pos+Past+A3sg
katıyor	kat+Verb+Pos+Prog1+A3sg
alıyor	al+Verb+Pos+Prog1+A3sg
yığıyor	yığ+Verb+Pos+Prog1+A3sg
zannetti	zannet+Verb+Pos+Past+A3sg
bakındı	bakın+Verb+Pos+Past+A3sg
şaşırmadı	şaşır+Verb+Neg+Past+A3sg
geldiler	gel+Verb+Pos+Past+A3pl
doladı	dola+Verb+Pos+Past+A3sg
yakaladı	yakala+Verb+Pos+Past+A3sg
sandı	san+Verb+Pos+Past+A3sg
etmeyin	et+Verb+Neg+Imp+A2pl
alışır	alış+Verb+Pos+Aor+A3sg
diyor	de+Verb+Pos+Prog1+A3sg
öğrenecek	öğren+Verb+Pos+Fut+A3sg
alışmalı	alış+Verb+Pos+Neces+A3sg
yat	yat+Verb+Pos+Imp+A2sg
eğdi	eğ+Verb+Pos+Past+A3sg
açtı	aç+Verb+Pos+Past+A3sg
diyorum	de+Verb+Pos+Prog1+A1sg
doya	doy+Verb+Pos+Opt+A3sg
gelelim	gel+Verb+Pos+Opt+A1pl
bulunmadı	bulun+Verb+Neg+Past+A3sg
dönsün	dön+Verb+Pos+Imp+A3sg
seslendi	seslen+Verb+Pos+Past+A3sg
koş	koş+Verb+Pos+Imp+A2sg
benziyor	benze+Verb+Pos+Prog1+A3sg
denedi	dene+Verb+Pos+Past+A3sg
kalmadı	kal+Verb+Neg+Past+A3sg
attı	at+Verb+Pos+Past+A3sg
kaybetmedi	kaybet+Verb+Neg+Past+A3sg
almış	al+Verb+Pos+Narr+A3sg
takırdadı	takırda+Verb+Pos+Past+A3sg
yetişmemiş	yetiş+Verb+Neg+Narr+A3sg
kaybetmiş	kaybet+Verb+Pos+Narr+A3sg
yetişti	yetiş+Verb+Pos+Past+A3sg
yöneldiler	yönel+Verb+Pos+Past+A3pl
alalım	al+Verb+Pos+Opt+A1pl
paylaşsınlar	paylaş+Verb+Pos+Imp+A3pl
onayladı	onayla+Verb+Pos+Past+A3sg
zannettiniz	zannet+Verb+Pos+Past+A2pl
gere	ger+Verb+Pos+Opt+A3sg
yatmış	yat+Verb+Pos+Narr+A3sg
aradı	ara+Verb+Pos+Past+A3sg
yattı	yat+Verb+Pos+Past+A3sg
sağlıyor	sağla+Verb+Pos+Prog1+A3sg
alıştı	alış+Verb+Pos+Past+A3sg
yetindi	yetin+Verb+Pos+Past+A3sg
kalsa	kal+Verb+Pos+Desr+A3sg
yaklaşacak	yaklaş+Verb+Pos+Fut+A3sg
anladı	anla+Verb+Pos+Past+A3sg
dürtüyor	dürt+Verb+Pos+Prog1+A3sg
görecek	gör+Verb+Pos+Fut+A3sg
kalkıyor	kalk+Verb+Pos+Prog1+A3sg
izleye	izle+Verb+Pos+Opt+A3sg
çıkmaz	çık+Verb+Neg+Aor+A3sg
görmez	gör+Verb+Neg+Aor+A3sg
uğraşsınlar	uğraş+Verb+Pos+Imp+A3pl
uğraşsalar	uğraş+Verb+Pos+Desr+A3pl
esirgiyor	esirge+Verb+Pos+Prog1+A3sg
öğrendi	öğren+Verb+Pos+Past+A3sg
sataşmıyor	sataş+Verb+Neg+Prog1+A3sg
korkuyor	kork+Verb+Pos+Prog1+A3sg
çiğnemiş	çiğne+Verb+Pos+Narr+A3sg
anlıyor	anla+Verb+Pos+Prog1+A3sg
öğreniyor	öğren+Verb+Pos+Prog1+A3sg
eğmez	eğ+Verb+Neg+Aor+A3sg
anlamış	anla+Verb+Pos+Narr+A3sg
almadı	al+Verb+Neg+Past+A3sg
uyanmış	uyan+Verb+Pos+Narr+A3sg
kaçmış	kaç+Verb+Pos+Narr+A3sg
durmamış	dur+Verb+Neg+Narr+A3sg
yemez	ye+Verb+Neg+Aor+A3sg
atladı	atla+Verb+Pos+Past+A3sg
demedi	de+Verb+Neg+Past+A3sg
çalıştı	çalış+Verb+Pos+Past+A3sg
etmemiş	et+Verb+Neg+Narr+A3sg
kurdu	kur+Verb+Pos+Past+A3sg
yağladı	yağla+Verb+Pos+Past+A3sg
vermeyeceğim	ver+Verb+Neg+Fut+A1sg
gözetlemiş	gözetle+Verb+Pos+Narr+A3sg
tırmandı	tırman+Verb+Pos+Past+A3sg
uçtu	uç+Verb+Pos+Past+A3sg
çarptı	çarp+Verb+Pos+Past+A3sg
becermiş	becer+Verb+Pos+Narr+A3sg
ısırdı	ısır+Verb+Pos+Past+A3sg
hoşlanmasa	hoşlan+Verb+Neg+Desr+A3sg
azarladı	azarla+Verb+Pos+Past+A3sg
kalkışmadı	kalkış+Verb+Neg+Past+A3sg
dilerim	dil+Verb+Pos+Aor+A1sg
kalacağım	kal+Verb+Pos+Fut+A1sg
tanıdık	tanı+Verb+Pos+Past+A1pl
tanımaz	tanı+Verb+Neg+Aor+A3sg
tanırım	tanı+Verb+Pos+Aor+A1sg
olurum	ol+Verb+Pos+Aor+A1sg
taşıyor	taş+Verb+Pos+Prog1+A3sg
oluştu	oluş+Verb+Pos+Past+A3sg
alışmış	alış+Verb+Pos+Narr+A3sg
duyuyorum	duy+Verb+Pos+Prog1+A1sg
düşünüyorum	düşün+Verb+Pos+Prog1+A1sg
götürdük	götür+Verb+Pos+Past+A1pl
vazgeçtik	vazgeç+Verb+Pos+Past+A1pl
hatırladık	hatırla+Verb+Pos+Past+A1pl
konuşurum	konuş+Verb+Pos+Aor+A1sg
çıkacaklar	çık+Verb+Pos+Fut+A3pl
korktum	kork+Verb+Pos+Past+A1sg
bilsen	bil+Verb+Pos+Desr+A2sg
onaracağım	onar+Verb+Pos+Fut+A1sg
etmesinler	et+Verb+Neg+Imp+A3pl
böbürlenir	böbürlen+Verb+Pos+Aor+A3sg
boyadılar	boya+Verb+Pos+Past+A3pl
çalmışlar	çal+Verb+Pos+Narr+A3pl
acımamışlar	acı+Verb+Neg+Narr+A3pl
boyamışlar	boya+Verb+Pos+Narr+A3pl
azarladım	azarla+Verb+Pos+Past+A1sg
ettiler	et+Verb+Pos+Past+A3pl
uğradık	uğra+Verb+Pos+Past+A1pl
döneceğiz	dön+Verb+Pos+Fut+A1pl
der	de+Verb+Pos+Aor+A3sg
bur	bur+Verb+Pos+Imp+A2sg
gidecek	git+Verb+Pos+Fut+A3sg
almadım	al+Verb+Neg+Past+A1sg
doldum	dol+Verb+Pos+Past+A1sg
yürüdüm	yürü+Verb+Pos+Past+A1sg
kalkmış	kalk+Verb+Pos+Narr+A3sg
başladım	başla+Verb+Pos+Past+A1sg
dönmüş	dön+Verb+Pos+Narr+A3sg
boyadı	boya+Verb+Pos+Past+A3sg
alçalıyor	alçal+Verb+Pos+Prog1+A3sg
sorar	sor+Verb+Pos+Aor+A3sg
durursunuz	dur+Verb+Pos+Aor+A2pl
bakarsınız	bak+Verb+Pos+Aor+A2pl
dağılmış	dağıl+Verb+Pos+Narr+A3sg
istemez	iste+Verb+Neg+Aor+A3sg
bozmadı	boz+Verb+Neg+Past+A3sg
durdum	dur+Verb+Pos+Past+A1sg
çekişti	çekiş+Verb+Pos+Past+A3sg
döndüm	dön+Verb+Pos+Past+A1sg
yaklaştım	yaklaş+Verb+Pos+Past+A1sg
doğruldu	doğrul+Verb+Pos+Past+A3sg
bulunacak	bulun+Verb+Pos+Fut+A3sg
yöneldi	yönel+Verb+Pos+Past+A3sg
anlar	anla+Verb+Pos+Aor+A3sg
şükrettim	şükret+Verb+Pos+Past+A1sg
bıraktı	bırak+Verb+Pos+Past+A3sg
başladık	başla+Verb+Pos+Past+A1pl
girer	gir+Verb+Pos+Aor+A3sg
olursunuz	ol+Verb+Pos+Aor+A2pl
yeltenmez	yelten+Verb+Neg+Aor+A3sg
ekledim	ekle+Verb+Pos+Past+A1sg
bilmeyecek	bil+Verb+Neg+Fut+A3sg
süzüyor	süz+Verb+Pos+Prog1+A3sg
tanıyor	tanı+Verb+Pos+Prog1+A3sg
tanıyorum	tanı+Verb+Pos+Prog1+A1sg
titriyorsunuz	titre+Verb+Pos+Prog1+A2pl
olmalısınız	ol+Verb+Pos+Neces+A2pl
gelmedi	gel+Verb+Neg+Past+A3sg
söylüyorsunuz	söyle+Verb+Pos+Prog1+A2pl
titriyor	titre+Verb+Pos+Prog1+A3sg
yaklaşmış	yaklaş+Verb+Pos+Narr+A3sg
yeğledim	yeğle+Verb+Pos+Past+A1sg
söylemediniz	söyle+Verb+Neg+Past+A2pl
söylediniz	söyle+Verb+Pos+Past+A2pl
gider	git+Verb+Pos+Aor+A3sg
hoşlanırım	hoşlan+Verb+Pos+Aor+A1sg
kaybedeceksiniz	kaybet+Verb+Pos+Fut+A2pl
hoşlanmadım	hoşlan+Verb+Neg+Past+A1sg
bağışlayın	bağışla+Verb+Pos+Imp+A2pl
kaçtı	kaç+Verb+Pos+Past+A3sg
boşa	boşa+Verb+Pos+Imp+A2sg
beklersiniz	bekle+Verb+Pos+Aor+A2pl
konuşmalıyım	konuş+Verb+Pos+Neces+A1sg
tanışmadım	tanış+Verb+Neg+Past+A1sg
dururum	dur+Verb+Pos+Aor+A1sg
geçiyor	geç+Verb+Pos+Prog1+A3sg
şaşar	şaş+Verb+Pos+Aor+A3sg
kalırsınız	kal+Verb+Pos+Aor+A2pl
benzer	benze+Verb+Pos+Aor+A3sg
tutuyorum	tut+Verb+Pos+Prog1+A1sg
güleceksiniz	gül+Verb+Pos+Fut+A2pl
istedim	iste+Verb+Pos+Past+A1sg
sevmiyor	sev+Verb+Neg+Prog1+A3sg
gülsün	gül+Verb+Pos+Imp+A3sg
gülüyorsunuz	gül+Verb+Pos+Prog1+A2pl
çalışıyorum	çalış+Verb+Pos+Prog1+A1sg
darılmayın	darıl+Verb+Neg+Imp+A2pl
gülüyorum	gül+Verb+Pos+Prog1+A1sg
yalvar	yalvar+Verb+Pos+Imp+A2sg
yakar	yak+Verb+Pos+Aor+A3sg
tanıyacak	tanı+Verb+Pos+Fut+A3sg
sağolasınız	sağol+Verb+Pos+Opt+A2pl
bağırdım	bağır+Verb+Pos+Past+A1sg
sezdiniz	sez+Verb+Pos+Past+A2pl
diyelim	de+Verb+Pos+Opt+A1pl
söylemiyorsunuz	söyle+Verb+Neg+Prog1+A2pl
kabarıyor	kabar+Verb+Pos+Prog1+A3sg
sandım	san+Verb+Pos+Past+A1sg
duymam	duy+Verb+Neg+Aor+A1sg
etmedim	et+Verb+Neg+Past+A1sg
susun	sus+Verb+Pos+Imp+A2pl
etmeyelim	et+Verb+Neg+Opt+A1pl
sevindim	sevin+Verb+Pos+Past+A1sg
geldik	gel+Verb+Pos+Past+A1pl
bitti	bit+Verb+Pos+Past+A3sg
bağlıyorsunuz	bağla+Verb+Pos+Prog1+A2pl
kesmiş	kes+Verb+Pos+Narr+A3sg
düşleyeceğim	düşle+Verb+Pos+Fut+A1sg
bilmezsiniz	bil+Verb+Neg+Aor+A2pl
ağlıyor	ağla+Verb+Pos+Prog1+A3sg
yakalamış	yakala+Verb+Pos+Narr+A3sg
anlıyorum	anla+Verb+Pos+Prog1+A1sg
düşünmeyin	düşün+Verb+Neg+Imp+A2pl
gelmem	gel+Verb+Neg+Aor+A1sg
darılmam	darıl+Verb+Neg+Aor+A1sg
geçmez	geç+Verb+Neg+Aor+A3sg
koyalım	koy+Verb+Pos+Opt+A1pl
isterim	iste+Verb+Pos+Aor+A1sg
varmayın	var+Verb+Neg+Imp+A2pl
sanmayın	san+Verb+Neg+Imp+A2pl
şaşıyorum	şaş+Verb+Pos+Prog1+A1sg
haykırdım	haykır+Verb+Pos+Past+A1sg
deyin	de+Verb+Pos+Imp+A2pl
bulunmayacağım	bulun+Verb+Neg+Fut+A1sg
tanıdınız	tanı+Verb+Pos+Past+A2pl
çağırıyorum	çağır+Verb+Pos+Prog1+A1sg
uyacaksınız	uy+Verb+Pos+Fut+A2pl
kalkmayın	kalk+Verb+Neg+Imp+A2pl
olalım	ol+Verb+Pos+Opt+A1pl
benimserim	benimse+Verb+Pos+Aor+A1sg
yadırgamayın	yadırga+Verb+Neg+Imp+A2pl
soracak	sor+Verb+Pos+Fut+A3sg
çekti	çek+Verb+Pos+Past+A3sg
yakalarlar	yakala+Verb+Pos+Aor+A3pl
diyorlar	de+Verb+Pos+Prog1+A3pl
sersemlemiş	sersemle+Verb+Pos+Narr+A3sg
duruyorlar	dur+Verb+Pos+Prog1+A3pl
gülümsedi	gülümse+Verb+Pos+Past+A3sg
değildin	değil+Verb+Neg+Past+A2sg
geliyorlar	gel+Verb+Pos+Prog1+A3pl
serpti	serp+Verb+Pos+Past+A3sg
seyretti	seyret+Verb+Pos+Past+A3sg
atıyor	ata+Verb+Pos+Prog1+A3sg
vazgeçti	vazgeç+Verb+Pos+Past+A3sg
yaramaz	yara+Verb+Neg+Aor+A3sg
sendeleye	sendele+Verb+Pos+Opt+A3sg
ürpermiş	ürper+Verb+Pos+Narr+A3sg
uzamış	uza+Verb+Pos+Narr+A3sg
görür	gör+Verb+Pos+Aor+A3sg
şaşırdı	şaşır+Verb+Pos+Past+A3sg
attılar	at+Verb+Pos+Past+A3pl
tıktılar	tık+Verb+Pos+Past+A3pl
sokarım	sok+Verb+Pos+Aor+A1sg
korktu	kork+Verb+Pos+Past+A3sg
dinlemiyor	dinle+Verb+Neg+Prog1+A3sg
sağol	sağol+Verb+Pos+Imp+A2sg
bakayım	bak+Verb+Pos+Opt+A1sg
döktü	dök+Verb+Pos+Past+A3sg
gülümsüyor	gülümse+Verb+Pos+Prog1+A3sg
sürer	sür+Verb+Pos+Aor+A3sg
duruyor	dur+Verb+Pos+Prog1+A3sg
kovdu	kov+Verb+Pos+Past+A3sg
oturacak	otur+Verb+Pos+Fut+A3sg
al	al+Verb+Pos+Imp+A2sg
otur	otur+Verb+Pos+Imp+A2sg
kaybolmuş	kaybol+Verb+Pos+Narr+A3sg
geldin	gel+Verb+Pos+Past+A2sg
edelim	et+Verb+Pos+Opt+A1pl
bul	bul+Verb+Pos+Imp+A2sg
oturmuş	otur+Verb+Pos+Narr+A3sg
istiyor	iste+Verb+Pos+Prog1+A3sg
edersin	et+Verb+Pos+Aor+A2sg
girdiler	gir+Verb+Pos+Past+A3pl
dikti	dik+Verb+Pos+Past+A3sg
tanıdı	tanı+Verb+Pos+Past+A3sg
eğdiler	eğ+Verb+Pos+Past+A3pl
eğmiş	eğ+Verb+Pos+Narr+A3sg
yıprandı	yıpran+Verb+Pos+Past+A3sg
bıkmış	bık+Verb+Pos+Narr+A3sg
usanmış	usan+Verb+Pos+Narr+A3sg
kaçtım	kaç+Verb+Pos+Past+A1sg
yakacak	yak+Verb+Pos+Fut+A3sg
yatıyor	yat+Verb+Pos+Prog1+A3sg
seyrediyor	seyret+Verb+Pos+Prog1+A3sg
düşündüm	düşün+Verb+Pos+Past+A1sg
oluyor	ol+Verb+Pos+Prog1+A3sg
oluyorum	ol+Verb+Pos+Prog1+A1sg
soğudu	soğu+Verb+Pos+Past+A3sg
kalktı	kalk+Verb+Pos+Past+A3sg
girişti	giriş+Verb+Pos+Past+A3sg
yiyor	ye+Verb+Pos+Prog1+A3sg
konuşmadı	konuş+Verb+Neg+Past+A3sg
soruyor	sor+Verb+Pos+Prog1+A3sg
inceliyor	incele+Verb+Pos+Prog1+A3sg
karışmış	karış+Verb+Pos+Narr+A3sg
bıraktılar	bırak+Verb+Pos+Past+A3pl
içtiler	iç+Verb+Pos+Past+A3pl
çıktılar	çık+Verb+Pos+Past+A3pl
yaklaştılar	yaklaş+Verb+Pos+Past+A3pl
durdular	dur+Verb+Pos+Past+A3pl
sürdüler	sür+Verb+Pos+Past+A3pl
anlamaz	anla+Verb+Neg+Aor+A3sg
dolaşıyor	dolaş+Verb+Pos+Prog1+A3sg
uğramıyor	uğra+Verb+Neg+Prog1+A3sg
seziyor	sez+Verb+Pos+Prog1+A3sg
ittim	it+Verb+Pos+Past+A1sg
karıştım	karış+Verb+Pos+Past+A1sg
bakıyoruz	bak+Verb+Pos+Prog1+A1pl
bahsetmediniz	bahset+Verb+Neg+Past+A2pl
olmadı	ol+Verb+Neg+Past+A3sg
satacak	sat+Verb+Pos+Fut+A3sg
bilmiyorsun	bil+Verb+Neg+Prog1+A2sg
tanımazsın	tanı+Verb+Neg+Aor+A2sg
şişiyor	şiş+Verb+Pos+Prog1+A3sg
çıkıyorsunuz	çık+Verb+Pos+Prog1+A2pl
gelse	gel+Verb+Pos+Desr+A3sg
yüklese	yükle+Verb+Pos+Desr+A3sg
satsa	sat+Verb+Pos+Desr+A3sg
çıkarız	çık+Verb+Pos+Aor+A1pl
bulacağız	bul+Verb+Pos+Fut+A1pl
sattık	sat+Verb+Pos+Past+A1pl
gittik	git+Verb+Pos+Past+A1pl
çapaladım	çapala+Verb+Pos+Past+A1sg
zannettin	zannet+Verb+Pos+Past+A2sg
topladık	topla+Verb+Pos+Past+A1pl
verdik	ver+Verb+Pos+Past+A1pl
böldük	böl+Verb+Pos+Past+A1pl
yaptık	yap+Verb+Pos+Past+A1pl
gerekecek	gerek+Verb+Pos+Fut+A3sg
terkediyor	terket+Verb+Pos+Prog1+A3sg
soluya	solu+Verb+Pos+Opt+A3sg
ediyorlar	et+Verb+Pos+Prog1+A3pl
giriyor	gir+Verb+Pos+Prog1+A3sg
soluyorlar	sol+Verb+Pos+Prog1+A3pl
kaplamış	kapla+Verb+Pos+Narr+A3sg
çömeldi	çömel+Verb+Pos+Past+A3sg
tutmuş	tut+Verb+Pos+Narr+A3sg
verdin	ver+Verb+Pos+Past+A2sg
yakışmıyor	yakış+Verb+Neg+Prog1+A3sg
verdiler	ver+Verb+Pos+Past+A3pl
yükleriz	yükle+Verb+Pos+Aor+A1pl
sürdüm	sür+Verb+Pos+Past+A1sg
kısmış	kıs+Verb+Pos+Narr+A3sg
değecek	değ+Verb+Pos+Fut+A3sg
baktılar	bak+Verb+Pos+Past+A3pl
değişti	değiş+Verb+Pos+Past+A3sg
belirdi	belir+Verb+Pos+Past+A3sg
benzedi	benze+Verb+Pos+Past+A3sg
sarkıttı	sarkıt+Verb+Pos+Past+A3sg
unutmuş	unut+Verb+Pos+Narr+A3sg
uzamışsın	uza+Verb+Pos+Narr+A2sg
sırıttı	sırıt+Verb+Pos+Past+A3sg
gelmişsin	gel+Verb+Pos+Narr+A2sg
sat	sat+Verb+Pos+Imp+A2sg
toparladılar	toparla+Verb+Pos+Past+A3pl
vereyim	ver+Verb+Pos+Opt+A1sg
kullanıyor	kullan+Verb+Pos+Prog1+A3sg
ver	ver+Verb+Pos+Imp+A2sg
almıyorsun	al+Verb+Neg+Prog1+A2sg
alıyorsun	al+Verb+Pos+Prog1+A2sg
süreceksin	sür+Verb+Pos+Fut+A2sg
inmem	in+Verb+Neg+Aor+A1sg
bırakırım	bırak+Verb+Pos+Aor+A1sg
anlamıyorsun	anla+Verb+Neg+Prog1+A2sg
anlaştık	anlaş+Verb+Pos+Past+A1pl
vereceksin	ver+Verb+Pos+Fut+A2sg
yakışmışlar	yakış+Verb+Pos+Narr+A3pl
uymuşlar	uy+Verb+Pos+Narr+A3pl
vurur	vur+Verb+Pos+Aor+A3sg
dururlar	dur+Verb+Pos+Aor+A3pl
atın	at+Verb+Pos+Imp+A2pl
bayılır	bayıl+Verb+Pos+Aor+A3sg
saçmalıyorsun	saçmala+Verb+Pos+Prog1+A2sg
büyüyecek	büyü+Verb+Pos+Fut+A3sg
açacak	aç+Verb+Pos+Fut+A3sg
baltaladın	baltala+Verb+Pos+Past+A2sg
kurtaracak	kurtar+Verb+Pos+Fut+A3sg
döndüler	dön+Verb+Pos+Past+A3pl
aldılar	al+Verb+Pos+Past+A3pl
gülmediler	gül+Verb+Neg+Past+A3pl
başlarız	başla+Verb+Pos+Aor+A1pl
başlarsın	başla+Verb+Pos+Aor+A2sg
kalacağız	kal+Verb+Pos+Fut+A1pl
yürüyeceğiz	yürü+Verb+Pos+Fut+A1pl
yürüyecek	yürü+Verb+Pos+Fut+A3sg
yürüdüler	yürü+Verb+Pos+Past+A3pl
çeviriyor	çevir+Verb+Pos+Prog1+A3sg
bakıyorlar	bak+Verb+Pos+Prog1+A3pl
biliyorsunuz	bile+Verb+Pos+Prog1+A2pl
kullanırsın	kullan+Verb+Pos+Aor+A2sg
alın	al+Verb+Pos+Imp+A2pl
kalmasa	kal+Verb+Neg+Desr+A3sg
yarıyor	yara+Verb+Pos+Prog1+A3sg
bırakın	bırak+Verb+Pos+Imp+A2pl
alırım	al+Verb+Pos+Aor+A1sg
oturuyorlar	otur+Verb+Pos+Prog1+A3pl
çeviriyorlar	çevir+Verb+Pos+Prog1+A3pl
dalmış	dal+Verb+Pos+Narr+A3sg
alsak	al+Verb+Pos+Desr+A1pl
zannetmem	zannet+Verb+Neg+Aor+A1sg
yaşarız	yaşa+Verb+Pos+Aor+A1pl
tanıyacağız	tanı+Verb+Pos+Fut+A1pl
gitsin	git+Verb+Pos+Imp+A3sg
gömdüler	göm+Verb+Pos+Past+A3pl
yapacağız	yap+Verb+Pos+Fut+A1pl
anlasan	anla+Verb+Pos+Desr+A2sg
kalk	kalk+Verb+Pos+Imp+A2sg
seyrettiler	seyret+Verb+Pos+Past+A3pl
yüklediler	yükle+Verb+Pos+Past+A3pl
gittiler	git+Verb+Pos+Past+A3pl
kayboldular	kaybol+Verb+Pos+Past+A3pl
tekmeledi	tekmele+Verb+Pos+Past+A3sg
gezdi	gez+Verb+Pos+Past+A3sg
böğürdü	böğür+Verb+Pos+Past+A3sg
istiyorlar	iste+Verb+Pos+Prog1+A3pl
toplayacak	topla+Verb+Pos+Fut+A3sg
saklarız	sakla+Verb+Pos+Aor+A1pl
çık	çık+Verb+Pos+Imp+A2sg
etse	et+Verb+Pos+Desr+A3sg
yazıyor	yaz+Verb+Pos+Prog1+A3sg
yap	yap+Verb+Pos+Imp+A2sg
yormuş	yor+Verb+Pos+Narr+A3sg
yakışmaz	yakış+Verb+Neg+Aor+A3sg
düşünmemelisin	düşün+Verb+Neg+Neces+A2sg
imiş	i+Verb+Pos+Narr+A3sg
bulur	bul+Verb+Pos+Aor+A3sg
toplarlar	topla+Verb+Pos+Aor+A3pl
durmazlar	dur+Verb+Neg+Aor+A3pl
yaşıyorlar	yaşa+Verb+Pos+Prog1+A3pl
azmış	az+Verb+Pos+Narr+A3sg
kötümsersin	kötümse+Verb+Pos+Aor+A2sg
katlansınlar	katlan+Verb+Pos+Imp+A3pl
söylesinler	söyle+Verb+Pos+Imp+A3pl
uyuyor	uy+Verb+Pos+Prog1+A3sg
uyur	uyu+Verb+Pos+Aor+A3sg
işitti	işit+Verb+Pos+Past+A3sg
çıkıyor	çık+Verb+Pos+Prog1+A3sg
öğreneceksiniz	öğren+Verb+Pos+Fut+A2pl
zorla	zorla+Verb+Pos+Imp+A2sg
unuttu	unut+Verb+Pos+Past+A3sg
kaşıdı	kaşı+Verb+Pos+Past+A3sg
buruşmuş	buruş+Verb+Pos+Narr+A3sg
zannettim	zannet+Verb+Pos+Past+A1sg
ilikleyeyim	ilikle+Verb+Pos+Opt+A1sg
istemedi	iste+Verb+Neg+Past+A3sg
ilikledi	ilikle+Verb+Pos+Past+A3sg
huylanıyor	huylan+Verb+Pos+Prog1+A3sg
iliklerim	ilikle+Verb+Pos+Aor+A1sg
gösteririm	göster+Verb+Pos+Aor+A1sg
öğretecekler	öğret+Verb+Pos+Fut+A3pl
yaparım	yap+Verb+Pos+Aor+A1sg
vurmuş	vur+Verb+Pos+Narr+A3sg
çıkıyoruz	çık+Verb+Pos+Prog1+A1pl
sarkmış	sark+Verb+Pos+Narr+A3sg
alacağım	al+Verb+Pos+Fut+A1sg
oturacağım	otur+Verb+Pos+Fut+A1sg
ezeceğim	ez+Verb+Pos+Fut+A1sg
akacak	ak+Verb+Pos+Fut+A3sg
yaşasa	yaşa+Verb+Pos+Desr+A3sg
