rahatladığınız	rahatla+Verb+Pos^DB+Adj+PastPart+P2pl
kahroluyorum	kahrol+Verb+Pos+Prog1+A1sg
hafiflemiştim	hafifle+Verb+Pos+Narr+Past+A1sg
selamlayacaklarmış	selamla+Verb+Pos^DB+Noun+FutPart+A3pl+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
tütmekte	tüt+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc
boğucu	boğ+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
alçaltmıştı	alçal+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
dönüştüğü	dönüş+Verb+Pos^DB+Adj+PastPart+P3sg
burkuldu	burk+Verb^DB+Verb+Pass+Pos+Past+A3sg
gömüldükleri	göm+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3pl
çekiştirilirdi	çekiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Aor+Past+A3sg
doğrulmak	doğrul+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
sürünen	sürü+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
gözüken	gözük+Verb+Pos^DB+Adj+PresPart
şükretsin	şükret+Verb+Pos+Imp+A3sg
yeltenmemesi	yelten+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
yeğledi	yeğle+Verb+Pos+Past+A3sg
boşanan	boşa+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
artıracak	art+Verb^DB+Verb+Caus+Pos^DB+Adj+FutPart+Pnon
kovulmuş	kov+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
darılmadığımı	darıl+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
başaran	başar+Verb+Pos^DB+Adj+PresPart
yakan	yak+Verb+Pos^DB+Adj+PresPart
sağol	sağol+Verb+Pos+Imp+A2sg
kırdığı	kır+Verb+Pos^DB+Adj+PastPart+P3sg
sevinen	sevin+Verb+Pos^DB+Adj+PresPart
görüşen	görüş+Verb+Pos^DB+Adj+PresPart
yüzdüğü	yüz+Verb+Pos^DB+Adj+PastPart+P3sg
düşlemekle	düşle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
paralıyordu	parala+Verb+Pos+Prog1+Past+A3sg
çağıran	çağır+Verb+Pos^DB+Adj+PresPart
uydukları	uy+Verb+Pos^DB+Adj+PastPart+P3pl
benimsediğiniz	benimse+Verb+Pos^DB+Adj+PastPart+P2pl
yadırganıyordu	yadırga+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
gülümseyen	gülümse+Verb+Pos^DB+Adj+PresPart
yıktığı	yık+Verb+Pos^DB+Adj+PastPart+P3sg
satabileceği	sat+Verb+Pos^DB+Verb+Able^DB+Adj+FutPart+P3sg
boşalan	boşal+Verb+Pos^DB+Adj+PresPart
serperdi	serp+Verb+Pos+Aor+Past+A3sg
iliklemeyen	ilikle+Verb+Neg^DB+Adj+PresPart
yırtan	yırt+Verb+Pos^DB+Adj+PresPart
sendeleye	sendele+Verb+Pos+Opt+A3sg
uyutan	uyu+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
utandığı	utan+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
büzülmüştü	büz+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
boylayan	boyla+Verb+Pos^DB+Adj+PresPart
tıka	tık+Verb+Pos+Opt+A3sg
kaydıkları	kay+Verb+Pos^DB+Adj+PastPart+P3pl
kırpıştırıyordu	kırpış+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
bunaltacak	bunal+Verb^DB+Verb+Caus+Pos^DB+Adj+FutPart+Pnon
bıkmış	bık+Verb+Pos+Narr+A3sg
usanmış	usan+Verb+Pos+Narr+A3sg
soğutulan	soğu+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
yutuyordum	yut+Verb+Pos+Prog1+Past+A1sg
yarılan	yar+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
akıtılan	ak+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
şişirilen	şiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
çapalamaya	çapala+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
bölmedeki	böl+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Loc^DB+Adj+Rel
zımparalayacaktı	zımparala+Verb+Pos+Fut+Past+A3sg
terkedilmiş	terket+Verb^DB+Verb+Pass+Pos+Narr+A3sg
çömeldi	çömel+Verb+Pos+Past+A3sg
kısmış	kıs+Verb+Pos+Narr+A3sg
değdiğinden	değ+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Abl
farketmişti	farket+Verb+Pos+Narr+Past+A3sg
sarkıtılan	sarkıt+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
sırıttı	sırıt+Verb+Pos+Past+A3sg
toparlandığı	toparla+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
saçmalıyorsun	saçmala+Verb+Pos+Prog1+A2sg
büyüdüğüm	büyü+Verb+Pos^DB+Adj+PastPart+P1sg
baltalanacaksın	baltala+Verb^DB+Verb+Pass+Pos+Fut+A2sg
pişen	piş+Verb+Pos^DB+Adj+PresPart
tekmeledi	tekmele+Verb+Pos+Past+A3sg
böğürdü	böğür+Verb+Pos+Past+A3sg
damlayan	damla+Verb+Pos^DB+Adj+PresPart
azdığı	az+Verb+Pos^DB+Adj+PastPart+P3sg
kötümsersin	kötümse+Verb+Pos+Aor+A2sg
katlanılabilir	katlan+Verb^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Adj+AorPart
sarfedilir	sarfet+Verb^DB+Verb+Pass+Pos+Aor+A3sg
donatıyormuş	dona+Verb^DB+Verb+Caus+Pos+Prog1+Narr+A3sg
kaşıdı	kaşı+Verb+Pos+Past+A3sg
huylanıyor	huylan+Verb+Pos+Prog1+A3sg
sarkan	sark+Verb+Pos^DB+Adj+PresPart
yumurtlayan	yumurtla+Verb+Pos^DB+Adj+PresPart
cevapladım	cevapla+Verb+Pos+Past+A1sg
sabitlediğinde	sabitle+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
takınırlardı	takın+Verb+Pos+Aor+A3pl+Past
kilitlediğinden	kilitle+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Abl
çevreleyen	çevrele+Verb+Pos^DB+Adj+PresPart
yağışlı	yağ+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Adj+With
çakan	çak+Verb+Pos^DB+Adj+PresPart
aydınlatır	aydınlat+Verb+Pos^DB+Adj+AorPart
anımsatan	anımsa+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
daraltır	daral+Verb^DB+Verb+Caus+Pos^DB+Adj+AorPart
desteklemeyen	destekle+Verb+Neg^DB+Adj+PresPart
sürünüyorduk	sürün+Verb+Pos+Prog1+Past+A1pl
süpürüyor	süpür+Verb+Pos+Prog1+A3sg
kaynaşma	kaynaş+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yavaşlatabilecek	yavaşla+Verb^DB+Verb+Caus+Pos^DB+Verb+Able^DB+Adj+FutPart+Pnon
sararmıştı	sarar+Verb+Pos+Narr+Past+A3sg
bulaştırıyordu	bulaş+Verb^DB+Verb+Caus+Pos+Prog1+Past+A3sg
çırptı	çırp+Verb+Pos+Past+A3sg
sıçrayan	sıçra+Verb+Pos^DB+Adj+PresPart
döven	döv+Verb+Pos^DB+Adj+PresPart
susuyor	susa+Verb+Pos+Prog1+A3sg
küçültmeden	küçül+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
morarmış	morar+Verb+Pos+Narr+A3sg
lekelemişti	lekele+Verb+Pos+Narr+Past+A3sg
kanayan	kana+Verb+Pos^DB+Adj+PresPart
örtecek	ört+Verb+Pos^DB+Adj+FutPart+Pnon
özetleyen	özetle+Verb+Pos^DB+Adj+PresPart
aşağılayan	aşağıla+Verb+Pos^DB+Adj+PresPart
elleyen	elle+Verb+Pos^DB+Adj+PresPart
dağıttığı	dağıt+Verb+Pos^DB+Adj+PastPart+P3sg
yolladığı	yolla+Verb+Pos^DB+Adj+PastPart+P3sg
sığmayan	sığ+Verb+Neg^DB+Adj+PresPart
tasarlanan	tasarla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
sökerim	sök+Verb+Pos+Aor+A1sg
şapırdattı	şapırda+Verb^DB+Verb+Caus+Pos+Past+A3sg
direniyordu	dire+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
gönderdikleri	gönder+Verb+Pos^DB+Adj+PastPart+P3pl
aşamadığınız	aş+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P2pl
aydınlanmıştı	aydınlan+Verb+Pos+Narr+Past+A3sg
bezenmişti	beze+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
saptıkları	sap+Verb+Pos^DB+Adj+PastPart+P3pl
etkilemeyen	etkile+Verb+Neg^DB+Adj+PresPart
tutuklandı	tutukla+Verb^DB+Verb+Pass+Pos+Past+A3sg
birleştiği	birleş+Verb+Pos^DB+Adj+PastPart+P3sg
yayımlanan	yayımla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
müjdeliyordu	müjdele+Verb+Pos+Prog1+Past+A3sg
aktarmalı	aktar+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Adj+With
karşılaştırılacak	karşılaştır+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
sergilendiği	sergile+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
tanımlayacağı	tanımla+Verb+Pos^DB+Adj+FutPart+P3sg
yaladı	yala+Verb+Pos+Past+A3sg
biriktirivereyim	birik+Verb^DB+Verb+Caus+Pos^DB+Verb+Hastily+Opt+A1sg
sızmış	sız+Verb+Pos^DB+Adj+NarrPart
sürüklediğiniz	sürükle+Verb+Pos^DB+Adj+PastPart+P2pl
berelenmiş	berele+Verb^DB+Verb+Pass+Pos+Narr+A3sg
övünülecek	övün+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
döğüşmüşlerdi	döğ+Verb^DB+Verb+Recip+Pos+Narr+A3pl+Past
savurduğu	savur+Verb+Pos^DB+Adj+PastPart+P3sg
çırpınan	çırpın+Verb+Pos^DB+Adj+PresPart
defol	defol+Verb+Pos+Imp+A2sg
çatladı	çatla+Verb+Pos+Past+A3sg
kokladı	kokla+Verb+Pos+Past+A3sg
süzülüyordu	süzül+Verb+Pos+Prog1+Past+A3sg
tıngırdıyordu	tıngırda+Verb+Pos+Prog1+Past+A3sg
azaldığı	azal+Verb+Pos^DB+Adj+PastPart+P3sg
seslendiğinde	sesle+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
sevişiyor	seviş+Verb+Pos+Prog1+A3sg
yasaklanan	yasakla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
hapsediyorsunuz	hapset+Verb+Pos+Prog1+A2pl
kabullenmişlerdi	kabullen+Verb+Pos+Narr+A3pl+Past
yinelenen	yinele+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
küllenmiş	külle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
sözediyordu	sözet+Verb+Pos+Prog1+Past+A3sg
zayıflamıştı	zayıfla+Verb+Pos+Narr+Past+A3sg
alıkoyacak	alıkoy+Verb+Pos^DB+Adj+FutPart+Pnon
sahnelenen	sahnele+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
tutunmuş	tutun+Verb+Pos+Narr+A3sg
belirledikleri	belirle+Verb+Pos^DB+Adj+PastPart+P3pl
sarmalayabilir	sarmala+Verb+Pos^DB+Verb+Able+Aor+A3sg
uyuşturmak	uyuş+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
algılayan	algıla+Verb+Pos^DB+Adj+PresPart
büyütmedim	büyüt+Verb+Neg+Past+A1sg
derdim	der+Verb+Pos+Past+A1sg
keşfetmediği	keşfet+Verb+Neg^DB+Adj+PastPart+P3sg
temizler	temizle+Verb+Pos+Aor+A3sg
kurtulan	kurtul+Verb+Pos^DB+Adj+PresPart
çıldırtan	çıldır+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
öksürtmeye	öksür+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
çınlatan	çınla+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
sürttü	sürt+Verb+Pos+Past+A3sg
ısıtamıyordum	ısıt+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
kaykılmış	kaykıl+Verb+Pos+Narr+A3sg
üşüme	üşü+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
oyulan	oy+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
küfretmeye	küfret+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
ıskalayan	ıskala+Verb+Pos^DB+Adj+PresPart
tökezledi	tökezle+Verb+Pos+Past+A3sg
tembihledim	tembihle+Verb+Pos+Past+A1sg
erdiği	er+Verb+Pos^DB+Adj+PastPart+P3sg
değiller	değille+Verb+Pos+Aor+A3sg
danışır	danış+Verb+Pos+Aor+A3sg
tutuşturulan	tutuş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
avutacak	avut+Verb+Pos^DB+Adj+FutPart+Pnon
ezberledim	ezberle+Verb+Pos+Past+A1sg
afallamıştım	afalla+Verb+Pos+Narr+Past+A1sg
sunuculu	sun+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Adj+With
eleştiren	eleştir+Verb+Pos^DB+Adj+PresPart
kirletmeyecek	kirlet+Verb+Neg+Fut+A3sg
iletebilen	ilet+Verb+Pos^DB+Verb+Able^DB+Adj+PresPart
üşüşmüştü	üşüş+Verb+Pos+Narr+Past+A3sg
irkiliyor	irkil+Verb+Pos+Prog1+A3sg
sönen	sön+Verb+Pos^DB+Adj+PresPart
abartacaklardı	abart+Verb+Pos+Fut+A3pl+Past
önemsediğim	önemse+Verb+Pos^DB+Adj+PastPart+P1sg
dalıyordum	dala+Verb+Pos+Prog1+Past+A1sg
yargılayan	yargıla+Verb+Pos^DB+Adj+PresPart
bürüneceğini	bürün+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
kakacağım	kak+Verb+Pos+Fut+A1sg
kiraladığım	kirala+Verb+Pos^DB+Adj+PastPart+P1sg
kuruyan	kuru+Verb+Pos^DB+Adj+PresPart
savunan	savun+Verb+Pos^DB+Adj+PresPart
tarandıkları	tara+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3pl
serpiştirilmiş	serpiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
uçuştuğu	uçuş+Verb+Pos^DB+Adj+PastPart+P3sg
arzuladığı	arzula+Verb+Pos^DB+Adj+PastPart+P3sg
kırışmış	kırış+Verb+Pos+Narr+A3sg
önerdiğim	öner+Verb+Pos^DB+Adj+PastPart+P1sg
aldatıcı	aldat+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
ovuşturmaya	ovuştur+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
direnen	diren+Verb+Pos^DB+Adj+PresPart
buyurur	buyur+Verb+Pos+Aor+A3sg
sayıklıyordu	sayıkla+Verb+Pos+Prog1+Past+A3sg
sızlayan	sızla+Verb+Pos^DB+Adj+PresPart
hastalanmamıştı	hastalan+Verb+Neg+Narr+Past+A3sg
ummadıkları	um+Verb+Neg^DB+Adj+PastPart+P3pl
kaçınmayan	kaçın+Verb+Neg^DB+Adj+PresPart
kızardığını	kızar+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
şakalaşıyor	şakalaş+Verb+Pos+Prog1+A3sg
zamanlandığı	zamanla+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
dışlandı	dışla+Verb^DB+Verb+Pass+Pos+Past+A3sg
yayınladığı	yayınla+Verb+Pos^DB+Adj+PastPart+P3sg
pazarlamacıydı	pazarla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
çözümlenemeyen	çözümle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
paketlememişti	paketle+Verb+Neg+Narr+Past+A3sg
önlediği	önle+Verb+Pos^DB+Adj+PastPart+P3sg
acıkmıştı	acık+Verb+Pos+Narr+Past+A3sg
varsayılan	varsay+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
gıcırdayan	gıcırda+Verb+Pos^DB+Adj+PresPart
kımıldamadı	kımılda+Verb+Neg+Past+A3sg
savsaklıyorsunuz	savsakla+Verb+Pos+Prog1+A2pl
aralandı	arala+Verb^DB+Verb+Pass+Pos+Past+A3sg
yankılanıyordu	yankıla+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
havalandığı	havalan+Verb+Pos^DB+Adj+PastPart+P3sg
hışırdayan	hışırda+Verb+Pos^DB+Adj+PresPart
sıyrılmıştı	sıyrıl+Verb+Pos+Narr+Past+A3sg
topallayan	topalla+Verb+Pos^DB+Adj+PresPart
uygulanabilen	uygula+Verb^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Adj+PresPart
noktalanırsa	noktala+Verb^DB+Verb+Pass+Pos+Aor+Cond+A3sg
donan	don+Verb+Pos^DB+Adj+PresPart
yendiği	yen+Verb+Pos^DB+Adj+PastPart+P3sg
geğirdi	geğir+Verb+Pos+Past+A3sg
nitelendirilebilecek	nitelen+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
üstlenen	üstlen+Verb+Pos^DB+Adj+PresPart
incelir	incel+Verb+Pos+Aor+A3sg
oflar	ofla+Verb+Pos+Aor+A3sg
çabalasa	çabala+Verb+Pos+Desr+A3sg
çözebilen	çöz+Verb+Pos^DB+Verb+Able^DB+Adj+PresPart
ışıldayan	ışılda+Verb+Pos^DB+Adj+PresPart
zaptedemiyordum	zaptet+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
kahrediyorsunuz	kahret+Verb+Pos+Prog1+A2pl
araştırdığınız	araştır+Verb+Pos^DB+Adj+PastPart+P2pl
ferahlaması	ferahla+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
uğurlama	uğurla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
dizdiği	diz+Verb+Pos^DB+Adj+PastPart+P3sg
kıyaslanabilecek	kıyasla+Verb^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Adj+FutPart+Pnon
zehirleyen	zehirle+Verb+Pos^DB+Adj+PresPart
taparlar	tap+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3pl+Pnon+Nom
alkışlamaya	alkışla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
ayarlayacak	ayarla+Verb+Pos^DB+Adj+FutPart+Pnon
savaşan	savaş+Verb+Pos^DB+Adj+PresPart
geciken	gecik+Verb+Pos^DB+Adj+PresPart
çalkalandığını	çalkala+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
ayıplamaya	ayıpla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
gözettiğimi	göze+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
öğütlememe	öğütle+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Nom
halletmek	hallet+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
toslamamak	tosla+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
dizginlemeye	dizginle+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
hırlayan	hırla+Verb+Pos^DB+Adj+PresPart
hırpalanmış	hırpala+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
dalaşmadan	dalaş+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
kanıtlayabilmeli	kanıtla+Verb+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Adj+With
saplanan	sapla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
paylamadan	payla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
ısınan	ısın+Verb+Pos^DB+Adj+PresPart
eğitmek	eğit+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
tünemeye	tüne+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
tıklattığınız	tıkla+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P2pl
tükenmek	tüken+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
şaklamasıyla	şakla+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Ins
ötesinden	öt+Verb+Pos^DB+Noun+FeelLike+A3sg+P2sg+Abl
mırıldanmak	mırılda+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
buluşan	buluş+Verb+Pos^DB+Adj+PresPart
genişletilen	genişle+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Adj+PresPart
yakarış	yakar+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom
tepesinden	tep+Verb+Pos^DB+Noun+FeelLike+A3sg+P2sg+Abl
alınan	alın+Verb+Pos^DB+Adj+PresPart
yumruklamaya	yumrukla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
üfledikten	üfle+Verb+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
yansıyacak	yansı+Verb+Pos^DB+Adj+FutPart+Pnon
eklemlerimi	eklemle+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3sg+P1sg+Acc
esnemesini	esne+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
seğirmeler	seğir+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
patlamak	patla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
kağıtlarımı	kağıtla+Verb+Pos^DB+Adj+AorPart^DB+Noun+Zero+A3sg+P1sg+Acc
filizlenmeye	filizle+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
soyunmuş	soyun+Verb+Pos^DB+Adj+NarrPart
diklendiği	dikle+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
kısıtlanmış	kısıtla+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
yonttuğu	yont+Verb+Pos^DB+Adj+PastPart+P3sg
sümküren	sümkür+Verb+Pos^DB+Adj+PresPart
kamaştıran	kamaş+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
kaynayan	kayna+Verb+Pos^DB+Adj+PresPart
tırmalayan	tırmala+Verb+Pos^DB+Adj+PresPart
koşuşturan	koşuş+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
yönetir	yönet+Verb+Pos^DB+Adj+AorPart
denetleyicisindeki	denetle+Verb+Pos^DB+Noun+Agt+A3sg+P3sg+Loc^DB+Adj+Rel
avlanan	avla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
hortladığı	hortla+Verb+Pos^DB+Adj+PastPart+P3sg
yağmaladığı	yağmala+Verb+Pos^DB+Adj+PastPart+P3sg
kanlar	kanla+Verb+Pos^DB+Adj+AorPart
azıttığı	azıt+Verb+Pos^DB+Adj+PastPart+P3sg
incitici	incit+Verb+Pos^DB+Adj+Agt
varolan	varol+Verb+Pos^DB+Adj+PresPart
üretmeyen	üre+Verb^DB+Verb+Caus+Neg^DB+Adj+PresPart
uluyan	ulu+Verb+Pos^DB+Adj+PresPart
bahşettiği	bahşet+Verb+Pos^DB+Adj+PastPart+P3sg
ağrıyan	ağrı+Verb+Pos^DB+Adj+PresPart
döşenmiş	döşe+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
budanmış	buda+Verb^DB+Verb+Pass+Pos^DB+Adj+NarrPart
kesişen	kesiş+Verb+Pos^DB+Adj+PresPart
ayaklanan	ayaklan+Verb+Pos^DB+Adj+PresPart
fışkıran	fışkır+Verb+Pos^DB+Adj+PresPart
şenlendirdiği	şenlen+Verb^DB+Verb+Caus+Pos^DB+Adj+PastPart+P3sg
uğuldayan	uğulda+Verb+Pos^DB+Adj+PresPart
pekiştiren	pekiş+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
iğrenilecek	iğren+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
sorgulayan	sorgula+Verb+Pos^DB+Adj+PresPart
delen	del+Verb+Pos^DB+Adj+PresPart
dikilen	dikil+Verb+Pos^DB+Adj+PresPart
rastgeldiği	rastgel+Verb+Pos^DB+Adj+PastPart+P3sg
ağarmış	ağar+Verb+Pos^DB+Adj+NarrPart
hedeflendiği	hedefle+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
defnedildiği	defnet+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
otladığı	otla+Verb+Pos^DB+Adj+PastPart+P3sg
değinen	değin+Verb+Pos^DB+Adj+PresPart
püskürten	püskür+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart
doğrulayan	doğrula+Verb+Pos^DB+Adj+PresPart
yanaşamadığı	yanaş+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
güttüğüm	güt+Verb+Pos^DB+Adj+PastPart+P1sg
uyuklayan	uyukla+Verb+Pos^DB+Adj+PresPart
dinlenen	dinlen+Verb+Pos^DB+Adj+PresPart
kuşanan	kuşan+Verb+Pos^DB+Adj+PresPart
şıngırdayacak	şıngırda+Verb+Pos^DB+Adj+FutPart+Pnon
kurcalayan	kurcala+Verb+Pos^DB+Adj+PresPart
devrilen	devir+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
takılan	takıl+Verb+Pos^DB+Adj+PresPart
özlediği	özle+Verb+Pos^DB+Adj+PastPart+P3sg
yadsıyan	yadsı+Verb+Pos^DB+Adj+PresPart
bütünleyen	bütünle+Verb+Pos^DB+Adj+PresPart
aşılayan	aşıla+Verb+Pos^DB+Adj+PresPart
kıvranan	kıvran+Verb+Pos^DB+Adj+PresPart
aldırdığı	aldır+Verb+Pos^DB+Adj+PastPart+P3sg
görüntülendiği	görüntüle+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
işaretlenen	işaretle+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
devraldığı	devral+Verb+Pos^DB+Adj+PastPart+P3sg
kısalan	kısal+Verb+Pos^DB+Adj+PresPart
planladığınız	planla+Verb+Pos^DB+Adj+PastPart+P2pl
kaydettiği	kaydet+Verb+Pos^DB+Adj+PastPart+P3sg
ölçüldüğü	ölç+Verb^DB+Verb+Pass+Pos^DB+Adj+PastPart+P3sg
tetikleyen	tetikle+Verb+Pos^DB+Adj+PresPart
şifreleyen	şifrele+Verb+Pos^DB+Adj+PresPart
odaklanılan	odakla+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart
önyüklemesiz	önyükle+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Adj+Without
depolayan	depola+Verb+Pos^DB+Adj+PresPart
eriştiği	eriş+Verb+Pos^DB+Adj+PastPart+P3sg
listelenecek	listele+Verb^DB+Verb+Pass+Pos^DB+Adj+FutPart+Pnon
yorumlayan	yorumla+Verb+Pos^DB+Adj+PresPart
