değil	değil+Verb+Neg+Pres+A3sg
verememişçesine	ver+Verb^DB+Verb+Able+Neg+Narr+A3sg^DB+Adverb+AsIf
dinmemişti	de+Verb^DB+Verb+Pass+Neg+Narr+Past+A3sg
kaybetmeyen	kaybet+Verb+Neg^DB+Adj+PresPart
yaşayamazdım	yaşa+Verb^DB+Verb+Able+Neg+Aor+Past+A1sg
çalışamayacak	çalış+Verb^DB+Verb+Able+Neg^DB+Adj+FutPart+Pnon
zorlaştırmayın	zor+Adj^DB+Verb+Become^DB+Verb+Caus+Neg+Imp+A2pl
sevilmez	sev+Verb^DB+Verb+Pass+Neg+Aor+A3sg
duyulmaz	duy+Verb^DB+Verb+Pass+Neg+Aor+A3sg
gitmeyin	git+Verb+Neg+Imp+A2pl
başlamaz	başla+Verb+Neg+Aor+A3sg
anlayamıyorlardı	anla+Verb^DB+Verb+Able+Neg+Prog1+A3pl+Past
anlaşılmadığını	anlaş+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
beceremiyordu	becer+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
gidemediğinin	git+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Gen
etmediği	et+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
geçemeyecek	geç+Verb^DB+Verb+Able+Neg^DB+Adj+FutPart+Pnon
geçmedi	geç+Verb+Neg+Past+A3sg
vermeyecekti	ver+Verb+Neg+Fut+Past+A3sg
kalmamıştı	kal+Verb+Neg+Narr+Past+A3sg
hoşlanmamıştı	hoşlan+Verb+Neg+Narr+Past+A3sg
duyulmuyordu	duy+Verb^DB+Verb+Pass+Neg+Prog1+Past+A3sg
uygulanmaz	uygula+Verb^DB+Verb+Pass+Neg+Aor+A3sg
gitmemek	git+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
açılmadı	aç+Verb^DB+Verb+Pass+Neg+Past+A3sg
gelmeyeceği	gel+Verb+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
engelleyemeyerek	engelle+Verb^DB+Verb+Able+Neg^DB+Adverb+ByDoingSo
kaldıramamasına	kal+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Dat
sığamayacak	sığ+Verb^DB+Verb+Able+Neg^DB+Adj+FutPart+Pnon
aydınlanmamışken	aydınlan+Verb+Neg+Narr^DB+Adverb+While
göremedi	gör+Verb^DB+Verb+Able+Neg+Past+A3sg
tutamayıp	tut+Verb^DB+Verb+Able+Neg^DB+Adverb+AfterDoingSo
sürmediğini	sür+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
yenmez	yen+Verb+Neg+Aor+A3sg
dokunmayacağını	doku+Verb^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
çekmiyordu	çek+Verb+Neg+Prog1+Past+A3sg
olamayan	ol+Verb^DB+Verb+Able+Neg^DB+Adj+PresPart
dokunmadığı	dokun+Verb+Neg^DB+Adj+PastPart+P3sg
dönmez	dön+Verb+Neg+Aor+A3sg
anlaşılmadığı	anlaş+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
düşünmüyordu	düşün+Verb+Neg+Prog1+Past+A3sg
yemediğinde	ye+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Loc
öğrenemiyorsa	öğren+Verb^DB+Verb+Able+Neg+Prog1+Cond+A3sg
almayan	al+Verb+Neg^DB+Adj+PresPart
bırakılamayacağından	bırak+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P2sg+Abl
istememiş	iste+Verb+Neg+Narr+A3sg
anlatmayacağına	anla+Verb^DB+Verb+Caus+Neg^DB+Noun+FutPart+A3sg+P3sg+Dat
içmiyorlardı	iç+Verb+Neg+Prog1+A3pl+Past
vermeyince	ver+Verb+Neg^DB+Adverb+When
açılmıyordu	aç+Verb^DB+Verb+Pass+Neg+Prog1+Past+A3sg
kalmadığını	kal+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
sormamıştı	sor+Verb+Neg+Narr+Past+A3sg
yaşanamadılar	yaşa+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Past+A3pl
düşünülemeyecek	düşün+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg
hoşlanmazlardı	hoşlan+Verb+Neg+Aor+A3pl+Past
veremiyor	ver+Verb^DB+Verb+Able+Neg+Prog1+A3sg
ilgilenmediği	ilgilen+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
dokunulmayan	doku+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
harcanmamış	harca+Verb^DB+Verb+Pass+Neg+Narr+A3sg
dokunulmaması	doku+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
edilemez	et+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
ezilmeyecekti	ez+Verb^DB+Verb+Pass+Neg+Fut+Past+A3sg
girmez	gir+Verb+Neg+Aor+A3sg
görmemesi	gör+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
girmeseydi	gir+Verb+Neg+Desr+Past+A3sg
olmayacaktı	ol+Verb+Neg+Fut+Past+A3sg
girmemekle	gir+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Ins
dayanamayacağını	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
kaçmamak	kaç+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
göremeyecekti	gör+Verb^DB+Verb+Able+Neg+Fut+Past+A3sg
giremediler	gir+Verb^DB+Verb+Able+Neg+Past+A3pl
üzmemek	üz+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
yapamazdı	yap+Verb^DB+Verb+Able+Neg+Aor+Past+A3sg
edemezdi	et+Verb^DB+Verb+Able+Neg+Aor+Past+A3sg
bitiremezlerdi	bit+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A3pl+Past
bilmiyorlardı	bil+Verb+Neg+Prog1+A3pl+Past
anlamadığından	anla+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
sağlayamadığı	sağla+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
geçiremediği	geç+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
olmadıkça	ol+Verb+Neg^DB+Adverb+AsLongAs
anlayamazlar	anla+Verb^DB+Verb+Able+Neg+Aor+A3pl
olmadığınız	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Nom
vermezdi	ver+Verb+Neg+Aor+Past+A3sg
olmasaydınız	ol+Verb+Neg+Desr+Past+A2pl
bilemediğim	bil+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P1sg
çekilmez	çek+Verb^DB+Verb+Pass+Neg+Aor+A3sg
kızamıyorum	kız+Verb^DB+Verb+Able+Neg+Prog1+A1sg
dayanamayıp	dayan+Verb^DB+Verb+Able+Neg^DB+Adverb+AfterDoingSo
anlatmıyorsunuz	anla+Verb^DB+Verb+Caus+Neg+Prog1+A2pl
uyumamış	uyu+Verb+Neg+Narr+A3sg
anlayamamıştım	anla+Verb^DB+Verb+Able+Neg+Narr+Past+A1sg
uymuyor	uy+Verb+Neg+Prog1+A3sg
beğenmediğinizi	beğen+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Acc
söyleyemezsiniz	söyle+Verb^DB+Verb+Able+Neg+Aor+A2pl
bulamıyordum	bul+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
gelmeyişi	gel+Verb+Neg^DB+Noun+Inf3+A3sg+P3sg+Nom
kaçırmadım	kaç+Verb^DB+Verb+Caus+Neg+Past+A1sg
gelemezdi	gel+Verb^DB+Verb+Able+Neg+Aor+Past+A3sg
üzülmeyin	üz+Verb^DB+Verb+Pass+Neg+Imp+A2pl
olmayabilir	ol+Verb+Neg^DB+Verb+Able+Aor+A3sg
geçmemiştir	geç+Verb+Neg+Narr+A3sg+Cop
yapmaz	yap+Verb+Neg+Aor+A3sg
anlamamak	anla+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
olmuyorlar	ol+Verb+Neg+Prog1+A3pl
aktarmıyoruz	aktar+Verb+Neg+Prog1+A1pl
ulaşılmaz	ulaş+Verb^DB+Verb+Pass+Neg+Aor+A3sg
sarsılmaz	sars+Verb^DB+Verb+Pass+Neg+Aor+A3sg
söylenmemiş	söyle+Verb^DB+Verb+Pass+Neg+Narr+A3sg
kalmam	kal+Verb+Neg+Aor+A1sg
olmadığınızı	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Acc
dilemiyorum	dil+Verb^DB+Verb+Able+Neg+Prog1+A1sg
yanılmayız	yan+Verb^DB+Verb+Pass+Neg+Aor+A1pl
bilemezsin	bil+Verb^DB+Verb+Able+Neg+Aor+A2sg
duramaz	dur+Verb^DB+Verb+Able+Neg+Aor+A3sg
duymadığım	duy+Verb+Neg^DB+Adj+PastPart+P1sg
görüşmediniz	görüş+Verb+Neg+Past+A2pl
kaldıramayacak	kal+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Fut+A3sg
çalışmayın	çalış+Verb+Neg+Imp+A2pl
konuşamıyordu	konuş+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
tanımamışım	tanı+Verb+Neg+Narr+A1sg
getiremezdim	getir+Verb^DB+Verb+Able+Neg+Aor+Past+A1sg
gelmeyeceksin	gel+Verb+Neg+Fut+A2sg
istemiyorsa	iste+Verb+Neg+Prog1+Cond+A3sg
yazmadı	yaz+Verb+Neg+Past+A3sg
almamıştır	al+Verb+Neg+Narr+A3sg+Cop
davranılmaz	davran+Verb^DB+Verb+Pass+Neg+Aor+A3sg
demeyin	de+Verb+Neg+Imp+A2pl
sevmiyorum	sev+Verb+Neg+Prog1+A1sg
davranmazdınız	davran+Verb+Neg+Aor+Past+A2pl
bırakmazdınız	bırak+Verb+Neg+Aor+Past+A2pl
oynamazdınız	oyna+Verb+Neg+Aor+Past+A2pl
geçiremediğini	geç+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
zaptedemez	zaptet+Verb^DB+Verb+Able+Neg+Aor+A3sg
bastıramadım	bas+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Past+A1sg
yetmiyor	yet+Verb+Neg+Prog1+A3sg
duramayacağım	dur+Verb^DB+Verb+Able+Neg+Fut+A1sg
zaptedemiyordum	zaptet+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
gerçekleşmeyeceğini	gerçek+Adj^DB+Verb+Become+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
yapamayacağım	yap+Verb^DB+Verb+Able+Neg+Fut+A1sg
beklemediğim	bekle+Verb+Neg^DB+Adj+PastPart+P1sg
incitemem	incit+Verb^DB+Verb+Able+Neg+Aor+A1sg
üzemem	üz+Verb^DB+Verb+Able+Neg+Aor+A1sg
oturmayacağım	otur+Verb+Neg+Fut+A1sg
duramam	dur+Verb^DB+Verb+Able+Neg+Aor+A1sg
göremeyeceksiniz	gör+Verb^DB+Verb+Able+Neg+Fut+A2pl
öğrenemeyecektiniz	öğren+Verb^DB+Verb+Able+Neg+Fut+Past+A2pl
tutamadım	tut+Verb^DB+Verb+Able+Neg+Past+A1sg
kovamazsınız	kov+Verb^DB+Verb+Able+Neg+Aor+A2pl
kovmuyorsunuz	kov+Verb+Neg+Prog1+A2pl
dayanamazdım	daya+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Past+A1sg
yaramıyordu	yara+Verb+Neg+Prog1+Past+A3sg
yapamadım	yap+Verb^DB+Verb+Able+Neg+Past+A1sg
uzlaşamadı	uzlaş+Verb^DB+Verb+Able+Neg+Past+A3sg
vermediler	ver+Verb+Neg+Past+A3pl
etkilemedi	etkile+Verb+Neg+Past+A3sg
direnmeme	diren+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Nom
açmayacak	aç+Verb+Neg^DB+Adj+FutPart+Pnon
ölmez	öl+Verb+Neg+Aor+A3sg
duymamıştı	duy+Verb+Neg+Narr+Past+A3sg
yeşermemesi	yeşer+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
vazgeçmiyorlardı	vazgeç+Verb+Neg+Prog1+A3pl+Past
anlatmıyordu	anla+Verb^DB+Verb+Caus+Neg+Prog1+Past+A3sg
evlenmemiş	evlen+Verb+Neg^DB+Adj+NarrPart
olmamakla	ol+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Ins
beslenmiyor	besle+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
edemese	et+Verb^DB+Verb+Able+Neg+Desr+A3sg
çalışamadı	çalış+Verb^DB+Verb+Able+Neg+Past+A3sg
bulamıyordu	bul+Verb^DB+Verb+Able+Neg+Prog1+Past+A3sg
önemsemiyordu	önemse+Verb+Neg+Prog1+Past+A3sg
beklemesin	bekle+Verb+Neg+Imp+A3sg
alamadığınız	al+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P2pl
bilemem	bil+Verb^DB+Verb+Able+Neg+Aor+A1sg
kabullenmemişti	kabullen+Verb+Neg+Narr+Past+A3sg
koyamamış	koy+Verb^DB+Verb+Able+Neg+Narr+A3sg
gelmemezlik	gel+Verb+Neg^DB+Noun+NotState+A3sg+Pnon+Nom
görmüyordu	gör+Verb+Neg+Prog1+Past+A3sg
vermedikçe	ver+Verb+Neg^DB+Adverb+AsLongAs
gelmeyişinden	gel+Verb+Neg^DB+Noun+Inf3+A3sg+P3sg+Abl
gönderemediğim	gönder+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P1sg+Nom
gitmeyen	git+Verb+Neg^DB+Adj+PresPart
taşımadığı	taşı+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
bitmemiş	bit+Verb+Neg+Narr+A3sg
ilerleyemiyor	ilerle+Verb^DB+Verb+Able+Neg+Prog1+A3sg
ilerlemem	ilerle+Verb+Neg+Aor+A1sg
önemsemez	önemse+Verb+Neg+Aor+A3sg
evlenmemeli	evlen+Verb+Neg+Neces+A3sg
veremediği	ver+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
görüştürülmemesi	görüş+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
çürütmeyin	çürü+Verb^DB+Verb+Caus+Neg+Imp+A2pl
çıkaramayacağınızdan	çık+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P2pl+Abl
koyamıyorsanız	koy+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
göstermeyin	göster+Verb+Neg+Imp+A2pl
gerçekleştiremediği	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
konmayacaktır	kon+Verb+Neg+Fut+A3sg+Cop
karıştırılmam	karış+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Aor+A1sg
yaşamam	yaşa+Verb+Neg+Aor+A1sg
olmayacağım	ol+Verb+Neg+Fut+A1sg
bulunamayacaksınız	bul+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A2pl
çıkmamalı	çık+Verb+Neg+Neces+A3sg
görüştürülmeyenlerin	görüş+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Gen
gerçekleştiremeyeceği	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
bulamazsınız	bul+Verb^DB+Verb+Able+Neg+Aor+A2pl
kıpırdatamazsınız	kıpırda+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
yararlanamayacağı	yarar+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
erişilemiyor	eriş+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
uyandırmayacağından	uyan+Verb^DB+Verb+Caus+Neg^DB+Noun+FutPart+A3sg+P2sg+Abl
göremiyorum	gör+Verb^DB+Verb+Able+Neg+Prog1+A1sg
katılamıyorum	kat+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A1sg
olmamasını	ol+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Acc
erişilemez	eriş+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
olmayabilirsiniz	ol+Verb+Neg^DB+Verb+Able+Aor+A2pl
bağlanamıyorum	bağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A1sg
bağlanamıyor	bağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
yapamazsınız	yap+Verb^DB+Verb+Able+Neg+Aor+A2pl
çalıştırılamayacağını	çalış+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
görüntülenmez	görüntüle+Verb^DB+Verb+Pass+Neg+Aor+A3sg
kullanılamamasına	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Dat
ayarlamaz	ayarla+Verb+Neg+Aor+A3sg
vermez	ver+Verb+Neg+Aor+A3sg
görüntüleyemeyebilirsiniz	görüntüle+Verb^DB+Verb+Able+Neg^DB+Verb+Able+Aor+A2pl
vermemesidir	ver+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
değiştiremezsiniz	değiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
ayarlanamaz	ayarla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
planlamadığınız	planla+Verb+Neg^DB+Adj+PastPart+P2pl
içermediğinde	içer+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Loc
istemiyorsanız	iste+Verb+Neg+Prog1+Cond+A2pl
gerekmez	gerek+Verb+Neg+Aor+A3sg
istemediğiniz	iste+Verb+Neg^DB+Adj+PastPart+P2pl
görüntülenmiyorsa	görüntüle+Verb^DB+Verb+Pass+Neg+Prog1+Cond+A3sg
kaldırılmaz	kal+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Aor+A3sg
kullanılamaz	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
sağlamıyorsa	sağla+Verb+Neg+Prog1+Cond+A3sg
karşılamıyorsa	karşıla+Verb+Neg+Prog1+Cond+A3sg
görüntülemez	görüntüle+Verb+Neg+Aor+A3sg
görüntüleyemezsiniz	görüntüle+Verb^DB+Verb+Able+Neg+Aor+A2pl
bağlanmamış	bağla+Verb^DB+Verb+Pass+Neg+Narr+A3sg
kullanılamıyor	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
göremezseniz	gör+Verb^DB+Verb+Able+Neg+Aor+Cond+A2pl
etkilemez	etkile+Verb+Neg+Aor+A3sg
etkilemez	etkile+Verb+Neg^DB+Adj+AorPart
kullanılamıyorsa	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+Cond+A3sg
kullanamazsınız	kullan+Verb^DB+Verb+Able+Neg+Aor+A2pl
görüntülenmemesi	görüntüle+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
gösterilmeyen	göster+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
tamamlayamazsınız	tamamla+Verb^DB+Verb+Able+Neg+Aor+A2pl
işaretlemediyseniz	işaretle+Verb+Neg+Past+Cond+A2pl
eklenmez	ekle+Verb^DB+Verb+Pass+Neg+Aor+A3sg
koymamanız	koy+Verb+Neg^DB+Noun+Inf2+A3sg+P2pl+Nom
seçmeyin	seç+Verb+Neg+Imp+A2pl
seçilmediği	seç+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
vermeyen	ver+Verb+Neg^DB+Adj+PresPart
sıfırlamayın	sıfırla+Verb+Neg+Imp+A2pl
verilmez	ver+Verb^DB+Verb+Pass+Neg+Aor+A3sg
bırakılmadığından	bırak+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
silmez	sil+Verb+Neg+Aor+A3sg
devralmaz	devral+Verb+Neg+Aor+A3sg
kurtarılamaz	kurtar+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
silinemez	sil+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
atanmazsa	ata+Verb^DB+Verb+Pass+Neg+Aor+Cond+A3sg
erişemiyorum	eriş+Verb^DB+Verb+Able+Neg+Prog1+A1sg
açmamanız	aç+Verb+Neg^DB+Noun+Inf2+A3sg+P2pl+Nom
gerektirmediği	gerek+Verb^DB+Verb+Caus+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
gerçekleşmeyen	gerçek+Adj^DB+Verb+Become+Neg^DB+Adj+PresPart
denenmez	dene+Verb^DB+Verb+Pass+Neg+Aor+A3sg
ayrılmamış	ayır+Verb^DB+Verb+Pass+Neg^DB+Adj+NarrPart
genişletemezsiniz	genişle+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
yapılmayacaksa	yap+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
bağlanmayacaksa	bağla+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
onarılmayacaksa	onar+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
takılmayacaksa	tak+Verb^DB+Verb+Pass+Neg+Fut+Cond+A3sg
silmeyin	sil+Verb+Neg+Imp+A2pl
erişemezsiniz	eriş+Verb^DB+Verb+Able+Neg+Aor+A2pl
belirtilmezse	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Aor+Cond+A3sg
biçimlendirmedikçe	biçim+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Neg^DB+Adverb+AsLongAs
içermiyorsa	içer+Verb+Neg+Prog1+Cond+A3sg
bağlanmaz	bağla+Verb^DB+Verb+Pass+Neg+Aor+A3sg
atanmaz	ata+Verb^DB+Verb+Pass+Neg+Aor+A3sg
duymuyorsanız	duy+Verb+Neg+Prog1+Cond+A2pl
içermez	içer+Verb+Neg+Aor+A3sg
ayarlayamazsınız	ayarla+Verb^DB+Verb+Able+Neg+Aor+A2pl
verilmediği	ver+Verb^DB+Verb+Pass+Neg^DB+Adj+PastPart+P3sg
engellenmediği	engelle+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
kullanamıyorsa	kullan+Verb^DB+Verb+Able+Neg+Prog1+Cond+A3sg
kurulmaz	kur+Verb^DB+Verb+Pass+Neg+Aor+A3sg
kaydolamıyorum	kaydol+Verb^DB+Verb+Able+Neg+Prog1+A1sg
kullanamıyorum	kullan+Verb^DB+Verb+Able+Neg+Prog1+A1sg
kullanılamıyordur	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg+Cop
alınamamasından	al+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Abl
seçemezsiniz	seç+Verb^DB+Verb+Able+Neg+Aor+A2pl
bağlanamaz	bağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kaldıramazsınız	kal+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
kullanmayın	kullan+Verb+Neg+Imp+A2pl
çıkamaz	çık+Verb^DB+Verb+Able+Neg+Aor+A3sg
yenileyemez	yenile+Verb^DB+Verb+Able+Neg+Aor+A3sg
deneyemezsiniz	dene+Verb^DB+Verb+Able+Neg+Aor+A2pl
olmadığında	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Loc
görüntülenmeyeceğini	görüntüle+Verb^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
kullanılmadığından	kullan+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P2sg+Abl
etkinleştirilmemiş	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+A3sg
görüntülenmiyor	görüntüle+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
oluşamaz	oluş+Verb^DB+Verb+Able+Neg+Aor+A3sg
silinmemiş	sil+Verb^DB+Verb+Pass+Neg+Narr+A3sg
gerektirmez	gerek+Verb^DB+Verb+Caus+Neg+Aor+A3sg
bulunmasa	bulun+Verb+Neg+Desr+A3sg
içermediğine	içer+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Dat
değiştiremeyeceğini	değiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
bırakılmadığını	bırak+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
bırakılamaz	bırak+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
açamayacağı	aç+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
kullanılmaz	kullan+Verb^DB+Verb+Pass+Neg^DB+Adj+AorPart
silinmez	sil+Verb^DB+Verb+Pass+Neg+Aor+A3sg
duymayacağınızdan	duy+Verb+Neg^DB+Noun+FutPart+A3sg+P2pl+Abl
eklenemez	ekle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kapsamadığı	kapsa+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
önerilmez	öner+Verb^DB+Verb+Pass+Neg+Aor+A3sg
istenmeyen	iste+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
vermediği	ver+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
açmadıysanız	aç+Verb+Neg+Past+Cond+A2pl
etkinleştirmezseniz	etkin+Adj^DB+Verb+Become^DB+Verb+Caus+Neg+Aor+Cond+A2pl
denetlenmez	denetle+Verb^DB+Verb+Pass+Neg^DB+Adj+AorPart
engellemez	engelle+Verb+Neg+Aor+A3sg
görmüyorsanız	gör+Verb+Neg+Prog1+Cond+A2pl
açılmıyorsa	aç+Verb^DB+Verb+Pass+Neg+Prog1+Cond+A3sg
alınmaz	alın+Verb+Neg+Aor+A3sg
düzeltemezsiniz	düzel+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
görüntülenmezse	görüntüle+Verb^DB+Verb+Pass+Neg+Aor+Cond+A3sg
tanımayabilir	tanı+Verb+Neg^DB+Verb+Able+Aor+A3sg
ekleyemiyorum	ekle+Verb^DB+Verb+Able+Neg+Prog1+A1sg
yapmamanız	yap+Verb+Neg^DB+Noun+Inf2+A3sg+P2pl+Nom
gönderilmemiş	gönder+Verb^DB+Verb+Pass+Neg+Narr+A3sg
gideremezsiniz	gider+Verb^DB+Verb+Able+Neg+Aor+A2pl
çözülemeyen	çöz+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
görüntüleyemez	görüntüle+Verb^DB+Verb+Able+Neg+Aor+A3sg
düzenleyemezsiniz	düzenle+Verb^DB+Verb+Able+Neg+Aor+A2pl
yükleyemeyebilir	yükle+Verb^DB+Verb+Able+Neg^DB+Verb+Able+Aor+A3sg
