değil	değil+Verb+Neg+Pres+A3sg
alınamamasından	al+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Abl
seçemezsiniz	seç+Verb^DB+Verb+Able+Neg+Aor+A2pl
bağlanamaz	bağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kaldıramazsınız	kal+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
kullanmayın	kullan+Verb+Neg+Imp+A2pl
çıkamaz	çık+Verb^DB+Verb+Able+Neg+Aor+A3sg
yenileyemez	yenile+Verb^DB+Verb+Able+Neg+Aor+A3sg
deneyemezsiniz	dene+Verb^DB+Verb+Able+Neg+Aor+A2pl
olmadığında	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Loc
görüntülenmeyeceğini	görüntüle+Verb^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
kullanılmadığından	kullan+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P2sg+Abl
etkinleştirilmemiş	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+A3sg
görüntülenmiyor	görüntüle+Verb^DB+Verb+Pass+Neg+Prog1+A3sg
oluşamaz	oluş+Verb^DB+Verb+Able+Neg+Aor+A3sg
silinmemiş	sil+Verb^DB+Verb+Pass+Neg+Narr+A3sg
gerektirmez	gerek+Verb^DB+Verb+Caus+Neg+Aor+A3sg
bulunmasa	bulun+Verb+Neg+Desr+A3sg
içermediğine	içer+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Dat
değiştiremeyeceğini	değiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
bırakılmadığını	bırak+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
bırakılamaz	bırak+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
açamayacağı	aç+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
kullanılmaz	kullan+Verb^DB+Verb+Pass+Neg^DB+Adj+AorPart
silinmez	sil+Verb^DB+Verb+Pass+Neg+Aor+A3sg
duymayacağınızdan	duy+Verb+Neg^DB+Noun+FutPart+A3sg+P2pl+Abl
eklenemez	ekle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kapsamadığı	kapsa+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
önerilmez	öner+Verb^DB+Verb+Pass+Neg+Aor+A3sg
istenmeyen	iste+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
vermediği	ver+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
açmadıysanız	aç+Verb+Neg+Past+Cond+A2pl
etkinleştirmezseniz	etkin+Adj^DB+Verb+Become^DB+Verb+Caus+Neg+Aor+Cond+A2pl
denetlenmez	denetle+Verb^DB+Verb+Pass+Neg^DB+Adj+AorPart
engellemez	engelle+Verb+Neg+Aor+A3sg
görmüyorsanız	gör+Verb+Neg+Prog1+Cond+A2pl
açılmıyorsa	aç+Verb^DB+Verb+Pass+Neg+Prog1+Cond+A3sg
alınmaz	alın+Verb+Neg+Aor+A3sg
düzeltemezsiniz	düzel+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
görüntülenmezse	görüntüle+Verb^DB+Verb+Pass+Neg+Aor+Cond+A3sg
tanımayabilir	tanı+Verb+Neg^DB+Verb+Able+Aor+A3sg
ekleyemiyorum	ekle+Verb^DB+Verb+Able+Neg+Prog1+A1sg
yapmamanız	yap+Verb+Neg^DB+Noun+Inf2+A3sg+P2pl+Nom
gönderilmemiş	gönder+Verb^DB+Verb+Pass+Neg+Narr+A3sg
gideremezsiniz	gider+Verb^DB+Verb+Able+Neg+Aor+A2pl
çözülemeyen	çöz+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
görüntüleyemez	görüntüle+Verb^DB+Verb+Able+Neg+Aor+A3sg
düzenleyemezsiniz	düzenle+Verb^DB+Verb+Able+Neg+Aor+A2pl
yükleyemeyebilir	yükle+Verb^DB+Verb+Able+Neg^DB+Verb+Able+Aor+A3sg
görüntüleyemeyebilir	görüntüle+Verb^DB+Verb+Able+Neg^DB+Verb+Able+Aor+A3sg
olmadığınızdan	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Abl
verilmeyen	ver+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
içermeyecektir	içer+Verb+Neg+Fut+A3sg+Cop
okuyamaz	oku+Verb^DB+Verb+Able+Neg+Aor+A3sg
değiştirilemez	değiş+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
tanıyamazsa	tanı+Verb^DB+Verb+Able+Neg+Aor+Cond+A3sg
taşıyamazsınız	taşı+Verb^DB+Verb+Able+Neg+Aor+A2pl
içermeyen	içer+Verb+Neg^DB+Adj+PresPart
yükseltmediğinize	yüksel+Verb^DB+Verb+Caus+Neg^DB+Noun+PastPart+A3sg+P2pl+Dat
ekleyemez	ekle+Verb^DB+Verb+Able+Neg+Aor+A3sg
kullanmayarak	kullan+Verb+Neg^DB+Adverb+ByDoingSo
zımbalayamayacağınızı	zımbala+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P2pl+Acc
edemiyorsanız	et+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
karşılaşmazsa	karşılaş+Verb+Neg+Aor+Cond+A3sg
yararlanamazsınız	yarar+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Able+Neg+Aor+A2pl
seçmediğim	seç+Verb+Neg^DB+Adj+PastPart+P1sg
bulunmuyorsa	bulun+Verb+Neg+Prog1+Cond+A3sg
taşınamaz	taşı+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kullanılamadığını	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
görüntülenmemesini	görüntüle+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Acc
kapatmam	kapa+Verb^DB+Verb+Caus+Neg+Aor+A1sg
sonlandırmam	son+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Neg+Aor+A1sg
sormaması	sor+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
biçimlendirilemez	biçim+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kaldırmam	kal+Verb^DB+Verb+Caus+Neg+Aor+A1sg
gerekmediğinden	gerek+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
olmayanları	ol+Verb+Neg^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Acc
etkilenmez	etkile+Verb^DB+Verb+Pass+Neg+Aor+A3sg
yaramazsa	yara+Verb+Neg+Aor+Cond+A3sg
bulunmamaktaydı	bulun+Verb+Neg+Prog2+Past+A3sg
geçmemesini	geç+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Acc
kalmadığı	kal+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
kullanılamayacaktır	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Fut+A3sg+Cop
giremez	gir+Verb^DB+Verb+Able+Neg+Aor+A3sg
seçilmedikçe	seç+Verb^DB+Verb+Pass+Neg^DB+Adverb+AsLongAs
gerekmeyen	gerek+Verb+Neg^DB+Adj+PresPart
silemezsiniz	sil+Verb^DB+Verb+Able+Neg+Aor+A2pl
değilseniz	değil+Verb+Neg+Cond+A2pl
kalmaz	kal+Verb+Neg+Aor+A3sg
yüklenmedi	yükle+Verb^DB+Verb+Pass+Neg+Past+A3sg
bulunmuyor	bulun+Verb+Neg+Prog1+A3sg
değiştirilmez	değiş+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Aor+A3sg
yapılmaz	yap+Verb^DB+Verb+Pass+Neg+Aor+A3sg
yazdırılamayan	yaz+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
sıkmayın	sık+Verb+Neg+Imp+A2pl
kavramayın	kavra+Verb+Neg+Imp+A2pl
kaybolmaması	kaybol+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
görmemesini	gör+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Acc
kalmazsınız	kal+Verb+Neg+Aor+A2pl
kaydettirilmemiştir	kaydet+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+A3sg+Cop
belirlenemez	belirle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
eklemeyin	ekle+Verb+Neg+Imp+A2pl
yapılandıramadı	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Able+Neg+Past+A3sg
çalışmıyor	çalış+Verb+Neg+Prog1+A3sg
algılayamıyor	algıla+Verb^DB+Verb+Able+Neg+Prog1+A3sg
ayarlayamıyor	ayarla+Verb^DB+Verb+Able+Neg+Prog1+A3sg
değiştiremiyorsunuz	değiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A2pl
erişemiyorsunuz	eriş+Verb^DB+Verb+Able+Neg+Prog1+A2pl
desteklenmediğini	destekle+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
gerektirmediğine	gerek+Verb^DB+Verb+Caus+Neg^DB+Noun+PastPart+A3sg+P3sg+Dat
yayınlanmayacağını	yayınla+Verb^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
bulunamazsa	bulun+Verb^DB+Verb+Able+Neg+Aor+Cond+A3sg
bulunmayıp	bul+Verb^DB+Verb+Pass+Neg^DB+Adverb+AfterDoingSo
sınamadığınız	sın+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P2pl
değiştirmemelisiniz	değiş+Verb^DB+Verb+Caus+Neg+Neces+A2pl
otomatikleştiremediğiniz	otomatik+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Able+Neg^DB+Adj+PastPart+P2pl
yönetemediğinizde	yönet+Verb^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P2pl+Loc
görmeme	gör+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Nom
gönderilemiyor	gönder+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
görünmemesi	görün+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
edilmeyeceği	et+Verb^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3sg+Nom
değiştirmeyin	değiş+Verb^DB+Verb+Caus+Neg+Imp+A2pl
değiştirmez	değiş+Verb^DB+Verb+Caus+Neg+Aor+A3sg
ayarlanmadığını	ayarla+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
bulunamıyor	bulun+Verb^DB+Verb+Able+Neg+Prog1+A3sg
görülemiyor	gör+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
göremiyorsanız	gör+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
göstermiyor	göster+Verb+Neg+Prog1+A3sg
olmamışsa	ol+Verb+Neg+Narr+Cond+A3sg
bulunamadı	bulun+Verb^DB+Verb+Able+Neg+Past+A3sg
kaydedemiyorsanız	kaydet+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
çalışmamasına	çalış+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Dat
çakışmayacağından	çakış+Verb+Neg^DB+Noun+FutPart+A3sg+P2sg+Abl
kullanılmaması	kullan+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
desteklemiyor	destekle+Verb+Neg+Prog1+A3sg
sökemez	sök+Verb^DB+Verb+Able+Neg+Aor+A3sg
çıkaramazsınız	çık+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
yapılmadığını	yap+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
bağlanmazsa	bağla+Verb^DB+Verb+Pass+Neg+Aor+Cond+A3sg
çevirmemek	çevir+Verb+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
gerekmediği	gerek+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
olmayanlar	ol+Verb+Neg^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Nom
göremezsiniz	gör+Verb^DB+Verb+Able+Neg+Aor+A2pl
desteklenmez	destekle+Verb^DB+Verb+Pass+Neg+Aor+A3sg
atanamaz	ata+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
saptanamaz	sapta+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
açmadığından	aç+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
yansıtmaz	yansı+Verb^DB+Verb+Caus+Neg+Aor+A3sg
kaybolmamasını	kaybol+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Acc
güncelleştirmem	güncel+Adj^DB+Verb+Become^DB+Verb+Caus+Neg+Aor+A1sg
kullanmadığınız	kullan+Verb+Neg^DB+Adj+PastPart+P2pl
seçmediğiniz	seç+Verb+Neg^DB+Adj+PastPart+P2pl
önermez	öner+Verb+Neg+Aor+A3sg
açamıyorsanız	aç+Verb^DB+Verb+Able+Neg+Prog1+Cond+A2pl
açamazsınız	aç+Verb^DB+Verb+Able+Neg+Aor+A2pl
göstermez	göster+Verb+Neg+Aor+A3sg
çalıştıramazsınız	çalış+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
sınırlanmamışsa	sınırla+Verb^DB+Verb+Pass+Neg+Narr+Cond+A3sg
yapılandırılmayacaktır	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Neg+Fut+A3sg+Cop
kaldıramaz	kaldır+Verb^DB+Verb+Able+Neg+Aor+A3sg
değiştiremez	değiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A3sg
oluşturamaz	oluş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A3sg
kapatamaz	kapa+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A3sg
çalıştırmamalısınız	çalış+Verb^DB+Verb+Caus+Neg+Neces+A2pl
şifrelenmediğini	şifrele+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
kopyalamamasını	kopyala+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Acc
listelenmediğini	listele+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
gerekmiyorsa	gerek+Verb+Neg+Prog1+Cond+A3sg
silmezsiniz	sil+Verb+Neg+Aor+A2pl
bulamıyor	bul+Verb^DB+Verb+Able+Neg+Prog1+A3sg
görüntülenemeyebileceğini	görüntüle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3sg+Acc
sağlanmadıysa	sağla+Verb^DB+Verb+Pass+Neg+Past+Cond+A3sg
kopyalanmaz	kopyala+Verb^DB+Verb+Pass+Neg+Aor+A3sg
kaldıramadım	kal+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Past+A1sg
kaldırmadığımı	kal+Verb^DB+Verb+Caus+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
yapmadıysanız	yap+Verb+Neg+Past+Cond+A2pl
ödemezsiniz	öde+Verb+Neg+Aor+A2pl
karışmaz	karış+Verb+Neg+Aor+A3sg
yüklenmezse	yükle+Verb^DB+Verb+Pass+Neg+Aor+Cond+A3sg
yüklenemezse	yükle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Cond+A3sg
gerçekleştirilemez	gerçek+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
çalışmadığını	çalış+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
görünmüyorsa	görün+Verb+Neg+Prog1+Cond+A3sg
sıralayamaz	sırala+Verb^DB+Verb+Able+Neg+Aor+A3sg
uygulayamazsınız	uygula+Verb^DB+Verb+Able+Neg+Aor+A2pl
doğrulanmadığını	doğrula+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
sağlamaz	sağla+Verb+Neg+Aor+A3sg
desteklemez	destekle+Verb+Neg+Aor+A3sg
tanınmayan	tanı+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
oluşturamazsınız	oluş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
sıfırlayamaz	sıfırla+Verb^DB+Verb+Able+Neg+Aor+A3sg
açamaz	aç+Verb^DB+Verb+Able+Neg+Aor+A3sg
vermediğini	ver+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
yönetmiyorsanız	yönet+Verb+Neg+Prog1+Cond+A2pl
kurtaramazsınız	kurtar+Verb^DB+Verb+Able+Neg+Aor+A2pl
dönüştürülemeyen	dönüş+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
görüntülenmediyse	görüntüle+Verb^DB+Verb+Pass+Neg+Past+Cond+A3sg
bağlanamazsa	bağla+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Cond+A3sg
sağlanmamış	sağla+Verb^DB+Verb+Pass+Neg+Narr+A3sg
yerleştirilmez	yerleş+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Aor+A3sg
desteklemeyen	destekle+Verb+Neg^DB+Adj+PresPart
seçilmediyse	seç+Verb^DB+Verb+Pass+Neg+Past+Cond+A3sg
kaldırmayın	kal+Verb^DB+Verb+Caus+Neg+Imp+A2pl
bulunmadığında	bul+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Loc
ekleyemezsiniz	ekle+Verb^DB+Verb+Able+Neg+Aor+A2pl
yapılmamalıdır	yap+Verb^DB+Verb+Pass+Neg+Neces+A3sg+Cop
paylaştıramaz	paylaş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A3sg
olmayacağından	ol+Verb+Neg^DB+Noun+FutPart+A3sg+P2sg+Abl
artmadığını	art+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
eşleşmeyen	eş+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Neg^DB+Adj+PresPart
yapılandırılmamış	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+A3sg
kopyalanmamışsa	kopyala+Verb^DB+Verb+Pass+Neg+Narr+Cond+A3sg
göremez	gör+Verb^DB+Verb+Able+Neg+Aor+A3sg
atayamazsınız	ata+Verb^DB+Verb+Able+Neg+Aor+A2pl
gizlenemez	gizle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
yazılmaz	yaz+Verb^DB+Verb+Pass+Neg+Aor+A3sg
kaydedilmez	kaydet+Verb^DB+Verb+Pass+Neg+Aor+A3sg
edilmemesi	et+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
çözülemeyecek	çöz+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+FutPart+Pnon
yönetilemiyor	yönet+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
içermemelidir	içer+Verb+Neg+Neces+A3sg+Cop
yapamamasına	yap+Verb^DB+Verb+Able+Neg^DB+Noun+Inf2+A3sg+P3sg+Dat
doğrulanmamış	doğrula+Verb^DB+Verb+Pass+Neg^DB+Adj+NarrPart
uymayan	uy+Verb+Neg^DB+Adj+PresPart
kullanılamayabilir	kullan+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Verb+Able+Aor+A3sg
şifrelenemez	şifrele+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
yapmıyorsa	yap+Verb+Neg+Prog1+Cond+A3sg
desteklemiyorsa	destekle+Verb+Neg+Prog1+Cond+A3sg
kaydedilmemiş	kaydet+Verb^DB+Verb+Pass+Neg^DB+Adj+NarrPart
gideremeyeceksiniz	gider+Verb^DB+Verb+Able+Neg+Fut+A2pl
dolduramazsınız	dol+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Aor+A2pl
belirtilmemişse	belir+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Narr+Cond+A3sg
gerçekleşmedi	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become+Neg+Past+A3sg
sıralanmaz	sırala+Verb^DB+Verb+Pass+Neg+Aor+A3sg
yapamaz	yap+Verb^DB+Verb+Able+Neg+Aor+A3sg
dolmamışsa	dol+Verb+Neg+Narr+Cond+A3sg
karşılayamadığı	karşıla+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
çözülemez	çöz+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
şifrelenmemiş	şifrele+Verb^DB+Verb+Pass+Neg^DB+Adj+NarrPart
gerektirmeyebilir	gerek+Verb^DB+Verb+Caus+Neg^DB+Verb+Able+Aor+A3sg
alınamaz	al+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
etkinleştirilmeyeceğini	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Noun+FutPart+A3sg+P3sg+Acc
düzenleyemiyorum	düzenle+Verb^DB+Verb+Able+Neg+Prog1+A1sg
bulunamadığını	bul+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
seçemiyorum	seç+Verb^DB+Verb+Able+Neg+Prog1+A1sg
bulunmadığına	bulun+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Dat
gösterilemeyecek	göster+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+FutPart+Pnon
yapıştıramıyorum	yapış+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A1sg
yapıştırılamadı	yapış+Verb^DB+Verb+Caus^DB+Verb+Pass^DB+Verb+Able+Neg+Past+A3sg
bozmayacağından	boz+Verb+Neg^DB+Noun+FutPart+A3sg+P2sg+Abl
eklemiyor	ekle+Verb+Neg+Prog1+A3sg
görmüyorum	gör+Verb+Neg+Prog1+A1sg
edilmediğini	et+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
yenilenemiyor	yenile+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Prog1+A3sg
kaydedemiyorum	kaydet+Verb^DB+Verb+Able+Neg+Prog1+A1sg
yenilemez	ye+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
edilmemektedir	et+Verb^DB+Verb+Pass+Neg+Prog2+A3sg+Cop
kullanamadığı	kullan+Verb^DB+Verb+Able+Neg^DB+Adj+PastPart+P3sg
erişemiyor	eriş+Verb^DB+Verb+Able+Neg+Prog1+A3sg
bozulmaz	boz+Verb^DB+Verb+Pass+Neg+Aor+A3sg
okuyamıyordur	oku+Verb^DB+Verb+Able+Neg+Prog1+A3sg+Cop
gerçekleştirmez	gerçek+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Neg+Aor+A3sg
döndürülmez	dön+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Aor+A3sg
istemezseniz	iste+Verb+Neg+Aor+Cond+A2pl
içermemesi	içer+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom
duymadığınızda	duy+Verb+Neg^DB+Noun+PastPart+A3sg+P2pl+Loc
ayarlanmamışsa	ayarla+Verb^DB+Verb+Pass+Neg+Narr+Cond+A3sg
bulmaz	bul+Verb+Neg+Aor+A3sg
seçmezseniz	seç+Verb+Neg+Aor+Cond+A2pl
eklemedikçe	ekle+Verb+Neg^DB+Adverb+AsLongAs
kaldırmadıkça	kal+Verb^DB+Verb+Caus+Neg^DB+Adverb+AsLongAs
yüklenmediği	yükle+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
düşünmediğiniz	düşün+Verb+Neg^DB+Adj+PastPart+P2pl
çözümlenmemiş	çözüm+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire+Neg+Narr+A3sg
temizleyemezsiniz	temizle+Verb^DB+Verb+Able+Neg+Aor+A2pl
taşıyamaz	taşı+Verb^DB+Verb+Able+Neg+Aor+A3sg
kesemezsiniz	kes+Verb^DB+Verb+Able+Neg+Aor+A2pl
doğrulanamazsa	doğrula+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Cond+A3sg
doğrulanamayan	doğrula+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Adj+PresPart
kaydırılmaz	kay+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg+Aor+A3sg
içerilmez	içer+Verb^DB+Verb+Pass+Neg+Aor+A3sg
sıralayamazsınız	sırala+Verb^DB+Verb+Able+Neg+Aor+A2pl
almıyor	al+Verb+Neg+Prog1+A3sg
değerlendiremiyorsa	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+Cond+A3sg
gerçekleşmezse	gerçek+Adj^DB+Verb+Become+Neg+Aor+Cond+A3sg
biçimlendirilmediğini	biçim+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
eklenmediğinden	ekle+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
takılmamış	tak+Verb^DB+Verb+Pass+Neg+Narr+A3sg
gitmediğiniz	git+Verb+Neg^DB+Adj+PastPart+P2pl
görüntülenmeyebilir	görüntüle+Verb^DB+Verb+Pass+Neg^DB+Verb+Able+Aor+A3sg
kapatmaz	kapa+Verb^DB+Verb+Caus+Neg+Aor+A3sg
sıkıştırılmamış	sıkış+Verb^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Adj+NarrPart
etkinleştirilmedikçe	etkin+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Neg^DB+Adverb+AsLongAs
sağlanmayan	sağla+Verb^DB+Verb+Pass+Neg^DB+Adj+PresPart
eklenmemiştir	ekle+Verb^DB+Verb+Pass+Neg+Narr+A3sg+Cop
kullanmadıkça	kullan+Verb+Neg^DB+Adverb+AsLongAs
açmam	aç+Verb+Neg+Aor+A1sg
yüklemediyseniz	yükle+Verb+Neg+Past+Cond+A2pl
takmadıysanız	tak+Verb+Neg+Past+Cond+A2pl
çözmezse	çöz+Verb+Neg+Aor+Cond+A3sg
yaramadı	yara+Verb+Neg+Past+A3sg
gideremezse	gider+Verb^DB+Verb+Able+Neg+Aor+Cond+A3sg
çalışmadığından	çalış+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Abl
kopyalayamıyorum	kopyala+Verb^DB+Verb+Able+Neg+Prog1+A1sg
değiştiremiyorum	değiş+Verb^DB+Verb+Caus^DB+Verb+Able+Neg+Prog1+A1sg
göremeyecektir	gör+Verb^DB+Verb+Able+Neg+Fut+A3sg+Cop
olmasanız	ol+Verb+Neg+Desr+A2pl
desteklemediğini	destekle+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
