değil	değil+Verb+Neg+Pres+A3sg
çevrilidir	çevrili+Adj^DB+Verb+Zero+Pres+A3sg+Cop
bağlısınız	bağ+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A2pl
bağlıdır	bağ+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
vermemesidir	ver+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
izinlerdir	izin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
işlemidir	işlem+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ayrıdır	ayrı+Adj^DB+Verb+Zero+Pres+A3sg+Cop
durumdadır	durum+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
alanlarıdır	al+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ayarlardır	ayar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
çalıştırmasıdır	çalış+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nelerdir	ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
birimdir	birim+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kullanıcılarıdır	kullan+Verb+Pos^DB+Noun+Agt+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
topluluğudur	topluluk+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kapsamlıdır	kapsam+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
küçüktür	küçük+Adj^DB+Verb+Zero+Pres+A3sg+Cop
önceliklidir	önce+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
metindir	metin+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dizesidir	dize+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kapsayıcıdır	kapsa+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ayıklamadır	ayıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
grubudur	grup+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
geçerlidir	geçerli+Adj^DB+Verb+Zero+Pres+A3sg+Cop
listesidir	liste+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilgileridir	bilgi+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sertifikalardır	sertifika+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
sorumludurlar	sorum+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3pl+Cop
sınırlıdır	sınır+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
eşittir	eşit+Adj^DB+Verb+Zero+Pres+A3sg+Cop
atmaktır	at+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
basittir	basit+Adj^DB+Verb+Zero+Pres+A3sg+Cop
yeterlidir	yeterli+Adj^DB+Verb+Zero+Pres+A3sg+Cop
üyesidir	üye+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kuraldır	kural+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
fikirdir	fikir+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kilitlidir	kilit+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
tamamlayıcıdır	tamamla+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
özgüdür	özgü+Adj^DB+Verb+Zero+Pres+A3sg+Cop
eşdeğerdir	eşdeğer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
uygulamadır	uygula+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
varlıktır	varlık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etmektir	et+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sayısıdır	sayı+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
özelliktedir	özellik+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
dahildir	dahil+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
geçicidir	geç+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nedenidir	neden+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hizalıdır	hiza+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
sayılardır	sayı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
özellikleridir	özellik+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
üzerindedir	üzer+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
mavidir	mavi+Adj^DB+Verb+Zero+Pres+A3sg+Cop
normaldir	normal+Adj^DB+Verb+Zero+Pres+A3sg+Cop
yinelenmesidir	yinele+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
notum	not+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
hizmettir	hizmet+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
özelliğidir	özellik+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
faksınız	fak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
miktardır	miktar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sayıdır	sayı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hücredir	hücre+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
başvurudur	başvuru+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olasılıktır	ol+Verb+Pos^DB+Noun+FeelLike+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilgisidir	bilgi+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aralığıdır	aralık+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
altkümesidir	altküme+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
farklıdır	fark+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
aralıktır	aralık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
açıdır	açı+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kullanışlıdır	kullan+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
sorumludur	sorumlu+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sıralardır	sıra+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
kimliğidir	kimlik+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kimliktir	kimlik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kümesidir	küme+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sağlamaktır	sağla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
istektir	istek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilgisayardır	bilgisayar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aygıtlardır	aygıt+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
kaldırılabilmesidir	kal+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yapılandırmadır	yapı+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
varsayılandır	varsay+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Verb+Zero+Pres+A3sg+Cop
tutmasıdır	tut+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
anlamlıdır	anlam+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
erişimdir	erişim+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
adıdır	ad+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
işlemdir	işlem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
değiştir	değ+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yoludur	yol+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bileşenidir	bileş+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aynıdır	aynı+Adj^DB+Verb+Zero+Pres+A3sg+Cop
açmaktır	aç+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gitmesidir	git+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
seçenektir	seçenek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
görüntülemektir	görüntüle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
araçtır	araç+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
seçilidir	seçi+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
etkindir	etki+Noun+A3sg+P2sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yararlıdır	yarar+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
mıyım	mı+Ques+Pres+A1sg
dışıdır	dış+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
modundadır	mod+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
gerekliliktir	gerek+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gösterilmektedir	göster+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3sg+Cop
alanındadır	al+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
başvurusudur	başvuru+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olasılığıdır	olası+Adj^DB+Noun+Ness+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilgidir	bilgi+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
değerdir	değer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
süresidir	süre+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dönemdir	dönem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dinamiktirler	dinamik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
almaktır	al+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yetkilidir	yetkili+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
deposudur	depo+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
halidir	hal+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
basamaklardır	basamak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
ödemedir	öde+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
güvenlidir	güven+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
yapılanlardır	yap+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
değeridir	değer+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
miktarıdır	miktar+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
oranıdır	oran+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dosyalardır	dosya+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
konumudur	konum+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
dosyadır	dosya+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yöntemidir	yöntem+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
parçasıdır	parça+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olasılıktır	olası+Adj^DB+Noun+Ness+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kodudur	kod+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
eylemlerdir	eylem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
gruptur	grup+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ağlardır	ağ+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
ayarlarıdır	ayar+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kurallardır	kural+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
bozuktur	bozuk+Adj^DB+Verb+Zero+Pres+A3sg+Cop
klasörüdür	klasör+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
önemlidir	önem+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
parçadır	parça+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
öğesidir	öğe+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
zordur	zor+Adj^DB+Verb+Zero+Pres+A3sg+Cop
simgelerdir	simge+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
saattir	saat+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
formülleridir	formül+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
teknolojidir	teknoloji+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hesaptır	hesap+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yöneliktir	yönelik+Postp+PCDat^DB+Verb+Zero+Pres+A3sg+Cop
çözümdür	çözüm+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
açıktır	açık+Adj^DB+Verb+Zero+Pres+A3sg+Cop
sırasıdır	sıra+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ilişkilidir	ilişki+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
olanlardır	ol+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
solundadır	sol+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
alanıdır	alan+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
biçimidir	biçim+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kuruluşlardır	kur+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
şeklidir	şekil+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
numarasıdır	numara+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
durumudur	durum+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
takılıdır	takı+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
faydalıdır	fayda+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
çalıştırabilmenizdir	çalış+Verb^DB+Verb+Caus+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P2pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hızlıdır	hız+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
oktur	ok+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bağımsızdırlar	bağımsız+Adj^DB+Verb+Zero+Pres+A3pl+Cop
boştur	boş+Adj^DB+Verb+Zero+Pres+A3sg+Cop
renktir	renk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bilgisayarım	bilgisayar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
eylemdir	eylem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
girintileyebilirim	girintileyebilir+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
kartıdır	kart+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yönlüdür	yön+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
taşıdır	taş+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kutusundadır	kutu+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
yığınlarıdır	yığın+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çizilidir	çizi+Adj^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
birkaçıdır	birkaçı+Pron+Quant+A3pl+P3pl+Nom^DB+Verb+Zero+Pres+A3sg+Cop
verilerdir	veri+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
örnektir	örnek+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ölçüsüdür	ölçü+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
hızdır	hız+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gruplardır	grup+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
noktasıdır	nokta+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
serileridir	seri+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
resimlerdir	resim+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
anahtardır	anahtar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
başlıktır	başlık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çizgileridir	çizgi+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
alandır	alan+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
etikettir	etiket+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ilgilidir	ilgili+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
büyüktür	büyük+Adj^DB+Verb+Zero+Pres+A3sg+Cop
depolamaktır	depola+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
çubuğundadır	çubuk+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
parolalarız	parola+Noun+A3pl+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
özelliklerdir	özellik+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
formüldür	formül+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bulmaktır	bul+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kullanmaktır	kullan+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
ucuzdur	uç+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl+Cop
zamanlamaktır	zamanla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sahipsiniz	sahip+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
aracıdır	araç+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
anlamındadır	anlam+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
sertifikasıdır	sertifika+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
azdır	az+Adj^DB+Verb+Zero+Pres+A3sg+Cop
gönderebilmesidir	gönder+Verb+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sıradır	sıra+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kesridir	kesir+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
gözatabilirsiniz	gözatabilir+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
gelmesidir	gel+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
açıklamadır	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
tarihtir	tarih+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
vermektir	ver+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
depolananlardır	depola+Verb^DB+Verb+Pass+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3pl+Cop
kategorisidir	kategori+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
konudur	konu+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
disktir	disk+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
türüdür	tür+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
aittir	ait+Postp+PCDat^DB+Verb+Zero+Pres+A3sg+Cop
aynısıdır	aynı+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
olmamasıdır	ol+Verb+Neg^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
seçiktir	seçik+Dup^DB+Verb+Zero+Pres+A3sg+Cop
görevdir	görev+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
öğedir	öğe+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
belgedir	belge+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kalkmasıdır	kalk+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
moddur	mod+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
açıklamasıdır	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sürecidir	süreç+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
protokoldür	protokol+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
yönüdür	yön+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
kurgusaldır	kurgusal+Adj^DB+Verb+Zero+Pres+A3sg+Cop
şeklindedir	şekil+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A3sg+Cop
ekleridir	ek+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
iyisidir	iyi+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
pasaportum	pasaport+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
kimdir	kim+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
doğumluyum	doğum+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A1sg
kardeşiz	kardeş+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
deneyeyim	deney+Noun+A3sg+Pnon+Dat^DB+Verb+Zero+Pres+A1sg
haberim	haber+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
mutluyum	mutlu+Adj^DB+Verb+Zero+Pres+A1sg
sanslıyım	şans+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A1sg
güçlüdür	güç+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Pres+A3sg+Cop
çalmaktır	çal+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
nedenlerdir	ne+Pron+Ques+A3sg+Pnon+Abl^DB+Verb+Zero+Pres+A3pl+Cop
beladır	bela+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
